id,worldlv,npclv,ragerate,cablerange,base_type1,base_value1,base_type2,base_value2,base_type3,base_value3,base_type4,base_value4,base_type5,base_value5,base_type6,base_value6,base_type7,base_value7,base_type8,base_value8,base_type9,base_value9,base_type10,base_value10,base_type11,base_value11
225,225,234,3000,1000,1,317190,2,31719,3,6343,6,200,19,200,20,200,35,200,38,200,21,10000,22,250,99,20997600
226,226,235,3000,1000,1,320190,2,32019,3,6403,6,200,19,200,20,200,35,200,38,200,21,10000,22,250,99,21196200
227,227,236,3000,1000,1,323190,2,32319,3,6463,6,200,19,200,20,200,35,200,38,200,21,10000,22,250,99,21394800
228,228,237,3000,1000,1,326190,2,32619,3,6523,6,200,19,200,20,200,35,200,38,200,21,10000,22,250,99,21593400
229,229,238,3000,1000,1,329190,2,32919,3,6583,6,200,19,200,20,200,35,200,38,200,21,10000,22,250,99,21792000
230,230,239,3000,1000,1,332190,2,33219,3,6643,6,200,19,200,20,200,35,200,38,200,21,10000,22,250,99,21990600
231,231,240,3000,1000,1,335190,2,33519,3,6703,6,200,19,200,20,200,35,200,38,200,21,10000,22,250,99,22189200
232,232,241,3000,1000,1,338190,2,33819,3,6763,6,200,19,200,20,200,35,200,38,200,21,10000,22,250,99,22387800
233,233,242,3000,1000,1,341190,2,34119,3,6823,6,200,19,200,20,200,35,200,38,200,21,10000,22,250,99,22586400
234,234,243,3000,1000,1,344190,2,34419,3,6883,6,200,19,200,20,200,35,200,38,200,21,10000,22,250,99,22785000
235,235,244,3000,1000,1,347190,2,34719,3,6943,6,200,19,200,20,200,35,200,38,200,21,10000,22,250,99,22983600
236,236,245,3000,1000,1,350190,2,35019,3,7003,6,200,19,200,20,200,35,200,38,200,21,10000,22,250,99,23182200
237,237,246,3000,1000,1,353190,2,35319,3,7063,6,200,19,200,20,200,35,200,38,200,21,10000,22,250,99,23380800
238,238,247,3000,1000,1,356190,2,35619,3,7123,6,200,19,200,20,200,35,200,38,200,21,10000,22,250,99,23579400
239,239,248,3000,1000,1,359190,2,35919,3,7183,6,200,19,200,20,200,35,200,38,200,21,10000,22,250,99,23778000
240,240,249,3000,1000,1,362190,2,36219,3,7243,6,200,19,200,20,200,35,200,38,200,21,10000,22,250,99,23976600
241,241,250,3000,1000,1,365190,2,36519,3,7303,6,200,19,200,20,200,35,200,38,200,21,10000,22,250,99,24175200
242,242,251,3000,1000,1,368190,2,36819,3,7363,6,200,19,200,20,200,35,200,38,200,21,10000,22,250,99,24373800
243,243,252,3000,1000,1,371190,2,37119,3,7423,6,200,19,200,20,200,35,200,38,200,21,10000,22,250,99,24572400
244,244,253,3000,1000,1,374190,2,37419,3,7483,6,200,19,200,20,200,35,200,38,200,21,10000,22,250,99,24771000
245,245,254,3000,1000,1,377190,2,37719,3,7543,6,200,19,200,20,200,35,200,38,200,21,10000,22,250,99,24969600
246,246,255,3000,1000,1,380190,2,38019,3,7603,6,200,19,200,20,200,35,200,38,200,21,10000,22,250,99,25168200
247,247,256,3000,1000,1,383190,2,38319,3,7663,6,200,19,200,20,200,35,200,38,200,21,10000,22,250,99,25366800
248,248,257,3000,1000,1,386190,2,38619,3,7723,6,200,19,200,20,200,35,200,38,200,21,10000,22,250,99,25565400
249,249,258,3000,1000,1,389190,2,38919,3,7783,6,200,19,200,20,200,35,200,38,200,21,10000,22,250,99,25764000
250,250,259,3000,1000,1,392190,2,39219,3,7843,6,200,19,200,20,200,35,200,38,200,21,10000,22,250,99,25962600
251,251,260,3000,1000,1,395190,2,39519,3,7903,6,200,19,200,20,200,35,200,38,200,21,10000,22,250,99,26161200
252,252,261,3000,1000,1,398190,2,39819,3,7963,6,200,19,200,20,200,35,200,38,200,21,10000,22,250,99,26359800
253,253,262,3000,1000,1,401190,2,40119,3,8023,6,200,19,200,20,200,35,200,38,200,21,10000,22,250,99,26558400
254,254,263,3000,1000,1,404190,2,40419,3,8083,6,200,19,200,20,200,35,200,38,200,21,10000,22,250,99,26757000
255,255,264,3000,1000,1,407190,2,40719,3,8143,6,200,19,200,20,200,35,200,38,200,21,10000,22,250,99,26955600
256,256,265,3000,1000,1,410190,2,41019,3,8203,6,200,19,200,20,200,35,200,38,200,21,10000,22,250,99,27154200
257,257,266,3000,1000,1,413190,2,41319,3,8263,6,200,19,200,20,200,35,200,38,200,21,10000,22,250,99,27352800
258,258,267,3000,1000,1,416190,2,41619,3,8323,6,200,19,200,20,200,35,200,38,200,21,10000,22,250,99,27551400
259,259,268,3000,1000,1,419190,2,41919,3,8383,6,200,19,200,20,200,35,200,38,200,21,10000,22,250,99,27750000
260,260,269,3000,1000,1,422190,2,42219,3,8443,6,200,19,200,20,200,35,200,38,200,21,10000,22,250,99,27948600
261,261,270,3000,1000,1,425190,2,42519,3,8503,6,200,19,200,20,200,35,200,38,200,21,10000,22,250,99,28147200
262,262,271,3000,1000,1,428190,2,42819,3,8563,6,200,19,200,20,200,35,200,38,200,21,10000,22,250,99,28345800
263,263,272,3000,1000,1,431190,2,43119,3,8623,6,200,19,200,20,200,35,200,38,200,21,10000,22,250,99,28544400
264,264,273,3000,1000,1,434190,2,43419,3,8683,6,200,19,200,20,200,35,200,38,200,21,10000,22,250,99,28743000
265,265,274,3000,1000,1,437190,2,43719,3,8743,6,200,19,200,20,200,35,200,38,200,21,10000,22,250,99,28941600
266,266,275,3000,1000,1,440190,2,44019,3,8803,6,200,19,200,20,200,35,200,38,200,21,10000,22,250,99,29140200
267,267,276,3000,1000,1,443190,2,44319,3,8863,6,200,19,200,20,200,35,200,38,200,21,10000,22,250,99,29338800
268,268,277,3000,1000,1,446190,2,44619,3,8923,6,200,19,200,20,200,35,200,38,200,21,10000,22,250,99,29537400
269,269,278,3000,1000,1,449190,2,44919,3,8983,6,200,19,200,20,200,35,200,38,200,21,10000,22,250,99,29736000
270,270,279,3000,1000,1,452190,2,45219,3,9043,6,200,19,200,20,200,35,200,38,200,21,10000,22,250,99,29934600
271,271,280,3000,1000,1,455190,2,45519,3,9103,6,200,19,200,20,200,35,200,38,200,21,10000,22,250,99,30133200
272,272,281,3000,1000,1,458190,2,45819,3,9163,6,200,19,200,20,200,35,200,38,200,21,10000,22,250,99,30331800
273,273,282,3000,1000,1,461190,2,46119,3,9223,6,200,19,200,20,200,35,200,38,200,21,10000,22,250,99,30530400
274,274,283,3000,1000,1,464190,2,46419,3,9283,6,200,19,200,20,200,35,200,38,200,21,10000,22,250,99,30729000
275,275,284,3000,1000,1,467190,2,46719,3,9343,6,200,19,200,20,200,35,200,38,200,21,10000,22,250,99,30927600
276,276,285,3000,1000,1,470190,2,47019,3,9403,6,200,19,200,20,200,35,200,38,200,21,10000,22,250,99,31126200
277,277,286,3000,1000,1,473190,2,47319,3,9463,6,200,19,200,20,200,35,200,38,200,21,10000,22,250,99,31324800
278,278,287,3000,1000,1,476190,2,47619,3,9523,6,200,19,200,20,200,35,200,38,200,21,10000,22,250,99,31523400
279,279,288,3000,1000,1,479190,2,47919,3,9583,6,200,19,200,20,200,35,200,38,200,21,10000,22,250,99,31722000
280,280,289,3000,1000,1,482190,2,48219,3,9643,6,200,19,200,20,200,35,200,38,200,21,10000,22,250,99,31920600
281,281,290,3000,1000,1,485190,2,48519,3,9703,6,200,19,200,20,200,35,200,38,200,21,10000,22,250,99,32119200
282,282,291,3000,1000,1,488190,2,48819,3,9763,6,200,19,200,20,200,35,200,38,200,21,10000,22,250,99,32317800
283,283,292,3000,1000,1,491190,2,49119,3,9823,6,200,19,200,20,200,35,200,38,200,21,10000,22,250,99,32516400
284,284,293,3000,1000,1,494190,2,49419,3,9883,6,200,19,200,20,200,35,200,38,200,21,10000,22,250,99,32715000
285,285,294,3000,1000,1,497190,2,49719,3,9943,6,200,19,200,20,200,35,200,38,200,21,10000,22,250,99,32913600
286,286,295,3000,1000,1,500190,2,50019,3,10003,6,200,19,200,20,200,35,200,38,200,21,10000,22,250,99,33112200
287,287,296,3000,1000,1,503190,2,50319,3,10063,6,200,19,200,20,200,35,200,38,200,21,10000,22,250,99,33310800
288,288,297,3000,1000,1,506190,2,50619,3,10123,6,200,19,200,20,200,35,200,38,200,21,10000,22,250,99,33509400
289,289,298,3000,1000,1,509190,2,50919,3,10183,6,200,19,200,20,200,35,200,38,200,21,10000,22,250,99,33708000
290,290,299,3000,1000,1,512190,2,51219,3,10243,6,200,19,200,20,200,35,200,38,200,21,10000,22,250,99,33906600
291,291,300,3000,1000,1,515190,2,51519,3,10303,6,200,19,200,20,200,35,200,38,200,21,10000,22,250,99,34105200
292,292,301,3000,1000,1,518190,2,51819,3,10363,6,200,19,200,20,200,35,200,38,200,21,10000,22,250,99,34303800
293,293,302,3000,1000,1,521190,2,52119,3,10423,6,200,19,200,20,200,35,200,38,200,21,10000,22,250,99,34502400
294,294,303,3000,1000,1,524190,2,52419,3,10483,6,200,19,200,20,200,35,200,38,200,21,10000,22,250,99,34701000
295,295,304,3000,1000,1,527190,2,52719,3,10543,6,200,19,200,20,200,35,200,38,200,21,10000,22,250,99,34899600
296,296,305,3000,1000,1,530190,2,53019,3,10603,6,200,19,200,20,200,35,200,38,200,21,10000,22,250,99,35098200
297,297,306,3000,1000,1,533190,2,53319,3,10663,6,200,19,200,20,200,35,200,38,200,21,10000,22,250,99,35296800
298,298,307,3000,1000,1,536190,2,53619,3,10723,6,200,19,200,20,200,35,200,38,200,21,10000,22,250,99,35495400
299,299,308,3000,1000,1,539190,2,53919,3,10783,6,200,19,200,20,200,35,200,38,200,21,10000,22,250,99,35694000
300,300,309,3000,1000,1,542190,2,54219,3,10843,6,200,19,200,20,200,35,200,38,200,21,10000,22,250,99,35892600
301,301,310,3000,1000,1,545190,2,54519,3,10903,6,200,19,200,20,200,35,200,38,200,21,10000,22,250,99,36091200
