buffid,buffname,buffshow,bufftype,unlimited,ifrefresh,ifdispel,cancelway,amount,overlapnum,limitbuff,benefit,buff_value_type1,effect1,pro1,type1_1,type2_1,type3_1,type4_1,type5_1,type6_1,type7_1,type8_1,type9_1,type10_1,type11_1,type12_1,type13_1,buff_value_type2,effect2,pro2,type1_2,type2_2,type3_2,type4_2,effectid,effecttype1,effectbase1
11111,神器1-流血buff-等级11,1,1,0,1,1,1,1,1,0,1,15,1,10000,3,11615,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11112,神器1-流血buff-等级12,1,1,0,1,1,1,1,1,0,1,15,1,10000,3,13427,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11201,神器1-加伤害流血buff-等级1,1,0,0,1,1,1,1,1,0,2,13,34,10000,500,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11202,神器1-加伤害流血buff-等级2,1,0,0,1,1,1,1,1,0,2,13,34,10000,1000,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11203,神器1-加伤害流血buff-等级3,1,0,0,1,1,1,1,1,0,2,13,34,10000,1500,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11204,神器1-加伤害流血buff-等级4,1,0,0,1,1,1,1,1,0,2,13,34,10000,2000,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12101,神器2-降低防御buff-等级1,1,0,0,1,1,1,1,1,0,1,1,10,10000,1,-1000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12102,神器2-降低防御buff-等级2,1,0,0,1,1,1,1,1,0,1,1,10,10000,1,-1200,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12103,神器2-降低防御buff-等级3,1,0,0,1,1,1,1,1,0,1,1,10,10000,1,-1400,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12104,神器2-降低防御buff-等级4,1,0,0,1,1,1,1,1,0,1,1,10,10000,1,-1600,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12105,神器2-降低防御buff-等级5,1,0,0,1,1,1,1,1,0,1,1,10,10000,1,-1800,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12106,神器2-降低防御buff-等级6,1,0,0,1,1,1,1,1,0,1,1,10,10000,1,-2000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12107,神器2-降低防御buff-等级7,1,0,0,1,1,1,1,1,0,1,1,10,10000,1,-2200,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12108,神器2-降低防御buff-等级8,1,0,0,1,1,1,1,1,0,1,1,10,10000,1,-2400,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12109,神器2-降低防御buff-等级9,1,0,0,1,1,1,1,1,0,1,1,10,10000,1,-2600,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12110,神器2-降低防御buff-等级10,1,0,0,1,1,1,1,1,0,1,1,10,10000,1,-2800,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12111,神器2-降低防御buff-等级11,1,0,0,1,1,1,1,1,0,1,1,10,10000,1,-3000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12112,神器2-降低防御buff-等级12,1,0,0,1,1,1,1,1,0,1,1,10,10000,1,-3200,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13201,提升5%防御buff-等级1,1,0,0,1,1,1,1,1,0,1,1,10,10000,3,500,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13202,提升10%防御buff-等级2,1,0,0,1,1,1,1,1,0,1,1,10,10000,3,1000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13203,提升15%防御buff-等级3,1,0,0,1,1,1,1,1,0,1,1,10,10000,3,1500,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13204,提升20%防御buff-等级4,1,0,0,1,1,1,1,1,0,1,1,10,10000,3,2000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14101,神器4-降低命中buff-等级1,1,0,0,1,1,1,1,1,0,1,1,10,10000,10,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14102,神器4-降低命中buff-等级2,1,0,0,1,1,1,1,1,0,1,1,10,10000,10,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14103,神器4-降低命中buff-等级3,1,0,0,1,1,1,1,1,0,1,1,10,10000,10,700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14104,神器4-降低命中buff-等级4,1,0,0,1,1,1,1,1,0,1,1,10,10000,10,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14105,神器4-降低命中buff-等级5,1,0,0,1,1,1,1,1,0,1,1,10,10000,10,900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14106,神器4-降低命中buff-等级6,1,0,0,1,1,1,1,1,0,1,1,10,10000,10,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14107,神器4-降低命中buff-等级7,1,0,0,1,1,1,1,1,0,1,1,10,10000,10,1100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14108,神器4-降低命中buff-等级8,1,0,0,1,1,1,1,1,0,1,1,10,10000,10,1200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14109,神器4-降低命中buff-等级9,1,0,0,1,1,1,1,1,0,1,1,10,10000,10,1300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14110,神器4-降低命中buff-等级10,1,0,0,1,1,1,1,1,0,1,1,10,10000,10,1400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14111,神器4-降低命中buff-等级11,1,0,0,1,1,1,1,1,0,1,1,10,10000,10,1500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14112,神器4-降低命中buff-等级12,1,0,0,1,1,1,1,1,0,1,1,10,10000,10,1600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14201,神器4-受到伤害加深-等级1,1,0,0,1,1,1,1,1,0,1,4,35,10500,10500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14202,神器4-受到伤害加深-等级2,1,0,0,1,1,1,1,1,0,1,4,35,11000,11000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14203,神器4-受到伤害加深-等级3,1,0,0,1,1,1,1,1,0,1,4,35,11500,11500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14204,神器4-受到伤害加深-等级4,1,0,0,1,1,1,1,1,0,1,4,35,12000,12000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20001,初级圣灵,0,0,0,0,0,1,1,1,0,1,15,37,10000,500,20001,500,0,0,0,0,0,0,0,0,0,0,22,21,1500,1,0,0,0,0,0,0
20002,中级圣灵,0,0,0,0,0,1,1,1,0,1,15,37,10000,1000,20001,500,0,0,0,0,0,0,0,0,0,0,22,21,2000,1,0,0,0,0,0,0
20003,高级圣灵,0,0,0,0,0,1,1,1,0,1,15,37,10000,1500,20001,500,0,0,0,0,0,0,0,0,0,0,22,21,2500,1,0,0,0,0,0,0
