herolv,lvexp,totolexp,costitem1,costnum1,costitem2,costnum2,costitem3,costnum3,reset_item1,reset_num1,reset_item2,reset_num2,reset_item3,reset_num3,reset_costid,reset_costnum
248,742628,1473528,91000001,12096818,91000041,48387274,91000044,4967,91000001,198719466,91000041,635182786,91000044,149641,91000002,2400
249,737966,1480594,91000001,12293910,91000041,49175646,91000044,5275,91000001,211013376,91000041,684358432,91000044,154916,91000002,2400
250,749694,1487660,91000001,12493402,91000041,49973612,91000044,5587,91000001,223506778,91000041,734332044,91000044,160503,91000002,2400
251,745032,1494726,91000001,12695312,91000041,50781250,91000044,5905,91000001,236202090,91000041,785113294,91000044,166408,91000002,2400
252,756760,1501792,91000001,12899658,91000041,51598638,91000044,6227,91000001,249101748,91000041,836711932,91000044,172635,91000002,2400
253,752098,1508858,91000001,13106462,91000041,52425854,91000044,6555,91000001,262208210,91000041,889137786,91000044,179190,91000002,2400
254,763826,1515924,91000001,13315744,91000041,53262976,91000044,6888,91000001,275523954,91000041,942400762,91000044,186078,91000002,2400
255,759164,1522990,91000001,13527520,91000041,54110084,91000044,7226,91000001,289051474,91000041,996510846,91000044,193304,91000002,2400
256,770892,1530056,91000001,13741814,91000041,54967258,91000044,7569,91000001,302793288,91000041,1051478104,91000044,200873,91000002,2400
257,766230,1537122,91000001,13958642,91000041,55834574,91000044,7918,91000001,316751930,91000041,1107312678,91000044,208791,91000002,2400
258,777958,1544188,91000001,14178028,91000041,56712114,91000044,8273,91000001,330929958,91000041,1164024792,91000044,217064,91000002,2400
259,773296,1551254,91000001,14399988,91000041,57599958,91000044,8633,91000001,345329946,91000041,1221624750,91000044,225697,91000002,2400
260,785024,1558320,91000001,14624546,91000041,58498186,91000044,8998,91000001,359954492,91000041,1280122936,91000044,234695,91000002,2400
261,780362,1565386,91000001,14851720,91000041,59406880,91000044,9370,91000001,374806212,91000041,1339529816,91000044,244065,91000002,2400
262,792090,1572452,91000001,15081528,91000041,60326118,91000044,9747,91000001,389887740,91000041,1399855934,91000044,253812,91000002,2400
263,787428,1579518,91000001,15313994,91000041,61255982,91000044,10130,91000001,405201734,91000041,1461111916,91000044,263942,91000002,2400
264,799156,1586584,91000001,15549138,91000041,62196556,91000044,10518,91000001,420750872,91000041,1523308472,91000044,274460,91000002,2400
265,794494,1593650,91000001,15786980,91000041,63147920,91000044,10913,91000001,436537852,91000041,1586456392,91000044,285373,91000002,2400
266,806222,1600716,91000001,16027538,91000041,64110158,91000044,11314,91000001,452565390,91000041,1650566550,91000044,296687,91000002,2400
267,801560,1607782,91000001,16270836,91000041,65083348,91000044,11720,91000001,468836226,91000041,1715649898,91000044,308407,91000002,2400
268,813288,1614848,91000001,16516894,91000041,66067578,91000044,12133,91000001,485353120,91000041,1781717476,91000044,320540,91000002,2400
269,808626,1621914,91000001,16765732,91000041,67062930,91000044,12552,91000001,502118852,91000041,1848780406,91000044,333092,91000002,2400
270,820354,1628980,91000001,17017370,91000041,68069486,91000044,12978,91000001,519136222,91000041,1916849892,91000044,346070,91000002,2400
271,815692,1636046,91000001,17271832,91000041,69087330,91000044,13410,91000001,536408054,91000041,1985937222,91000044,359480,91000002,2400
272,827420,1643112,91000001,17529136,91000041,70116546,91000044,13848,91000001,553937190,91000041,2056053768,91000044,373328,91000002,2400
273,822758,1650178,91000001,17789304,91000041,71157218,91000044,14293,91000001,571726494,91000041,2127210986,91000044,387621,91000002,2400
274,834486,1657244,91000001,18052358,91000041,72209432,91000044,14744,91000001,589778852,91000041,2199420418,91000044,402365,91000002,2400
275,829824,1664310,91000001,18318318,91000041,73273274,91000044,15202,91000001,608097170,91000041,2272693692,91000044,417567,91000002,2400
276,841552,1671376,91000001,18587206,91000041,74348828,91000044,15667,91000001,626684376,91000041,2347042520,91000044,433234,91000002,2400
277,836890,1678442,91000001,18859044,91000041,75436178,91000044,16138,91000001,645543420,91000041,2422478698,91000044,449372,91000002,2400
278,848618,1685508,91000001,19133852,91000041,76535412,91000044,16616,91000001,664677272,91000041,2499014110,91000044,465988,91000002,2400
279,843956,1692574,91000001,19411654,91000041,77646616,91000044,17102,91000001,684088926,91000041,2576660726,91000044,483090,91000002,2400
280,855684,1699640,91000001,19692468,91000041,78769876,91000044,17594,91000001,703781394,91000041,2655430602,91000044,500684,91000002,2400
281,851022,1706706,91000001,19976320,91000041,79905280,91000044,18093,91000001,723757714,91000041,2735335882,91000044,518777,91000002,2400
282,862750,1713772,91000001,20263228,91000041,81052912,91000044,18600,91000001,744020942,91000041,2816388794,91000044,537377,91000002,2400
283,858088,1720838,91000001,20553216,91000041,82212864,91000044,19114,91000001,764574158,91000041,2898601658,91000044,556491,91000002,2400
284,869816,1727904,91000001,20846304,91000041,83385222,91000044,19635,91000001,785420462,91000041,2981986880,91000044,576126,91000002,2400
285,865154,1734970,91000001,21142518,91000041,84570074,91000044,20164,91000001,806562980,91000041,3066556954,91000044,596290,91000002,2400
286,876882,1742036,91000001,21441876,91000041,85767508,91000044,20700,91000001,828004856,91000041,3152324462,91000044,616990,91000002,2400
287,872220,1749102,91000001,21744402,91000041,86977612,91000044,21243,91000001,849749258,91000041,3239302074,91000044,638233,91000002,2400
288,883948,1756168,91000001,22050118,91000041,88200478,91000044,21794,91000001,871799376,91000041,3327502552,91000044,660027,91000002,2400
289,879286,1763234,91000001,22359048,91000041,89436192,91000044,22353,91000001,894158424,91000041,3416938744,91000044,682380,91000002,2400
290,891014,1770300,91000001,22671210,91000041,90684846,91000044,22920,91000001,916829634,91000041,3507623590,91000044,705300,91000002,2400
291,886352,1777366,91000001,22986632,91000041,91946530,91000044,23495,91000001,939816266,91000041,3599570120,91000044,728795,91000002,2400
292,898080,1784432,91000001,23305332,91000041,93221332,91000044,24078,91000001,963121598,91000041,3692791452,91000044,752873,91000002,2400
293,893418,1791498,91000001,23627336,91000041,94509346,91000044,24668,91000001,986748934,91000041,3787300798,91000044,777541,91000002,2400
294,905146,1798564,91000001,23952664,91000041,95810660,91000044,25267,91000001,1010701598,91000041,3883111458,91000044,802808,91000002,2400
295,900484,1805630,91000001,24281340,91000041,97125366,91000044,25874,91000001,1034982938,91000041,3980236824,91000044,828682,91000002,2400
296,912212,1812696,91000001,24613388,91000041,98453558,91000044,26489,91000001,1059596326,91000041,4078690382,91000044,855171,91000002,2400
297,907550,1819762,91000001,24948830,91000041,99795324,91000044,27113,91000001,1084545156,91000041,4178485706,91000044,882284,91000002,2400
298,919278,1826828,91000001,25287688,91000041,101150758,91000044,27745,91000001,1109832844,91000041,4279636464,91000044,910029,91000002,2400
299,914616,1833894,91000001,25629988,91000041,102519954,91000044,28386,91000001,1135462832,91000041,4382156418,91000044,938415,91000002,2400
300,926344,1840960,91000001,25975750,91000041,103903004,91000044,29035,91000001,1161438582,91000041,4486059422,91000044,967450,91000002,2400
