id,dec,str
509,STR_UIJt_Already_Commander,该玩家已是长老
510,STR_UIJt_Already_Elite,该玩家已是精英
511,STR_UIJt_Already_Member,该玩家已是会员
512,STR_UIJt_Team_Not_Free,该队伍不处于空闲状态！
513,STR_UIJt_Leader,会长
514,STR_UIJt_Commander,长老
515,STR_UIJt_Elite,精英
516,STR_UIJt_Member,会员
517,STR_UIJt_End_Count,结算倒计时:
518,STR_UIJt_Start_Count,开始倒计时:
519,STR_UIJt_No_Found,未找到对应公会!
520,STR_UIJt_Push_JTName,点此输入公会名称
521,STR_UIJt_Push_Name,点此输入名称
522,STR_UIJt_No_Diamonds,钻石不足，无法创建
523,STR_UIJt_Set_JTName,请先输入公会名称
524,STR_UIJt_Name_TooLong,公会名称长度超出限制
525,STR_UIJt_Ban_Name,名字中不能包含敏感词！
526,STR_UIJt_Max_Num,已满员
527,STR_UIJt_Has_Apply,已申请
528,STR_UIJt_Apply,申 请
529,STR_UIJt_Ban_Everyone,该公会禁止任何人加入
530,STR_UIJt_Devote_Max,今日贡献次数已用完！
531,STR_UIJt_Operation_Limit,只有会长和长老才能操作
532,STR_UIJt_Operation_Boss,只有会长才能操作
533,STR_UIJt_OpenJT,公会等级达到%d级开启
534,STR_UIJt_SetError,设置错误
535,STR_UIJt_Set_SameInfo,无法设置相同内容
536,STR_UIJt_Have_Ban_Word,公告中不能包含敏感词！
537,STR_UIJt_ClearJT,解散公会需先遣散成员，公会长请三思
538,STR_UIJt_Time_YD,%d月%d日 %02d:%02d
539,STR_UIJt_OutJT,退出公会
540,STR_UIJt_Kick_OutJT,被逐出公会
541,STR_UIJt_Enter_JT,加入公会
542,STR_UIJt_Change_JTName,修改公会名字
543,STR_UIJt_Change_JTName_To,修改公会名字为
544,STR_UIJt_Change_JTIcon,修改公会图标
545,STR_UIJt_ToBe,被任命为%s
546,STR_UIJt_NoChange,无任何修改
547,STR_UIJt_Not_InJT,该成员不在帮会内
548,STR_UIJt_Can_Not_OUT,公会长不能退出公会
549,STR_UIJt_Need_One,%s至少一处城池属于您阵营
550,STR_UIJt_CreatJT,创建公会
551,STR_UIJt_Accept_Anyone,允许任何人加入
552,STR_UIJt_Ban_Anyone,禁止任何人加入
553,STR_UIJt_Need_Apply,需要申请才能加入
554,STR_UIJt_Need_Apply_ByLv,需要申请才能加入(%d级以上)
555,STR_UIJt_Max,公会人数已满！
556,STR_UIJt_No_Limit,无限制
557,STR_UIJt_Need_Lv,%d级以上
558,STR_UIJt_Num_Error,请输入正确的两位数字
559,STR_UIJt_Go_Fight,宣战
560,STR_UIKingFight_CityID_Error,城池ID错误
561,STR_UIKingFight_Mid_City,中立城池无法宣战
562,STR_UIKingFight_Fight_Time,宣战时间为早上8：00-17:00
563,STR_UIKingFight_Next_Fight,下场国战开启时间：
564,STR_UIKingFight_NoOfficial,无爵位
565,STR_UIKingFight_Hour,%s/小时
566,STR_UIKingFight_NoOneHour,不满一小时
567,STR_UIKingFight_Need_ToAddJT,请先加入一个公会
568,STR_UIKingFight_Count_Max,次数已满
569,STR_UIKingFight_By_FightNum,购买王权争夺战次数？
570,STR_UIKingFight_Can_Not_Beat,该玩家当前无爵位，无法反击
571,STR_UIKingFight_King_Shu,教皇
572,STR_UIKingFight_King_Wei,皇帝
573,STR_UIKingFight_King_Wu,议长
574,STR_UIKingFight_Not_Fight_Self,无法挑战自己!
575,STR_UIKingFight_RestTime,每日22:00-9:00为休战期，无法发起争夺
576,STR_UIKingFight_Need_Power,出战队伍战斗力不足目标战斗力的70%，无法挑战
577,STR_UIKingFight_Config_Error,服务器表不一致
578,STR_UIKingFight_RobOut,夺走  
579,STR_UIKingFight_Cell_Num,在%s第%d层的
580,STR_UIKingFight_Add_By_Give,封赐加成
581,STR_UIKingFight_Add_Up,产量提升%s
582,STR_UIKingFight_Add_By_City,封邑加成
583,STR_UIKingFight_No_City,建筑不存在
584,STR_UIKingFight_JTInfo_Error,公会信息错误
585,STR_UIKingFight_CurAdd_Max,当前加成已达到最高
586,STR_UIKingFight_Next_Need,下阶加成%d%%还需%d人
587,STR_UIKingFight_Is_Occupy,是否占领该位置
588,STR_UIKingTask_Has_All_Open,已开启全部宝箱!
589,STR_UIKingTask_OneKeyOpen,一键开启宝箱
590,STR_UIKingTask_AllOpen,开启所有宝箱
591,STR_UIKingTask_OpenBox,开启宝箱
592,STR_UILevelMap_Please_AddCamp,请先加入阵营
593,STR_UILevelMap_Need_PassLast,请通关前一章节
594,STR_UILoading_BAN,您的账号已经被冻结
595,STR_UIloginUI_Version,版本号：%s
596,STR_UIloginUI_Low_Version,当前版本过低，有新内容更新，请退出重启游戏
597,STR_UIMail_No_Mail,重要邮件请点击查看并领取
598,STR_UIMail_Read,已读
599,STR_UIMercenary_NONE,英雄身上没有佣兵
600,STR_UIMercenary_OneKey_Down,一键卸下
601,STR_UIMercenary_OneKey_Up,一键穿戴
602,STR_UIMercenary_Not_Have,您未拥有此佣兵
603,STR_UIMercenary_HighToLow,等级高到低
604,STR_UIMercenary_Combat,近战型佣兵
605,STR_UIMercenary_LowToHigh,等级低到高
606,STR_UIMercenary_Physics,物理型佣兵
607,STR_UIMercenary_GoodToBad,品质高到低
608,STR_UIMercenary_Long,远程型佣兵
609,STR_UIMercenary_BadToGood,品质低到高
610,STR_UIMercenary_Spell,法术类佣兵
611,STR_UIMercenary_Type,类别
612,STR_UIMercenary_Mind,心智类佣兵
613,STR_UIMercenary_Drop,卸下
614,STR_UIMercenary_Change,替换
615,STR_UIMercenary_Wear,穿戴
616,STR_UIMercenary_Lock,不能选择已经加锁的佣兵
617,STR_UIMercenary_One_Select,一次最多选择%d佣兵
618,STR_UIMercenary_Select_Wait_Clear,请先选择需要分解的佣兵
619,STR_UIMercenary_StrongOK,强化成功
620,STR_UIMercenary_Get_NewAtt,获得新属性
621,STR_UIMercenary_Select_Material,请选择强化材料
622,STR_UIMercenary_No_Choice,没有可以选择的佣兵
623,STR_UIMercenary_Push_To_Change,点击头像处选择或切换佣兵
624,STR_UIMercenary_Max_Lv,佣兵已达当前最大等级
625,STR_UIMercenary_Sure_StrongSS,强化素材中有SS佣兵，是否确定强化
626,STR_UIMercenary_decomposeSS,分解佣兵中有SS佣兵，是否确定分解
627,STR_UIMercenary_SS_Material,强化素材中有高等级佣兵，是否确定强化
628,STR_UIMercenary_decomposeHigh,分解佣兵中有高等级佣兵，是否确定分解
629,STR_UIMercenary_Get_NewAtt,请先洗练出新属性
630,STR_UIMercenary_No_AddAtt,没有附加属性，请先强化
631,STR_UIMercenary_Wash_Tip,洗练说明
632,STR_UIMercenary_Go_Strong,前往强化
633,STR_UIMercenary_Go_Wash,前往洗练
634,STR_UIMercenary_Is_Equip,已携带
635,STR_UIMsgbox_Refresh_GongXunShop,立即刷新功勋商店花费:
636,STR_UIMsgbox_Refresh_GongXianShop,立即刷新贡献商店花费:
637,STR_UIMsgbox_Refresh_YuanZhengShop,立即刷新远征商店花费:
638,STR_UIMsgbox_Refresh_ShenQiShop,立即刷新神器商店花费:
639,STR_UIMsgbox_Refresh_ZhaHuoShop,立即刷新杂货商店花费:
640,STR_UIMsgbox_Buy_One_Cost,购买1次挑战次数需要花费:
641,STR_UIMsgbox_Config_Error,item表里未找到ID为%d的道具
642,STR_UIMsgbox_No_Condition_Limit,无条件限制
643,STR_UIMsgbox_No_Condition,无条件
644,STR_UIMsgbox_Ban_Add,禁止加入
645,STR_UIMsgbox_Condition_Add,条件加入
646,STR_UIMsgbox_JTName_Limit,联盟名称最多6个字
647,STR_UIMsgbox_Let,将
648,STR_UIMsgbox_Let_Go,驱逐
649,STR_UIMsgbox_Out_JT,驱逐出公会
650,STR_UIMsgbox_Out_JT_Ensure,驱逐出公会，是否继续
651,STR_UIMsgbox_Is_Ensure,，是否继续
652,STR_UIMsgbox_Chaneg_JTLeader,将公会长转让给
653,STR_UIMsgbox_Turn,转让
654,STR_UIMsgbox_Set_Info,请点击输入内容
655,STR_UIMsgbox_Fight,战 斗
656,STR_UIMsgbox_Out_Line72Hours,连续离线72小时，公会长自动转交给
657,STR_UIMsgbox_Today_Refresh,今日剩余刷新次数：%d/%d
658,STR_UIMsgbox_Buy_Nums,购买次数
659,STR_UIMsgbox_Today_Buy,今日剩余购买次数：
660,STR_UIMes_Build,建造
661,STR_UIMes_ReliveHero,复活英雄
662,STR_UIMes_ReliveHero_By_Cost,是否愿意花费钻石复活英雄?
663,STR_UIMes_Add_Camp,加入阵营
664,STR_UIMes_Is_Random,听天由命，自有缘法，领主是否随机加入阵营?
665,STR_UIMini_map_Self,己方
666,STR_UIMini_map_Enemy,敌方
667,STR_UIMount_Bag,魔宠背包
668,STR_UIMount_Set_Order,签订契约
669,STR_UIMount_No_Order,尚未签订契约
670,STR_UIMount_Order_With,已与%s订下契约
671,STR_UIMount_Please_Ride,请先骑乘魔宠
672,STR_UIMount_Change_Need_Red,红色及以上品质才可以转换
673,STR_UIMount_Awakn_Add,(觉醒加成)
674,STR_UIMount_To_Get_Mount,召唤水晶可获得魔宠
675,STR_UIMount_Need_Star,需要%d星橙宠：
676,STR_UIMount_Select,选  中
677,STR_UIMount_Is_Achieve,已达到需求
678,STR_UIMount_Cancel,取  消
679,STR_UIMount_Train_Limit,只有橙色魔宠才可进行培养！
680,STR_UIMount_Awaken_Limit,橙色五星魔宠才可觉醒
681,STR_UIMount_Wash_Limit,橙色及以上品质才可以洗练
682,STR_UIMount_OneKey_Select,一键选择
683,STR_UIMount_Config_Error,表错误
684,STR_UIMount_Do_Not_Always_Push,请勿连续点击
685,STR_UIMount_Need_Crystal,水晶数量不足
686,STR_UIMount_Must_Decompose,你无法拥有更多的魔宠，请先分解魔宠
687,STR_UIMount_Is_MaxItem,达到上限恢复停止，请召唤
688,STR_UIMount_Get_Normal,获得%d个普通水晶
689,STR_UIMount_Get_High,获得%d个高级水晶
690,STR_UIMount_Need_HighCost,高级召唤次数已用完
691,STR_UIMount_Need_UpVip,提升贵族等级可以增加高级召唤次数
692,STR_UIMount_Evolution_Limit,魔宠达到橙色5星才可升阶
693,STR_UIMount_Need_ChangeMaterial,转换材料不足
694,STR_UIMount_Need_WashMaterial,洗练材料不足
695,STR_UIMount_Need_AwakenMaterial,觉醒材料不足
696,STR_UIMount_Change,魔宠转换
697,STR_UIMount_Wash,魔宠洗练
698,STR_UIMount_Evolution,魔宠升阶
699,STR_UIMount_Is_MaxNum,达到上限
700,STR_UIMount_Cost_Need,需要%d星橙色魔宠
701,STR_UIMount_Get_Glyph,雕纹兑换
702,STR_UIMount_Need_GlyphShip,雕纹碎片不足
703,STR_UIMount_Awaken_Tip,(激活装备在觉醒孔上符文额外属性)
704,STR_UIMount_Decompose_Mount,分解魔宠可获得符文
705,STR_UIMount_Please_Select_Glyph,请选择雕纹
706,STR_UIMount_Glyph_Is_MaxLv,雕纹已满级
707,STR_UIMount_Glyph_Need_Exp,雕纹经验不足
708,STR_UIMount_Compose_Need,再合成%d次必得四星及四星以上橙色魔宠
709,STR_UIMount_Need_Ship,碎片不足
710,STR_UIMount_UpStar_Need,需要%d星橙色魔宠(%d/%d)
711,STR_UIMount_Need_Crystal_GoBuy,水晶不足，请先进行召唤
712,STR_UIMount_Need_CallNum,召唤次数不足
713,STR_UIMount_SetSame_Glyph,无法镶嵌同类型雕纹
714,STR_UINation_Small_Fight,四团战
715,STR_UINation_Big_Fight,五团战
716,STR_UINation_Allot_To,您被分配到%s
717,STR_UINation_Wait_To_Fight,即将进入战斗
718,STR_UINation_Start_Sign,国战%s:%s开始报名
719,STR_UINation_Fight_End,国战已结束
720,STR_UINation_Enter_Fight,进入国战
721,STR_UINation_FightReport,战报
722,STR_UINation_Fight_End_See,国战已结束，查看战报接口
723,STR_UINation_Go_Declare_War,前往宣战
724,STR_UINation_No_Declare,尚未宣战
725,STR_UINation_Go_Sign,前往报名
726,STR_UINation_Fight_State,国战状态:
727,STR_UINation_Sign_List,报名列表
728,STR_UINation_Look_Last_Report,查看最近战报
729,STR_UINation_Is_Fight,战斗中
730,STR_UINation_Fight_Info,战斗信息
731,STR_UINation_Chick_Report,查看战报
732,STR_UINation_No_Sign,报名情况:未报名
733,STR_UINation_Not_In,报名情况:未入选
734,STR_UINation_Pos,报名情况:第%d位
735,STR_UIActive_Set_Key,请输入兑换码
736,STR_UIActive_Can_Not_Use,不可兑换
737,STR_UIActive_Not_Reach,未达成
738,STR_UIActive_Online_Days,登陆%d天
739,STR_UIActive_TimeCD,时间未到
740,STR_UIActive_Welfare,福利活动
741,STR_UIActive_Wonderful,精彩活动
742,STR_UINewchangehead_OK,操作成功
743,STR_UINewchangehead_Is_Used,该头像正在使用中
744,STR_UINewChapterLetter_Non_existent_Box,探索值宝箱不存在
745,STR_UINewChapterLetter_Non_Thread,不存在主线
746,STR_UINewChapterLetter_Finish,已完成
747,STR_UINewChapterMain_First,当前是第一章
748,STR_UINewChapterMain_End,当前是最终章
749,STR_UINewChapterMain_Next,下一章还未开启
750,STR_UINewgz_fightone_ChangeTeam,可在编组中更改出战部队
751,STR_UINewLogin_Select_Server,请选择服务器
752,STR_UINewLogin_Non_Name,用户名不能为空！
753,STR_UINewLogin_Non_Password,密码不能为空！
754,STR_UINewLogin_SetAccount,请输入账号...
755,STR_UINewLogin_SetPassword,请输入密码...
756,STR_UINewMoonCard_KeepDay,持续赠送30天
757,STR_UINewPower_TimeCD,领取时间未到，无法领取
758,STR_UINewPower_Dinner,记得18点后来吃晚餐呦~
759,STR_UINewPower_Eat_Lunch,午餐已烹制完成，敬请享用吧~
760,STR_UINewPower_Fix,补领
761,STR_UINewPower_Lunch,记得12点后来吃午餐呦~
762,STR_UINewPower_Night,记得21点后来吃宵夜呦~
763,STR_UINewPower_Eat_Dinner,晚餐已烹制完成，敬请享用吧~
764,STR_UINewPower_End,今天已打烊，明日12点午餐再见~ 
765,STR_UINewPower_Eat_Night,宵夜已烹制完成，敬请享用吧~
766,STR_UINewRank_Player,玩家
767,STR_UINewRank_Power,战力
768,STR_UINewRank_All_Star,总星数
769,STR_UINewRank_Sum_Power,总战力
770,STR_UINewSetName_Same_Icon,无法更换相同头像
771,STR_UINewSetName_Non_Name,角色名不能为空
772,STR_UINewSetName_Long_Name,请输入领主姓名
773,STR_UINewSetUI_Contact,请联系官方客服-QQ1913745652
774,STR_UINewSeven_Half,半月活动
775,STR_UINewSeven_Seven,七日活动
776,STR_UINewSeven_Day_8,8天
777,STR_UINewSeven_Day_9,9天
778,STR_UINewSeven_Day_10,10天
779,STR_UINewSeven_Day_11,11天
780,STR_UINewSeven_Day_12,12天
781,STR_UINewSeven_Day_13,13天
782,STR_UINewSeven_Day_14,14天
783,STR_UINewSeven_Day_1,1天
784,STR_UINewSeven_Day_2,2天
785,STR_UINewSeven_Day_3,3天
786,STR_UINewSeven_Day_4,4天
787,STR_UINewSeven_Day_5,5天
788,STR_UINewSeven_Day_6,6天
789,STR_UINewSeven_Day_7,7天
790,STR_UISign_Num_Error,序号错误！
791,STR_UISign_Need_Sign,签到次数不足！
792,STR_UISign_TimeY_Error,获取月份错误！
793,STR_UISign_TimeD_Error,获取日子错误！
794,STR_UISign_Has_Sign,已签到
795,STR_UISign_Sign,签到
796,STR_UINotice_GoFight,正在进攻
797,STR_UINotice_Order,全军听令，集火
798,STR_UIPlayer_Open,开
799,STR_UIPlayer_Close,关
800,STR_UIPointState_Name,加冕为王
801,STR_UIRecycle_Add_Equip,请添加待分解装备
802,STR_UIRecycle_Add_HeroShip,请添加待分解魂石
803,STR_UIRecycle_Have_HighCost,列表包含橙色及以上物品，是否确认分解？
804,STR_UIRecycle_OK,确认
805,STR_UIRecycle_Equip_Tip,分解获得装备培养材料和一部分金币
806,STR_UIRecycle_HeroShip_Tip,分解可获得魂石
807,STR_UIRecycle_Get_Glyph,分解获得符文
808,STR_UIRecycle_Get_GlyphExp,分解获得符文经验
809,STR_UIRecycle_Add_Equip_Rebirth,请添加待重生装备
810,STR_UIRecycle_Is_Error,强化模组异常
811,STR_UIReward_Lock_By_Lv,人物等级不足，任务未解锁
812,STR_UIReward_Lock_By_Vip,贵族等级不足，任务未解锁
813,STR_UIReward_Have_Award,已领取奖励
814,STR_UIReward_Finish_Task,完成任务
815,STR_UISaodang_Num,扫荡%d次
816,STR_UISaodang_Limit,需要贵族%d或%d级开启
817,STR_UIScience_Add_Speed,加速科技列队
818,STR_UIScience_None,尚无研究科技
819,STR_UIScience_Is_Doing,研究中
820,STR_UIScience_Non_Speed,当前没有可加速的科技
821,STR_UIScience_Non_Cancel,当前没有可取消的科技
822,STR_UIScience_HeroLv,领主等级
823,STR_UIScience_Achieve,%s达到%d级
824,STR_UIScience_Wait,等待中
825,STR_UIShop_Award,商会奖励
826,STR_UIShop_Day_Award,每日福利
827,STR_UIShop_Return_Award,商会返利
828,STR_UIShop_Non_Refresh,今日刷新次数已用完
829,STR_UIShop_Non_Refresh_UpVip,今日刷新次数已用完，提升贵族等级可获得更多的刷新次数!
830,STR_UIShop_Time_Error,刷新时间异常
831,STR_UIShop_RefreshD_Time,每天5：00重置限购数量
832,STR_UIShop_RefreshW_Time,每周一5：00重置限购数量
833,STR_UIShop_Pass,请通过%s
834,STR_UIShop_NextDay_Refresh,次日刷新
835,STR_UIShop_Need_Pass,通过%s
836,STR_UIShop_NextWeek_Refresh,次周刷新
837,STR_UIShop_Need_JTLV,公会等级不足
838,STR_UIShop_Recommend,推荐
839,STR_UIShop_Rare,稀有
840,STR_UIShop_Fata,宿命
841,STR_UIShop_Limit,限时
842,STR_UIShop_Award_ByChapterLv,达到指定关卡可获得奖励
843,STR_UIShop_Award_ByActive,达到指定活跃点可获得奖励
844,STR_UIShop_Award_ByCount,达到指定次数可获得奖励
845,STR_UIShop_Award_Half,半月活动结束后可获得奖励
846,STR_UIShop_Award_Seven,七日活动结束后可获得奖励
847,STR_UIShop_Award_JT,22点发至占领公会的所有成员邮箱中
848,STR_UIShop_Award_First,首次获胜可获得奖励
849,STR_UIShop_Award_ByStar,达到指定星级可获得奖励
850,STR_UIShop_Award_BySearch_Num,达到指定探索值可获得奖励
851,STR_UISmelt_Name,祈祷说明
852,STR_UISmelt_Num_Rank,祈祷次数排行
853,STR_UISmelt_Buy_Item,购买%d次祈祷产物
854,STR_UISmelt_Buy_Num,购买%d件
855,STR_UISoldier_Near,近
856,STR_UISoldier_Far,远
857,STR_UISoldier_Non_Soldier,暂无可兑换的佣兵
858,STR_UISoldier_Non_Flag,暂无可兑换的军旗
859,STR_UISoldier_Have_Same,已携带相同类型军旗，不可重复携带
860,STR_UISoldier_Is_Max,已升满级
861,STR_UISoldier_Sure_Disband,是否确定要解散佣兵
862,STR_UISoldier_Disband_Tips1,解散后强化等级回归1级，同时返还100%的强化消耗材料
863,STR_UISoldier_Disband_Tips2,卸下后强化等级回归1级，同时返还100%的强化消耗材料
864,STR_UISoldier_Disband,确定解散
865,STR_UISoldier_Think_More,再想想
866,STR_UISoldier_Sure_Flag,是否确定要卸下军旗
867,STR_UISoldier_Down_Flag,确定卸下
868,STR_UISoldier_Sure_Change,确定更换
869,STR_UISoldier_Not_Have,未拥有
870,STR_UISoldier_Same_Tips,英雄类型和佣兵的类型不同(近战或远程)
871,STR_UISoldier_Is_InTeam,已经上阵:
872,STR_UISoldier_High,高阶佣兵
873,STR_UISoldier_Low,低阶佣兵
874,STR_UISoldier_City_Tip,不能禁入自己的国家
875,STR_UISoldier_Team_Ban_Camp,队伍禁止您所属的阵营玩家加入
876,STR_UISoldier_Out_Team,退出队伍
877,STR_UISoldier_Wait_Faight,s后进入战斗
878,STR_UISoldier_Start_Fight,开始战斗   
879,STR_UISoldier_Fight_Win,战斗胜利
880,STR_UISoldier_Fight_Lose,战斗失败
881,STR_UIStarAward_Achieve,达到关卡星级可获得奖励
882,STR_UIStarAward_Achieve_Lv,达到等级%d可获得奖励
883,STR_UIStarAward_Achieve_Num,报名人数达到可获得奖励
884,STR_UIStarAward_Achieve_Active,达到活跃度可获得奖励
885,STR_UIStarAward_Achieve_Military,达到军功值可获得奖励
886,STR_UISummon_Need_Energy,能量不足
887,STR_UISummon_Ordinary,平凡
888,STR_UISummon_Excellent,优秀
889,STR_UISummon_Elite,精英
890,STR_UISummon_Epic,史诗
891,STR_UISummon_Legend,传说
892,STR_UISummon_Divine_Envoy,神祗
893,STR_UISummon_Energy_Call,能量召唤
894,STR_UISummon_Look_Hero,英雄预览
895,STR_UITanChuang_Need_Power,体力不足
896,STR_UITanChuang_Max_Power,今日体力获取次数已达到最大上限
897,STR_UITanChuang_Need_Gold,铜币不足
898,STR_UITanChuang_Max_Gold,今日铜币获取次数已达到最大上限
899,STR_UITanChuang_Fix_Fower,补领体力
900,STR_UITanChuang_EnterShop,加入商会
901,STR_UITanChuang_EnterShop_Tip,(加入商会后在免费时间内可以免费领取)
902,STR_UITanChuang_Main_Txt,主要文本内容
903,STR_UITanChuang_Describe_Info,描述的提示信息
904,STR_UITanChuang_Look_Power,查看特权
905,STR_UITanChuang_JTExp_Is_Max,今日公会经验已达上限，捐献后只会获得贡献币
906,STR_UITanChuang_Reset_Talent,重置%s的天赋
907,STR_UITeamFight_Non_Count,关卡挑战次数已经用完
908,STR_UITeamFight_Need_Star,关卡三星才可扫荡
909,STR_UITeamFight_Is_MaxLv,当前已经是最高关卡
910,STR_UITeamFight_Is_Frist,当前已经是第一章
911,STR_UITeamFight_Change_Fail,切换关卡失败，条件未满足
912,STR_UITeamFight_Non_Error,没有找到这个%d号章节的数据配置  
913,STR_UITeamFight_Finish_Last,组队关请完成前面的关卡
914,STR_UITeamFight_Need_Finish,请先完成前期关卡
915,STR_UITeamFight_DownCity,地下城
916,STR_UITeamFight_Clear_More,扫荡多次
917,STR_UITips_Not,未招募
918,STR_UITips_Have,已招募
919,STR_UITrial_Info_Error,试练信息错误
920,STR_UITrial_Need_ChapterLv,请先达到关卡条件
921,STR_UITrial_Error,参数错误
922,STR_UITrial_Bliss,极乐
923,STR_UITrial_Leisure,休闲
924,STR_UITrial_Simple,简单
925,STR_UITrial_Ordinary,普通
926,STR_UITrial_Difficulty,困难
927,STR_UITrial_Combat,实战
928,STR_UITrial_Fighting,鏖战
929,STR_UITrial_XiuLuo,修罗
930,STR_UITrial_Hell,地狱
931,STR_UITrial_PastLife,往生
932,STR_UITrial_Finish_Last,通关上一关开启
933,STR_UITrial_Clear_Award,扫荡奖励
934,STR_UITrial_Need_Condition,当前关卡未达到开启挑战条件
935,STR_UITrial_BuyTime_IsNon,今日购买次数已用完
936,STR_UITrial_Up_VIP_ToBuyTime,提升贵族等级可以购买更多的挑战次数
937,STR_UITrial_BuyTimes,购买挑战次数？
938,STR_UIVip_Day_Return,每日返
939,STR_UIVip_Now,立得
940,STR_UIVip_Frist_Cost,首充
941,STR_UIVip_Space,时空秘境
942,STR_UIXianShiShenJiang_Time_Count,%s后排行榜将做最后的更新。领取奖励以最终排行为准
943,STR_UIXianShiShenJiang_Tips1,点击左下角按钮可查看或领取奖励
944,STR_UIXianShiShenJiang_Tip_Award,排行奖励
945,STR_UIXianShiShenJiang_Get_Award,领取奖励
946,STR_UIXianShiShenJiang_Min_Tip,(每分钟刷新)
947,STR_UIXianShiShenJiang_5Min_Tip,(每5分钟刷新)
948,STR_UIXianShiShenJiang_This_Get_Num,本次招贤将获得%d积分
949,STR_UIXianShiShenJiang_Rank_Num,第%d名
950,STR_UIXianShiShenJiang_Rank_Range,第%d-%d名
951,STR_UIChapter_Non_Item,物件 %s 不存在！
952,STR_UIChapter_Non,触发物件不存在！
953,STR_UIArena_Non_Report,战报已过期
954,STR_UIArena_BuyOK,购买成功
955,STR_UIArena_BuyOK_Jade,购买成功，获得%d玉符
956,STR_UIbag_Error_Change,英雄卡转换灵魂石错误
957,STR_UIbag_Add_Skill_Point,增加技能点%d点
958,STR_UIbag_SellOK,出售成功，获得%d金币!
959,STR_UIbag_ComposeOK,合成成功
960,STR_UIbag_Do_Error,操作失败！
961,STR_UIBase_Wait_Tip,请稍等，正在登录平台，请稍后登录游戏，请点忽略
962,STR_UIBase_Is_Login,正在登陆平台
963,STR_UIBase_,火速
964,STR_UIBase_Error_Config,道具ID错误！未找到ID为%d的道具，检查Itemconfig
965,STR_UIBigBeast_ExchangeOK,兑换成功
966,STR_UIBigBeast_SetOK,设置成功
967,STR_UICampfight_Stay_To_Relive,只有驻守状态才能复活英雄
968,STR_UIChat_SendOK,发布成功
969,STR_UIContest_Non_Def,当前据点无人防守
970,STR_UIDungeons_Pass_One,通关关卡第一章开启
971,STR_UIExpedition_Enemy,敌人
972,STR_UIFind_Error,抽奖失败！
973,STR_UIFriend_Wait_Reply,已发送好友申请，请等待对方回复！
974,STR_UIFriend_Non_Player,无此玩家！
975,STR_UIFriend_Non_Type,无此查找类型！
976,STR_UIFriend_Add_OK,成功添加好友！
977,STR_UIFriend_Apply_To_Delete,申请删除！
978,STR_UIFriend_Send_Power,体力赠送成功！
979,STR_UIFriend_Get_Power,成功领取体力%d点，今日剩余可领取体力%d点！
980,STR_UIFriend_Max_Power,成功领取体力%d点，今日可领取体力已达上限！
981,STR_UIFriend_One_Hour,1小时
982,STR_UIGem_Compose_Num,合成了%d个%s
983,STR_UIGuoJia_Tip,从国都出发不能到达的城池无法宣战
984,STR_UIGve_Non_Camp,您没有加入阵营 无法参加
985,STR_UIGve_Has_Dragon,%s据点出现恶龙
986,STR_UIGve_RobOK,掠夺成功，据点占领度减少%s，获得%d荣誉点
987,STR_UIGve_SaveOK,援护成功，据点占领度减少%s，获得%d荣誉点
988,STR_UIGve_RefreshOK,刷新完成
989,STR_UIGve_IsMove,移动还未结束，不能开始战斗
990,STR_UIGve_Not_Start,活动未开始
991,STR_UIGve_IS_End,活动未开始
992,STR_UIGvg_StayOK,成功驻扎
993,STR_UIGvg_Non_Info,没有成员领取信息
994,STR_UIGvg_LeaveOK,撤离成功
995,STR_UIGvg_ChangeStay,压制方针成功修改为%s
996,STR_UIHalfmoon_Non,未知活动
997,STR_UIHalfmoon_Not_Finish,未完成
998,STR_UIHalfmoon_Is_End,活动过期
999,STR_UIHalfmoon_Do_Fail,操作失败
1000,STR_UIHalfmoon_Repeat_Buy,不能重复购买
1001,STR_UIHalfmoon_Need_Condition,领取条件不足
1002,STR_UIHero_Waring,警告！！！ 战斗数据异常！！！
1003,STR_UIhero_sub_Error,错误
1004,STR_UIhero_sub_GoodHero,良将
1005,STR_UIhero_sub_FamousHero,名将
1006,STR_UIhero_sub_GodHero,神将
1007,STR_UIhero_sub_HeroLv,英雄等级不足
1008,STR_UIJiuguanplus_Token_Call,令牌招募
1009,STR_UIJiuguanplus_Good_Call,良将招募
1010,STR_UIJiuguanplus_Famous,天下名将
1011,STR_UIJiuguanplus_GodCall,神将招募
1012,STR_UIJiuguanplus_Need_Call,招募令不足！
1013,STR_UIJiuguanplus_Need_FightCall,比武币不足！
1014,STR_UIJiuguanplus_Box_Num,宝箱%d次
1015,STR_UIJjcguanwei_Need_OneTeam,必须最少编一个队伍！
1016,STR_UIJjcguanwei_No_Count,次数不足！
1017,STR_UIJjcguanwei_CD,正在冷却中！
1018,STR_UIKing_NoPowerFight,你无权宣战
1019,STR_UIKing_CanNotFight,主城无法宣战
1020,STR_UIKing_Fight_One,同时只能宣战一个城池
1021,STR_UIKing_CanNot_Fight,该城池无法宣战
1022,STR_UIKing_ResetInfo,信息变更，请重新获取
1023,STR_UIKing_Need_Rechange,王权信息不匹配，请重新选择
1024,STR_UIKing_IsFight,对方正在战斗中
1025,STR_UIKing_Info_Error,仇敌信息错误
1026,STR_UIKing_Need_JTLV,公会达到%d级开放
1027,STR_UIMercenary_Non_Equip,没有可以穿戴的佣兵
1028,STR_UIMonsteratfd_Tip,势力入侵倒计时结束，事件消失！
