num,subtype,type,max,min,equip1,txt1,strengthen1,equip2,txt2,strengthen2,equip3,txt3,strengthen3,equip4,txt4,strengthen4
196,2,3,30400,25401,60310050,法杖武器6空,4,60520050,布甲头盔6空,4,60530050,布甲战甲6空,4,60540050,布甲战靴6空,4
197,2,3,35000,30401,60310050,法杖武器6空,4,60520050,布甲头盔6空,4,60530050,布甲战甲6空,4,60540060,布甲战靴7空,1
198,2,3,45000,35001,60310050,法杖武器6空,4,60520050,布甲头盔6空,4,60530060,布甲战甲7空,2,60540060,布甲战靴7空,2
199,2,3,54600,45001,60310060,法杖武器7空,5,60520060,布甲头盔7空,5,60530060,布甲战甲7空,5,60540060,布甲战靴7空,5
200,2,3,69600,54601,60310060,法杖武器7空,5,60520060,布甲头盔7空,5,60530060,布甲战甲7空,5,60540070,布甲战靴8空,1
201,2,3,84600,69601,60310060,法杖武器7空,5,60520060,布甲头盔7空,5,60530070,布甲战甲8空,2,60540070,布甲战靴8空,2
202,2,3,99600,84601,60310070,法杖武器8空,5,60520070,布甲头盔8空,5,60530070,布甲战甲8空,5,60540070,布甲战靴8空,5
203,2,3,114600,99601,60310070,法杖武器8空,5,60520070,布甲头盔8空,5,60530070,布甲战甲8空,5,60540080,布甲战靴9空,0
204,2,3,134600,114601,60310070,法杖武器8空,5,60520070,布甲头盔8空,5,60530080,布甲战甲9空,1,60540080,布甲战靴9空,1
205,2,3,154600,134601,60310070,法杖武器8空,5,60520080,布甲头盔9空,2,60530080,布甲战甲9空,2,60540080,布甲战靴9空,2
206,2,3,204600,154601,60310080,法杖武器9空,5,60520080,布甲头盔9空,5,60530080,布甲战甲9空,5,60540080,布甲战靴9空,5
207,2,3,254600,154601,60310080,法杖武器9空,5,60520080,布甲头盔9空,5,60530080,布甲战甲9空,5,60540090,布甲战靴10空,0
208,2,3,304600,254601,60310080,法杖武器9空,5,60520080,布甲头盔9空,5,60530090,布甲战甲10空,0,60540090,布甲战靴10空,0
209,2,3,354600,304601,60310080,法杖武器9空,5,60520090,布甲头盔10空,0,60530090,布甲战甲10空,0,60540090,布甲战靴10空,0
210,2,3,404600,354601,60310090,法杖武器10空,1,60520090,布甲头盔10空,1,60530090,布甲战甲10空,1,60540090,布甲战靴10空,1
211,2,3,454600,404601,60310090,法杖武器10空,2,60520090,布甲头盔10空,2,60530090,布甲战甲10空,2,60540090,布甲战靴10空,2
212,2,3,504600,454601,60310090,法杖武器10空,3,60520090,布甲头盔10空,3,60530090,布甲战甲10空,3,60540090,布甲战靴10空,3
213,2,3,554600,504601,60310090,法杖武器10空,4,60520090,布甲头盔10空,4,60530090,布甲战甲10空,4,60540090,布甲战靴10空,4
214,2,3,604600,554601,60310090,法杖武器10空,5,60520090,布甲头盔10空,5,60530090,布甲战甲10空,5,60540090,布甲战靴10空,5
215,2,3,654600,604601,60310090,法杖武器10空,5,60520090,布甲头盔10空,5,60530090,布甲战甲10空,5,60540100,布甲战靴11空,0
216,2,3,734600,654601,60310090,法杖武器10空,5,60520090,布甲头盔10空,5,60530100,布甲战甲11空,0,60540100,布甲战靴11空,0
217,2,3,814600,734601,60310090,法杖武器10空,0,60520100,布甲头盔11空,0,60530100,布甲战甲11空,0,60540100,布甲战靴11空,0
218,2,3,894600,814601,60310100,法杖武器11空,1,60520100,布甲头盔11空,1,60530100,布甲战甲11空,1,60540100,布甲战靴11空,1
219,2,3,974600,894601,60310100,法杖武器11空,2,60520100,布甲头盔11空,2,60530100,布甲战甲11空,2,60540100,布甲战靴11空,2
220,2,3,1054600,974601,60310100,法杖武器11空,3,60520100,布甲头盔11空,3,60530100,布甲战甲11空,3,60540100,布甲战靴11空,3
221,2,3,1134600,1054601,60310100,法杖武器11空,4,60520100,布甲头盔11空,4,60530100,布甲战甲11空,4,60540100,布甲战靴11空,4
222,2,3,99999999,1134601,60310100,法杖武器11空,5,60520100,布甲头盔11空,5,60530100,布甲战甲11空,5,60540100,布甲战靴11空,5
