orz,id,hero_star,star_quality,star_num,qualification1_id1,qualification1_num1,qualification1_id2,qualification1_num2,qualification2_id1,qualification2_num1,qualification2_id2,qualification2_num2,qualification3_id1,qualification3_num1,qualification3_id2,qualification3_num2,qualification4_id1,qualification4_num1,qualification4_id2,qualification4_num2,qualification5_id1,qualification5_num1,qualification5_id2,qualification5_num2,qualification6_id1,qualification6_num1,qualification6_id2,qualification6_num2,qualification7_id1,qualification7_num1,qualification7_id2,qualification7_num2,qualification8_id1,qualification8_num1,qualification8_id2,qualification8_num2,qualification9_id1,qualification9_num1,qualification9_id2,qualification9_num2,qualification10_id1,qualification10_num1,qualification10_id2,qualification10_num2,starlv_id1,starid_num1,starlv_id2,starid_num2,starlv_id3,starid_num3,starlv_id4,starid_num4,qualification1_type1,qualification1_value1,qualification1_type2,qualification1_value2,qualification1_type3,qualification1_value3,qualification2_type1,qualification2_value1,qualification2_type2,qualification2_value2,qualification2_type3,qualification2_value3,qualification3_type1,qualification3_value1,qualification3_type2,qualification3_value2,qualification3_type3,qualification3_value3,qualification4_type1,qualification4_value1,qualification4_type2,qualification4_value2,qualification4_type3,qualification4_value3,qualification5_type1,qualification5_value1,qualification5_type2,qualification5_value2,qualification5_type3,qualification5_value3,qualification6_type1,qualification6_value1,qualification6_type2,qualification6_value2,qualification6_type3,qualification6_value3,qualification7_type1,qualification7_value1,qualification7_type2,qualification7_value2,qualification7_type3,qualification7_value3,qualification8_type1,qualification8_value1,qualification8_type2,qualification8_value2,qualification8_type3,qualification8_value3,qualification9_type1,qualification9_value1,qualification9_type2,qualification9_value2,qualification9_type3,qualification9_value3,qualification10_type1,qualification10_value1,qualification10_type2,qualification10_value2,qualification10_type3,qualification10_value3,starlv_type1,starlv_value1,starlv_type2,starlv_value2,starlv_type3,starlv_value3,skillid1,skillid2,skillid3,skillid4,skillid5,skillid6,skillid7,skillid0,skillopen,qualification1,qualification2,qualification3,qualification4,qualification5,qualification6,qualification7,qualification8,qualification9,qualification10,starlv,qualification_icon1,qualification_icon2,qualification_icon3,qualification_icon4,qualification_icon5,qualification_icon6,qualification_icon7,qualification_icon8,qualification_icon9,qualification_icon10,starlv_icon
97,1007,7,4,1,91000001,0,12100701,4,91000001,0,12100701,4,91000001,0,12100701,4,91000001,0,12100701,4,91000001,0,12100701,4,91000001,0,12100701,4,91000001,0,12100701,4,91000001,0,12100701,4,91000001,0,12100701,4,91000001,0,12100701,4,91000001,0,30101000,0,12100701,4,0,0,9,2890,0,0,99,151893,30,170,0,0,99,151893,9,2890,0,0,99,151893,30,170,0,0,99,151893,9,2890,0,0,99,151893,30,170,0,0,99,151893,30,170,0,0,99,151893,30,170,0,0,99,151893,30,170,0,0,99,151893,0,0,0,0,0,0,6,25350,10,1300,99,607573,100700,100701,100702,0,0,0,0,1001,0,资质：力量,资质：敏捷,资质：智力,资质：精神,资质：体力,资质：幸运,资质：智力,资质：精神,资质：体力,资质：幸运,升星,icon_hero_shengxing_03,icon_hero_shengxing_03,icon_hero_shengxing_03,icon_hero_shengxing_03,icon_hero_shengxing_03,icon_hero_shengxing_03,icon_hero_shengxing_03,icon_hero_shengxing_03,icon_hero_shengxing_03,icon_hero_shengxing_03,icon_hero_yxwd_zizhi_07
98,1007,8,4,2,91000001,0,12100701,4,91000001,0,12100701,4,91000001,0,12100701,4,91000001,0,12100701,4,91000001,0,12100701,4,91000001,0,12100701,4,91000001,0,12100701,4,91000001,0,12100701,4,91000001,0,12100701,4,91000001,0,12100701,4,91000001,0,30101000,0,12100701,4,0,0,9,4630,0,0,99,243029,30,270,0,0,99,243029,9,4630,0,0,99,243029,30,270,0,0,99,243029,9,4630,0,0,99,243029,30,270,0,0,99,243029,30,270,0,0,99,243029,30,270,0,0,99,243029,30,270,0,0,99,243029,0,0,0,0,0,0,6,40570,10,2070,99,972117,100700,100701,100702,0,0,0,0,1001,0,资质：力量,资质：敏捷,资质：智力,资质：精神,资质：体力,资质：幸运,资质：智力,资质：精神,资质：体力,资质：幸运,升星,icon_hero_shengxing_03,icon_hero_shengxing_03,icon_hero_shengxing_03,icon_hero_shengxing_03,icon_hero_shengxing_03,icon_hero_shengxing_03,icon_hero_shengxing_03,icon_hero_shengxing_03,icon_hero_shengxing_03,icon_hero_shengxing_03,icon_hero_yxwd_zizhi_07
99,1007,9,4,3,91000001,0,12100701,4,91000001,0,12100701,4,91000001,0,12100701,4,91000001,0,12100701,4,91000001,0,12100701,4,91000001,0,12100701,4,91000001,0,12100701,4,91000001,0,12100701,4,91000001,0,12100701,4,91000001,0,12100701,4,91000001,0,30101000,0,12100701,4,0,0,9,6940,0,0,99,364543,30,410,0,0,99,364543,9,6940,0,0,99,364543,30,410,0,0,99,364543,9,6940,0,0,99,364543,30,410,0,0,99,364543,30,410,0,0,99,364543,30,410,0,0,99,364543,30,410,0,0,99,364543,0,0,0,0,0,0,6,60850,10,3110,99,1458176,100700,100701,100702,0,0,0,0,1001,0,资质：力量,资质：敏捷,资质：智力,资质：精神,资质：体力,资质：幸运,资质：智力,资质：精神,资质：体力,资质：幸运,升星,icon_hero_shengxing_03,icon_hero_shengxing_03,icon_hero_shengxing_03,icon_hero_shengxing_03,icon_hero_shengxing_03,icon_hero_shengxing_03,icon_hero_shengxing_03,icon_hero_shengxing_03,icon_hero_shengxing_03,icon_hero_shengxing_03,icon_hero_yxwd_zizhi_07
100,1007,10,5,1,91000001,0,12100701,5,91000001,0,12100701,5,91000001,0,12100701,5,91000001,0,12100701,5,91000001,0,12100701,5,91000001,0,12100701,5,91000001,0,12100701,5,91000001,0,12100701,5,91000001,0,12100701,5,91000001,0,12100701,5,91000001,0,30101000,0,12100701,5,0,0,9,9980,0,0,99,524031,30,580,0,0,99,524031,9,9980,0,0,99,524031,30,580,0,0,99,524031,9,9980,0,0,99,524031,30,580,0,0,99,524031,30,580,0,0,99,524031,30,580,0,0,99,524031,30,580,0,0,99,524031,0,0,0,0,0,0,6,87470,10,4470,99,2096128,100700,100701,100702,100703,0,0,0,1001,0,资质：力量,资质：敏捷,资质：智力,资质：精神,资质：体力,资质：幸运,资质：智力,资质：精神,资质：体力,资质：幸运,升星,icon_hero_shengxing_04,icon_hero_shengxing_04,icon_hero_shengxing_04,icon_hero_shengxing_04,icon_hero_shengxing_04,icon_hero_shengxing_04,icon_hero_shengxing_04,icon_hero_shengxing_04,icon_hero_shengxing_04,icon_hero_shengxing_04,icon_hero_yxwd_zizhi_07
101,1007,11,5,2,91000001,0,12100701,5,91000001,0,12100701,5,91000001,0,12100701,5,91000001,0,12100701,5,91000001,0,12100701,5,91000001,0,12100701,5,91000001,0,12100701,5,91000001,0,12100701,5,91000001,0,12100701,5,91000001,0,12100701,5,91000001,0,30101000,0,12100701,5,0,0,9,13300,0,0,99,698709,30,780,0,0,99,698709,9,13300,0,0,99,698709,30,780,0,0,99,698709,9,13300,0,0,99,698709,30,780,0,0,99,698709,30,780,0,0,99,698709,30,780,0,0,99,698709,30,780,0,0,99,698709,0,0,0,0,0,0,6,116630,10,5960,99,2794837,100700,100701,100702,100703,0,0,0,1001,0,资质：力量,资质：敏捷,资质：智力,资质：精神,资质：体力,资质：幸运,资质：智力,资质：精神,资质：体力,资质：幸运,升星,icon_hero_shengxing_04,icon_hero_shengxing_04,icon_hero_shengxing_04,icon_hero_shengxing_04,icon_hero_shengxing_04,icon_hero_shengxing_04,icon_hero_shengxing_04,icon_hero_shengxing_04,icon_hero_shengxing_04,icon_hero_shengxing_04,icon_hero_yxwd_zizhi_07
102,1007,12,5,3,91000001,0,12100701,5,91000001,0,12100701,5,91000001,0,12100701,5,91000001,0,12100701,5,91000001,0,12100701,5,91000001,0,12100701,5,91000001,0,12100701,5,91000001,0,12100701,5,91000001,0,12100701,5,91000001,0,12100701,5,91000001,0,30101000,0,12100701,5,0,0,9,16770,0,0,99,880981,30,980,0,0,99,880981,9,16770,0,0,99,880981,30,980,0,0,99,880981,9,16770,0,0,99,880981,30,980,0,0,99,880981,30,980,0,0,99,880981,30,980,0,0,99,880981,30,980,0,0,99,880981,0,0,0,0,0,0,6,147050,10,7510,99,3523925,100700,100701,100702,100703,0,0,0,1001,0,资质：力量,资质：敏捷,资质：智力,资质：精神,资质：体力,资质：幸运,资质：智力,资质：精神,资质：体力,资质：幸运,升星,icon_hero_shengxing_04,icon_hero_shengxing_04,icon_hero_shengxing_04,icon_hero_shengxing_04,icon_hero_shengxing_04,icon_hero_shengxing_04,icon_hero_shengxing_04,icon_hero_shengxing_04,icon_hero_shengxing_04,icon_hero_shengxing_04,icon_hero_yxwd_zizhi_07
103,1007,13,6,1,91000001,0,12100701,6,91000001,0,12100701,6,91000001,0,12100701,6,91000001,0,12100701,6,91000001,0,12100701,6,91000001,0,12100701,6,91000001,0,12100701,6,91000001,0,12100701,6,91000001,0,12100701,6,91000001,0,12100701,6,91000001,0,30101000,0,12100701,6,0,0,9,20530,0,0,99,1078442,30,1200,0,0,99,1078442,9,20530,0,0,99,1078442,30,1200,0,0,99,1078442,9,20530,0,0,99,1078442,30,1200,0,0,99,1078442,30,1200,0,0,99,1078442,30,1200,0,0,99,1078442,30,1200,0,0,99,1078442,0,0,0,0,0,0,6,180010,10,9200,99,4313770,100700,100701,100702,100703,0,0,0,1001,0,资质：力量,资质：敏捷,资质：智力,资质：精神,资质：体力,资质：幸运,资质：智力,资质：精神,资质：体力,资质：幸运,升星,icon_hero_shengxing_05,icon_hero_shengxing_05,icon_hero_shengxing_05,icon_hero_shengxing_05,icon_hero_shengxing_05,icon_hero_shengxing_05,icon_hero_shengxing_05,icon_hero_shengxing_05,icon_hero_shengxing_05,icon_hero_shengxing_05,icon_hero_yxwd_zizhi_07
104,1007,14,6,2,91000001,0,12100701,6,91000001,0,12100701,6,91000001,0,12100701,6,91000001,0,12100701,6,91000001,0,12100701,6,91000001,0,12100701,6,91000001,0,12100701,6,91000001,0,12100701,6,91000001,0,12100701,6,91000001,0,12100701,6,91000001,0,30101000,0,12100701,6,0,0,9,24580,0,0,99,1291093,30,1440,0,0,99,1291093,9,24580,0,0,99,1291093,30,1440,0,0,99,1291093,9,24580,0,0,99,1291093,30,1440,0,0,99,1291093,30,1440,0,0,99,1291093,30,1440,0,0,99,1291093,30,1440,0,0,99,1291093,0,0,0,0,0,0,6,215510,10,11010,99,5164373,100700,100701,100702,100703,0,0,0,1001,0,资质：力量,资质：敏捷,资质：智力,资质：精神,资质：体力,资质：幸运,资质：智力,资质：精神,资质：体力,资质：幸运,升星,icon_hero_shengxing_05,icon_hero_shengxing_05,icon_hero_shengxing_05,icon_hero_shengxing_05,icon_hero_shengxing_05,icon_hero_shengxing_05,icon_hero_shengxing_05,icon_hero_shengxing_05,icon_hero_shengxing_05,icon_hero_shengxing_05,icon_hero_yxwd_zizhi_07
105,1007,15,6,3,91000001,0,12100701,6,91000001,0,12100701,6,91000001,0,12100701,6,91000001,0,12100701,6,91000001,0,12100701,6,91000001,0,12100701,6,91000001,0,12100701,6,91000001,0,12100701,6,91000001,0,12100701,6,91000001,0,12100701,6,91000001,0,30101000,0,12100701,6,0,0,9,28920,0,0,99,1518933,30,1690,0,0,99,1518933,9,28920,0,0,99,1518933,30,1690,0,0,99,1518933,9,28920,0,0,99,1518933,30,1690,0,0,99,1518933,30,1690,0,0,99,1518933,30,1690,0,0,99,1518933,30,1690,0,0,99,1518933,0,0,0,0,0,0,6,253540,10,12950,99,6075733,100700,100701,100702,100703,0,0,0,1001,0,资质：力量,资质：敏捷,资质：智力,资质：精神,资质：体力,资质：幸运,资质：智力,资质：精神,资质：体力,资质：幸运,升星,icon_hero_shengxing_05,icon_hero_shengxing_05,icon_hero_shengxing_05,icon_hero_shengxing_05,icon_hero_shengxing_05,icon_hero_shengxing_05,icon_hero_shengxing_05,icon_hero_shengxing_05,icon_hero_shengxing_05,icon_hero_shengxing_05,icon_hero_yxwd_zizhi_07
106,1008,1,2,1,91000001,0,12100801,0,91000001,0,12100801,0,91000001,0,12100801,0,91000001,0,12100801,0,91000001,0,12100801,0,91000001,0,12100801,0,91000001,0,12100801,0,91000001,0,12100801,0,91000001,0,12100801,0,91000001,0,12100801,0,91000001,0,30101000,0,12100801,0,0,0,29,0,0,0,99,0,10,0,0,0,99,0,29,0,0,0,99,0,10,0,0,0,99,0,29,0,0,0,99,0,10,0,0,0,99,0,10,0,0,0,99,0,10,0,0,0,99,0,10,0,0,0,99,0,0,0,0,0,0,0,6,0,30,0,99,0,100800,0,0,0,0,0,0,2001,0,资质：力量,资质：敏捷,资质：智力,资质：精神,资质：体力,资质：幸运,资质：智力,资质：精神,资质：体力,资质：幸运,升星,0,0,0,0,0,0,0,0,0,0,icon_hero_yxwd_zizhi_07
107,1008,2,2,2,91000001,0,12100801,1,91000001,0,12100801,1,91000001,0,12100801,1,91000001,0,12100801,1,91000001,0,12100801,1,91000001,0,12100801,1,91000001,0,12100801,1,91000001,0,12100801,1,91000001,0,12100801,1,91000001,0,12100801,1,91000001,0,30101000,0,12100801,1,0,0,29,130,0,0,99,13670,10,30,0,0,99,13670,29,130,0,0,99,13670,10,30,0,0,99,13670,29,130,0,0,99,13670,10,30,0,0,99,13670,10,30,0,0,99,13670,10,30,0,0,99,13670,10,30,0,0,99,13670,0,0,0,0,0,0,6,2460,30,60,99,54681,100800,0,0,0,0,0,0,2001,0,资质：力量,资质：敏捷,资质：智力,资质：精神,资质：体力,资质：幸运,资质：智力,资质：精神,资质：体力,资质：幸运,升星,icon_hero_shengxing_01,icon_hero_shengxing_01,icon_hero_shengxing_01,icon_hero_shengxing_01,icon_hero_shengxing_01,icon_hero_shengxing_01,icon_hero_shengxing_01,icon_hero_shengxing_01,icon_hero_shengxing_01,icon_hero_shengxing_01,icon_hero_yxwd_zizhi_07
108,1008,3,2,3,91000001,0,12100801,1,91000001,0,12100801,1,91000001,0,12100801,1,91000001,0,12100801,1,91000001,0,12100801,1,91000001,0,12100801,1,91000001,0,12100801,1,91000001,0,12100801,1,91000001,0,12100801,1,91000001,0,12100801,1,91000001,0,30101000,0,12100801,1,0,0,29,350,0,0,99,37593,10,100,0,0,99,37593,29,350,0,0,99,37593,10,100,0,0,99,37593,29,350,0,0,99,37593,10,100,0,0,99,37593,10,100,0,0,99,37593,10,100,0,0,99,37593,10,100,0,0,99,37593,0,0,0,0,0,0,6,6760,30,180,99,150374,100800,0,0,0,0,0,0,2001,0,资质：力量,资质：敏捷,资质：智力,资质：精神,资质：体力,资质：幸运,资质：智力,资质：精神,资质：体力,资质：幸运,升星,icon_hero_shengxing_01,icon_hero_shengxing_01,icon_hero_shengxing_01,icon_hero_shengxing_01,icon_hero_shengxing_01,icon_hero_shengxing_01,icon_hero_shengxing_01,icon_hero_shengxing_01,icon_hero_shengxing_01,icon_hero_shengxing_01,icon_hero_yxwd_zizhi_07
109,1008,4,3,1,91000001,0,12100801,2,91000001,0,12100801,2,91000001,0,12100801,2,91000001,0,12100801,2,91000001,0,12100801,2,91000001,0,12100801,2,91000001,0,12100801,2,91000001,0,12100801,2,91000001,0,12100801,2,91000001,0,12100801,2,91000001,0,30101000,0,12100801,2,0,0,29,710,0,0,99,76896,10,200,0,0,99,76896,29,710,0,0,99,76896,10,200,0,0,99,76896,29,710,0,0,99,76896,10,200,0,0,99,76896,10,200,0,0,99,76896,10,200,0,0,99,76896,10,200,0,0,99,76896,0,0,0,0,0,0,6,13830,30,360,99,307584,100800,100801,0,0,0,0,0,2001,0,资质：力量,资质：敏捷,资质：智力,资质：精神,资质：体力,资质：幸运,资质：智力,资质：精神,资质：体力,资质：幸运,升星,icon_hero_shengxing_02,icon_hero_shengxing_02,icon_hero_shengxing_02,icon_hero_shengxing_02,icon_hero_shengxing_02,icon_hero_shengxing_02,icon_hero_shengxing_02,icon_hero_shengxing_02,icon_hero_shengxing_02,icon_hero_shengxing_02,icon_hero_yxwd_zizhi_07
110,1008,5,3,2,91000001,0,12100801,2,91000001,0,12100801,2,91000001,0,12100801,2,91000001,0,12100801,2,91000001,0,12100801,2,91000001,0,12100801,2,91000001,0,12100801,2,91000001,0,12100801,2,91000001,0,12100801,2,91000001,0,12100801,2,91000001,0,30101000,0,12100801,2,0,0,29,1270,0,0,99,136704,10,350,0,0,99,136704,29,1270,0,0,99,136704,10,350,0,0,99,136704,29,1270,0,0,99,136704,10,350,0,0,99,136704,10,350,0,0,99,136704,10,350,0,0,99,136704,10,350,0,0,99,136704,0,0,0,0,0,0,6,24580,30,640,99,546816,100800,100801,0,0,0,0,0,2001,0,资质：力量,资质：敏捷,资质：智力,资质：精神,资质：体力,资质：幸运,资质：智力,资质：精神,资质：体力,资质：幸运,升星,icon_hero_shengxing_02,icon_hero_shengxing_02,icon_hero_shengxing_02,icon_hero_shengxing_02,icon_hero_shengxing_02,icon_hero_shengxing_02,icon_hero_shengxing_02,icon_hero_shengxing_02,icon_hero_shengxing_02,icon_hero_shengxing_02,icon_hero_yxwd_zizhi_07
111,1008,6,3,3,91000001,0,12100801,2,91000001,0,12100801,2,91000001,0,12100801,2,91000001,0,12100801,2,91000001,0,12100801,2,91000001,0,12100801,2,91000001,0,12100801,2,91000001,0,12100801,2,91000001,0,12100801,2,91000001,0,12100801,2,91000001,0,30101000,0,12100801,2,0,0,29,2030,0,0,99,218726,10,560,0,0,99,218726,29,2030,0,0,99,218726,10,560,0,0,99,218726,29,2030,0,0,99,218726,10,560,0,0,99,218726,10,560,0,0,99,218726,10,560,0,0,99,218726,10,560,0,0,99,218726,0,0,0,0,0,0,6,39330,30,1030,99,874905,100800,100801,0,0,0,0,0,2001,0,资质：力量,资质：敏捷,资质：智力,资质：精神,资质：体力,资质：幸运,资质：智力,资质：精神,资质：体力,资质：幸运,升星,icon_hero_shengxing_02,icon_hero_shengxing_02,icon_hero_shengxing_02,icon_hero_shengxing_02,icon_hero_shengxing_02,icon_hero_shengxing_02,icon_hero_shengxing_02,icon_hero_shengxing_02,icon_hero_shengxing_02,icon_hero_shengxing_02,icon_hero_yxwd_zizhi_07
112,1008,7,4,1,91000001,0,12100801,4,91000001,0,12100801,4,91000001,0,12100801,4,91000001,0,12100801,4,91000001,0,12100801,4,91000001,0,12100801,4,91000001,0,12100801,4,91000001,0,12100801,4,91000001,0,12100801,4,91000001,0,12100801,4,91000001,0,30101000,0,12100801,4,0,0,29,3170,0,0,99,341760,10,870,0,0,99,341760,29,3170,0,0,99,341760,10,870,0,0,99,341760,29,3170,0,0,99,341760,10,870,0,0,99,341760,10,870,0,0,99,341760,10,870,0,0,99,341760,10,870,0,0,99,341760,0,0,0,0,0,0,6,61450,30,1610,99,1367040,100800,100801,100802,0,0,0,0,2001,0,资质：力量,资质：敏捷,资质：智力,资质：精神,资质：体力,资质：幸运,资质：智力,资质：精神,资质：体力,资质：幸运,升星,icon_hero_shengxing_03,icon_hero_shengxing_03,icon_hero_shengxing_03,icon_hero_shengxing_03,icon_hero_shengxing_03,icon_hero_shengxing_03,icon_hero_shengxing_03,icon_hero_shengxing_03,icon_hero_shengxing_03,icon_hero_shengxing_03,icon_hero_yxwd_zizhi_07
113,1008,8,4,2,91000001,0,12100801,4,91000001,0,12100801,4,91000001,0,12100801,4,91000001,0,12100801,4,91000001,0,12100801,4,91000001,0,12100801,4,91000001,0,12100801,4,91000001,0,12100801,4,91000001,0,12100801,4,91000001,0,12100801,4,91000001,0,30101000,0,12100801,4,0,0,29,5070,0,0,99,546816,10,1390,0,0,99,546816,29,5070,0,0,99,546816,10,1390,0,0,99,546816,29,5070,0,0,99,546816,10,1390,0,0,99,546816,10,1390,0,0,99,546816,10,1390,0,0,99,546816,10,1390,0,0,99,546816,0,0,0,0,0,0,6,98320,30,2580,99,2187264,100800,100801,100802,0,0,0,0,2001,0,资质：力量,资质：敏捷,资质：智力,资质：精神,资质：体力,资质：幸运,资质：智力,资质：精神,资质：体力,资质：幸运,升星,icon_hero_shengxing_03,icon_hero_shengxing_03,icon_hero_shengxing_03,icon_hero_shengxing_03,icon_hero_shengxing_03,icon_hero_shengxing_03,icon_hero_shengxing_03,icon_hero_shengxing_03,icon_hero_shengxing_03,icon_hero_shengxing_03,icon_hero_yxwd_zizhi_07
114,1008,9,4,3,91000001,0,12100801,4,91000001,0,12100801,4,91000001,0,12100801,4,91000001,0,12100801,4,91000001,0,12100801,4,91000001,0,12100801,4,91000001,0,12100801,4,91000001,0,12100801,4,91000001,0,12100801,4,91000001,0,12100801,4,91000001,0,30101000,0,12100801,4,0,0,29,7600,0,0,99,820224,10,2090,0,0,99,820224,29,7600,0,0,99,820224,10,2090,0,0,99,820224,29,7600,0,0,99,820224,10,2090,0,0,99,820224,10,2090,0,0,99,820224,10,2090,0,0,99,820224,10,2090,0,0,99,820224,0,0,0,0,0,0,6,147480,30,3870,99,3280896,100800,100801,100802,0,0,0,0,2001,0,资质：力量,资质：敏捷,资质：智力,资质：精神,资质：体力,资质：幸运,资质：智力,资质：精神,资质：体力,资质：幸运,升星,icon_hero_shengxing_03,icon_hero_shengxing_03,icon_hero_shengxing_03,icon_hero_shengxing_03,icon_hero_shengxing_03,icon_hero_shengxing_03,icon_hero_shengxing_03,icon_hero_shengxing_03,icon_hero_shengxing_03,icon_hero_shengxing_03,icon_hero_yxwd_zizhi_07
115,1008,10,5,1,91000001,0,12100801,5,91000001,0,12100801,5,91000001,0,12100801,5,91000001,0,12100801,5,91000001,0,12100801,5,91000001,0,12100801,5,91000001,0,12100801,5,91000001,0,12100801,5,91000001,0,12100801,5,91000001,0,12100801,5,91000001,0,30101000,0,12100801,5,0,0,29,10920,0,0,99,1179072,10,3000,0,0,99,1179072,29,10920,0,0,99,1179072,10,3000,0,0,99,1179072,29,10920,0,0,99,1179072,10,3000,0,0,99,1179072,10,3000,0,0,99,1179072,10,3000,0,0,99,1179072,10,3000,0,0,99,1179072,0,0,0,0,0,0,6,212010,30,5560,99,4716288,100800,100801,100802,100803,0,0,0,2001,0,资质：力量,资质：敏捷,资质：智力,资质：精神,资质：体力,资质：幸运,资质：智力,资质：精神,资质：体力,资质：幸运,升星,icon_hero_shengxing_04,icon_hero_shengxing_04,icon_hero_shengxing_04,icon_hero_shengxing_04,icon_hero_shengxing_04,icon_hero_shengxing_04,icon_hero_shengxing_04,icon_hero_shengxing_04,icon_hero_shengxing_04,icon_hero_shengxing_04,icon_hero_yxwd_zizhi_07
116,1008,11,5,2,91000001,0,12100801,5,91000001,0,12100801,5,91000001,0,12100801,5,91000001,0,12100801,5,91000001,0,12100801,5,91000001,0,12100801,5,91000001,0,12100801,5,91000001,0,12100801,5,91000001,0,12100801,5,91000001,0,12100801,5,91000001,0,30101000,0,12100801,5,0,0,29,14560,0,0,99,1572096,10,4000,0,0,99,1572096,29,14560,0,0,99,1572096,10,4000,0,0,99,1572096,29,14560,0,0,99,1572096,10,4000,0,0,99,1572096,10,4000,0,0,99,1572096,10,4000,0,0,99,1572096,10,4000,0,0,99,1572096,0,0,0,0,0,0,6,282680,30,7410,99,6288384,100800,100801,100802,100803,0,0,0,2001,0,资质：力量,资质：敏捷,资质：智力,资质：精神,资质：体力,资质：幸运,资质：智力,资质：精神,资质：体力,资质：幸运,升星,icon_hero_shengxing_04,icon_hero_shengxing_04,icon_hero_shengxing_04,icon_hero_shengxing_04,icon_hero_shengxing_04,icon_hero_shengxing_04,icon_hero_shengxing_04,icon_hero_shengxing_04,icon_hero_shengxing_04,icon_hero_shengxing_04,icon_hero_yxwd_zizhi_07
117,1008,12,5,3,91000001,0,12100801,5,91000001,0,12100801,5,91000001,0,12100801,5,91000001,0,12100801,5,91000001,0,12100801,5,91000001,0,12100801,5,91000001,0,12100801,5,91000001,0,12100801,5,91000001,0,12100801,5,91000001,0,12100801,5,91000001,0,30101000,0,12100801,5,0,0,29,18360,0,0,99,1982208,10,5040,0,0,99,1982208,29,18360,0,0,99,1982208,10,5040,0,0,99,1982208,29,18360,0,0,99,1982208,10,5040,0,0,99,1982208,10,5040,0,0,99,1982208,10,5040,0,0,99,1982208,10,5040,0,0,99,1982208,0,0,0,0,0,0,6,356420,30,9340,99,7928832,100800,100801,100802,100803,0,0,0,2001,0,资质：力量,资质：敏捷,资质：智力,资质：精神,资质：体力,资质：幸运,资质：智力,资质：精神,资质：体力,资质：幸运,升星,icon_hero_shengxing_04,icon_hero_shengxing_04,icon_hero_shengxing_04,icon_hero_shengxing_04,icon_hero_shengxing_04,icon_hero_shengxing_04,icon_hero_shengxing_04,icon_hero_shengxing_04,icon_hero_shengxing_04,icon_hero_shengxing_04,icon_hero_yxwd_zizhi_07
118,1008,13,6,1,91000001,0,12100801,6,91000001,0,12100801,6,91000001,0,12100801,6,91000001,0,12100801,6,91000001,0,12100801,6,91000001,0,12100801,6,91000001,0,12100801,6,91000001,0,12100801,6,91000001,0,12100801,6,91000001,0,12100801,6,91000001,0,30101000,0,12100801,6,0,0,29,22480,0,0,99,2426496,10,6170,0,0,99,2426496,29,22480,0,0,99,2426496,10,6170,0,0,99,2426496,29,22480,0,0,99,2426496,10,6170,0,0,99,2426496,10,6170,0,0,99,2426496,10,6170,0,0,99,2426496,10,6170,0,0,99,2426496,0,0,0,0,0,0,6,436310,30,11440,99,9705984,100800,100801,100802,100803,0,0,0,2001,0,资质：力量,资质：敏捷,资质：智力,资质：精神,资质：体力,资质：幸运,资质：智力,资质：精神,资质：体力,资质：幸运,升星,icon_hero_shengxing_05,icon_hero_shengxing_05,icon_hero_shengxing_05,icon_hero_shengxing_05,icon_hero_shengxing_05,icon_hero_shengxing_05,icon_hero_shengxing_05,icon_hero_shengxing_05,icon_hero_shengxing_05,icon_hero_shengxing_05,icon_hero_yxwd_zizhi_07
119,1008,14,6,2,91000001,0,12100801,6,91000001,0,12100801,6,91000001,0,12100801,6,91000001,0,12100801,6,91000001,0,12100801,6,91000001,0,12100801,6,91000001,0,12100801,6,91000001,0,12100801,6,91000001,0,12100801,6,91000001,0,12100801,6,91000001,0,30101000,0,12100801,6,0,0,29,26910,0,0,99,2904960,10,7390,0,0,99,2904960,29,26910,0,0,99,2904960,10,7390,0,0,99,2904960,29,26910,0,0,99,2904960,10,7390,0,0,99,2904960,10,7390,0,0,99,2904960,10,7390,0,0,99,2904960,10,7390,0,0,99,2904960,0,0,0,0,0,0,6,522340,30,13700,99,11619840,100800,100801,100802,100803,0,0,0,2001,0,资质：力量,资质：敏捷,资质：智力,资质：精神,资质：体力,资质：幸运,资质：智力,资质：精神,资质：体力,资质：幸运,升星,icon_hero_shengxing_05,icon_hero_shengxing_05,icon_hero_shengxing_05,icon_hero_shengxing_05,icon_hero_shengxing_05,icon_hero_shengxing_05,icon_hero_shengxing_05,icon_hero_shengxing_05,icon_hero_shengxing_05,icon_hero_shengxing_05,icon_hero_yxwd_zizhi_07
