storyid,leftid,leftname,rightid,rightname,spokesman,txt,next
1607001,2009,林中女巫·佩蕾,2007,胜利长枪·雅提亚,1,果然！它们有联系，把碎石破坏掉以后它的力量大幅削弱了，可是被封锁的路也彻底锁死了！,1607002
1607002,2009,林中女巫·佩蕾,2007,胜利长枪·雅提亚,2,这是陷阱吗！哪怕死了也要困住我们！,1607003
1607003,2009,林中女巫·佩蕾,2007,胜利长枪·雅提亚,1,恐怕是的，用削弱的魔法引诱，即使这会伤到它本身。,0
1608001,2007,胜利长枪·雅提亚,2009,林中女巫·佩蕾,1,村里人说向北的道路被西面的怪物封锁了。,1608002
1608002,2007,胜利长枪·雅提亚,2009,林中女巫·佩蕾,1,而且与山脉另一端村子连接在一起了。,1608003
1608003,2007,胜利长枪·雅提亚,2009,林中女巫·佩蕾,2,这些恶魔是故意的，就是将他们当做……,1608004
1608004,2007,胜利长枪·雅提亚,2009,林中女巫·佩蕾,1,如果是镜像分裂，两边都是一模一样的吧，就算我们只选择帮助一个，“他们”终究会活下来。,1608005
1608005,2007,胜利长枪·雅提亚,2009,林中女巫·佩蕾,2,但愿如此吧。,0
1609001,2007,胜利长枪·雅提亚,2009,林中女巫·佩蕾,1,呼……杀死这混蛋了……,1609002
1609002,2007,胜利长枪·雅提亚,2009,林中女巫·佩蕾,2,杀死它这里的魔法链接发生了变化。,1609003
1609003,2007,胜利长枪·雅提亚,2009,林中女巫·佩蕾,1,再继续往前就能直接向北，就不会伤害到任何一个村落了，不出意外我们能探索整个地区了吧？,1609004
1609004,2007,胜利长枪·雅提亚,2009,林中女巫·佩蕾,2,虽然是这么说，但也不要掉以轻心了。,0
1701001,1008,神谕信使·贝尔,1014,狩魔鹰眼·马斯克,1,没想到这里已经面目全非了。,1701002
1701002,1008,神谕信使·贝尔,1014,狩魔鹰眼·马斯克,2,嗯？看起来这里变得很……至少没有神殿的样子了。,1701003
1701003,1008,神谕信使·贝尔,1014,狩魔鹰眼·马斯克,1,确实，除了那些在空气中扭曲的魔法能量，没什么能看得出这里与光之神有任何关系了。,1701004
1701004,1008,神谕信使·贝尔,1014,狩魔鹰眼·马斯克,2,这里探索起来恐怕不会简单，要注意这些保护用的机关，它们之间相互关联。,1701005
1701005,1008,神谕信使·贝尔,1014,狩魔鹰眼·马斯克,1,不要轻易行动，不然给困在这里可就大事不好。,0
1702001,1014,狩魔鹰眼·马斯克,1008,神谕信使·贝尔,1,成功了！是进入内部的传送门！,0
1703001,1008,神谕信使·贝尔,1014,狩魔鹰眼·马斯克,1,机关破解，可以向更隐匿的地方去了！,0
2001001,5002,创世双子,5001,审判利刃,1,哇，这就是庙会的感觉吗，感觉有点奇妙呢！,2001002
2001002,5002,创世双子,5001,审判利刃,2,这就是夔牛弄的庙会吧，这傻乎乎的牛还是有点想法的。,2001003
2001003,5002,创世双子,5001,审判利刃,2,感觉到了吗，这里面有隐藏的宝藏,2001004
2001004,5002,创世双子,5001,审判利刃,1,感觉到了！我们走我们走！！,0
2002001,5002,创世双子,5001,审判利刃,1,前方好像有魔法波动,2002002
2002002,5002,创世双子,5001,审判利刃,2,魔法波动？,2002003
2002003,5002,创世双子,5001,审判利刃,1,好像是个机关，我们快去看看····,0
2003001,5002,创世双子,5001,审判利刃,1,我感受到了炽热的气息,2003002
2003002,5002,创世双子,5001,审判利刃,2,这个怪物好像可以点燃什么东西,0
