id,npcid,npctype,worldlv,teamname,npclvtable,heronpc,heroequip,base_type1,base_value1,base_type2,base_value2,base_type3,base_value3,base_type4,base_value4,base_type5,base_value5,base_type6,base_value6,base_type7,base_value7,base_type8,base_value8,base_type9,base_value9,base_type10,base_value10,base_type11,base_value11
191,4803505,2,300,凯旋之歌,5,1013,1,1,35000,2,30000,3,30000,6,25000,19,25000,20,25000,35,25000,38,25000,21,0,22,0,99,30000
192,4803601,2,300,幻影守卫,5,3007,1,1,35000,2,30000,3,30000,6,25000,19,25000,20,25000,35,25000,38,25000,21,0,22,0,99,30000
193,4803602,2,300,赤炎之锤,5,2006,1,1,35000,2,30000,3,30000,6,25000,19,25000,20,25000,35,25000,38,25000,21,0,22,0,99,30000
194,4803603,2,300,风雷魔巫,5,3002,1,1,35000,2,30000,3,30000,6,25000,19,25000,20,25000,35,25000,38,25000,21,0,22,0,99,30000
195,4803604,2,300,众神之王,5,5006,1,1,35000,2,30000,3,30000,6,25000,19,25000,20,25000,35,25000,38,25000,21,0,22,0,99,30000
196,4803605,2,300,神谕信使,5,1008,1,1,35000,2,30000,3,30000,6,25000,19,25000,20,25000,35,25000,38,25000,21,0,22,0,99,30000
197,4803701,2,300,幻影守卫,10,3007,1,1,40000,2,35000,3,35000,6,30000,19,30000,20,30000,35,30000,38,30000,21,0,22,0,99,30000
198,4803702,2,300,魔域斗罗,10,6001,1,1,40000,2,35000,3,35000,6,30000,19,30000,20,30000,35,30000,38,30000,21,0,22,0,99,30000
199,4803703,2,300,水占巫女,10,1002,1,1,40000,2,35000,3,35000,6,30000,19,30000,20,30000,35,30000,38,30000,21,0,22,0,99,30000
200,4803704,2,300,漫游之星,10,1004,1,1,40000,2,35000,3,35000,6,30000,19,30000,20,30000,35,30000,38,30000,21,0,22,0,99,30000
201,4803705,2,300,凯旋之歌,10,1013,1,1,40000,2,35000,3,35000,6,30000,19,30000,20,30000,35,30000,38,30000,21,0,22,0,99,30000
202,4803801,2,300,幻影守卫,10,3007,1,1,40000,2,35000,3,35000,6,30000,19,30000,20,30000,35,30000,38,30000,21,0,22,0,99,30000
203,4803802,2,300,雷鸣圣主,10,3003,1,1,40000,2,35000,3,35000,6,30000,19,30000,20,30000,35,30000,38,30000,21,0,22,0,99,30000
204,4803803,2,300,永劫双生,10,5002,1,1,40000,2,35000,3,35000,6,30000,19,30000,20,30000,35,30000,38,30000,21,0,22,0,99,30000
205,4803804,2,300,暗域行者,10,3004,1,1,40000,2,35000,3,35000,6,30000,19,30000,20,30000,35,30000,38,30000,21,0,22,0,99,30000
206,4803805,2,300,幻林使者,10,4004,1,1,40000,2,35000,3,35000,6,30000,19,30000,20,30000,35,30000,38,30000,21,0,22,0,99,30000
