dec,str
STR_MOD_DIPLOMACY_NO_MORE_ARMAMENTS,不能领取更多的军备
STR_MOD_DRAW_INSUFFICIENT_FREE_RESETS,免费重置次数不足
STR_MOD_DRAW_DIAMOND_SHORTAGE,钻石不足
STR_MOD_DRAW_THE_NUMBER_OF_RESETS_EXCEEDED,重置次数超过上限
STR_MOD_DRAW_FALL-OFF_CONFIGURATION_ERROR,翻牌掉落配置错误
STR_MOD_DRAW_PLEASE_START_THE_GAME,请开始游戏
STR_MOD_DRAW_UPPER_LIMIT_OF_FLOP,翻牌达到上限
STR_MOD_DRAW_THE_CURRENT_AWARD_HAS_BEEN,当前奖励已经领取
STR_MOD_DRAW_CONFIGURATION_ERROR,配置错误
STR_MOD_DRAW_INSUFFICIENT_COUNTERFEIT_CURRENCY,翻牌币不足
STR_MOD_DRAW_SERVER_APPEARS_WITH_THE_SAME,服务器出现相同序号
STR_MOD_DRAW_THERE_IS_NO_FLIP-FLOP,翻牌掉落不存在
STR_MOD_DRAW_NO_COUNTERFEIT_COIN_PROPS_EXIST,翻牌币道具配置不存在
STR_MOD_DRAW_PROJECTS_PURCHASED_EXCEED_THE_CEILING,购买的道具超过了上限
STR_MOD_DRAW_ABNORMAL_PERIOD_NUMBER,期数异常
STR_MOD_DRAW_INCORRECT_CONFIGURATION_DATA,配置数据不对
STR_MOD_DRAW_FAILURE_TO_FULFIL_THE_CONDITIONS,未达成领取条件
STR_MOD_DRAW_DONT_RECEIVE_IT_AGAIN,请勿重复领取
STR_MOD_DRAW_MISALLOCATION_OF_TREASURE_BOX_REWARDS,宝箱奖励配置错误
STR_MOD_DUNGEON_CAPTAIN_DOES_NOT_EXIST,队长不存在
STR_MOD_DUNGEON_ONLY_THE_CAPTAIN_CAN_SET,只有队长才能设置
STR_MOD_ENCOURAGE_PLAYER_DATA_DOES_NOT_EXIST,玩家数据不存在
STR_MOD_ENCOURAGE_HAS_REACHED_ITS_MAXIMUM,已经达到最大值
STR_MOD_ENCOURAGE_CONFIGURATION_DOES_NOT_EXIST,配置不存在
STR_MOD_ENCOURAGE_CONFIGURATION_ERROR:_LEN_CONFIG_COSTITEMS=,配置错误:len(config.Costitems) != len(config.Costnums)
STR_MOD_EQUIP_CURRENT_ENCHANTMENT_CONFIGURATION_DOES_NOT,当前附魔配置不存在
STR_MOD_EQUIP_HAS_REACHED_THE_MAXIMUM_LEVEL,已经达到最大等级
STR_MOD_EQUIP_INSUFFICIENT_MATERIAL,材料不足
STR_MOD_EQUIP_ONLY_500_ADDITIONAL_EQUIPMENT_CAN,最多只能添加500个装备
STR_MOD_EQUIP_GEMSTONE_CONFIGURATION_DOES_NOT_EXIST,宝石配置不存在
STR_MOD_EQUIP_GEM_PROPS_CONFIGURATION_DOES_NOT,宝石道具配置不存在
STR_MOD_EQUIP_BEYOND_THE_UPPER_LIMIT_OF,超过宝石上限，无法合成
STR_MOD_EQUIP_THERE_IS_NO_SUPERIOR_GEMSTONE,没有可以合成的上一级宝石
STR_MOD_EQUIP_NEED_CONFIG_GEM_PROJECTS_CONFIGURATION,needConfig宝石道具配置不存在
STR_MOD_EQUIP_DIAMOND_SHORTAGE,钻石不足
STR_MOD_EQUIP_EQUIPMENT_DOES_NOT_EXIST,装备不存在
STR_MOD_EQUIP_MOSAIC_SUBSCRIPT_DOES_NOT_EXIST,镶嵌下标不存在(超过当前装备能镶嵌的数量)
STR_MOD_EQUIP_THE_HOLE_IS_NOW_MOSAIC,当前孔已经镶嵌了
STR_MOD_EQUIP_GEMS_DO_NOT_EXIST,宝石不存在
STR_MOD_EQUIP_ERROR_IN_GEMSTONE_CONFIGURATION,宝石配置错误
STR_MOD_EQUIP_GEMS_OF_THE_SAME_TYPE,已镶嵌同类型的宝石
STR_MOD_EQUIP_MOSAIC_SUBSCRIPTS_DO_NOT_EXIST,镶嵌下标不存在
STR_MOD_EQUIP_NO_GEM_CAN_BE_REMOVED,当前孔没有宝石可以卸下
STR_MOD_EQUIP_STONE_STACKS_ARE_FULL_AND,宝石堆叠已满，无法卸下
STR_MOD_EQUIP_NO_GEMSTONE_CAN_BE_UNLOADED,没有宝石可以卸下
STR_MOD_EQUIP_UNABLE_TO_DECOMPOSE:_ENHANCE_DATA,无法分解：强化数据为空
STR_MOD_EQUIP_UNABLE_TO_DECOMPOSE:_ASCENDING_STAR,无法分解：升星数据为空
STR_MOD_EQUIP_CONFIGURATION_ERROR:_SYNTHETIC_GEMSTONE_REQUIRED,配置错误：合成需要的宝石为0
STR_MOD_EQUIP_GEM_SHORTAGE,宝石不足
STR_MOD_EQUIP_EQUIPMENT_SUBSCRIPTION_DOES_NOT_EXIST,装备下标不存在
STR_MOD_EQUIP_CLIENT_RENAISSANCE_LEN_KEYIDS_=,客户端重生len(keyIds)=0
STR_MOD_EQUIP_CLIENT_RENAISSANCE_LEN_KEYIDS_>,客户端重生len(keyIds) > 1
STR_MOD_EQUIP_WEARED_EQUIPMENT_CANNOT_BE_DECOMPOSED,已穿装备不能分解
STR_MOD_EQUIP_EQUIPMENT_CONFIGURATION_DOES_NOT_EXIST,装备配置不存在
STR_MOD_EQUIP_WHITE_CLOTHES_CANNOT_BE_REBORN,白装不能重生(客户端发送错误)
STR_MOD_EQUIP_CLIENT_DECOMPOSITION_LEN_KEYIDS_=,客户端分解len(keyIds)=0
STR_MOD_EQUIP_CONFIGURE_DROP_GROUP_=_0,配置掉落组=0
STR_MOD_EQUIP_DECOMPOSITION_EQUIPMENT_FALLS_INTO_THE,分解装备掉落为空
STR_MOD_EQUIP_DECOMPOSITION_TO_EMPTY,分解配置为空
STR_MOD_EQUIP_ILLEGAL_NUMBER_OF_PROPS_SENT,客户端发送道具数量不合法
STR_MOD_EQUIP_NUMBER_EXCEEDING_SYNTHETIC_UPPER_LIMIT,超出合成上限个数
STR_MOD_EQUIP_THE_TYPE_OF_EQUIPMENT_DEBRIS,装备碎片类型不对
STR_MOD_EQUIP_PROJECTS_CONFIGURATION_DOES_NOT_EXIST,道具配置不存在
STR_MOD_EQUIP_THE_PROP_CANNOT_BE_SYNTHESIZED,该道具无法合成
STR_MOD_EQUIP_LACK_OF_PROPS,道具不足
STR_MOD_EQUIP_UP_TO_THE_MAXIMUM_NUMBER,装备数量达到上限
STR_MOD_EQUIP_ENHANCED_MODULE_DATA_EXCEPTION,强化模块数据异常
STR_MOD_EQUIP_CURRENT_ENHANCED_CONFIGURATION_DOES_NOT,当前强化配置不存在
STR_MOD_EQUIP_SUBSCRIPT_ERROR,下标错误
STR_MOD_EQUIP_NO_BATTLE_TYPE_EXISTS,上阵类型不存在
STR_MOD_EQUIP_HEROES_WHO_ARE_NOT_IN,当前阵位没有上阵的英雄
STR_MOD_EQUIP_ERROR_IN_EQUIPMENT_TYPE,装备类型错误
STR_MOD_EQUIP_ERROR_OF_POSITION_EQUIPMENT_HOLE,阵位装备孔错误
STR_MOD_EQUIP_WRONG_LOCATION,位置错误
STR_MOD_EQUIP_NO_EQUIPMENT_DETACHABLE,无装备可脱
STR_MOD_EQUIP_LOGIC_EXCEPTION,逻辑异常
STR_MOD_EQUIP_DATA_EXCEPTION_OF_ENCHANTMENT_MODULE,附魔模块数据异常
STR_MOD_EVENTS_PARSING_MESSAGE_ERROR,解析消息错误
STR_MOD_EVENTS_CHAPTER_NUMBER_ERROR,章节数错误
STR_MOD_EVENTS_CHAPTER_DATA_DOES_NOT_EXIST,章节数据不存在
STR_MOD_EVENTS_CHAPTER_INFORMATION_DOES_NOT_EXIST,章节信息不存在
STR_MOD_EVENTS_HAS_RECEIVED_THE_TREASURE_CHEST,已经领取探索宝箱
STR_MOD_EVENTS_CONFIGURATION_DOES_NOT_EXIST,配置不存在
STR_MOD_EVENTS_INSUFFICIENT_EXPLORATORY_VALUE,探索值不足
STR_MOD_EVENTS_OBJECT_INFORMATION_DOES_NOT_EXIST,物件信息不存在
STR_MOD_EVENTS_CHAPTERS_DO_NOT_EXIST,章节不存在
STR_MOD_EVENTS_OBJECT_DOES_NOT_EXIST,物件不存在
STR_MOD_EVENTS_OBJECT_STATUS_IS_COMPLETED,物件状态为已完成
STR_MOD_EVENTS_EVENTS_DO_NOT_EXIST,事件不存在
STR_MOD_EVENTS_EVENT_CONFIGURATION_DOES_NOT_EXIST,事件配置不存在
STR_MOD_EVENTS_EVENT_COMPLETED,事件已经完成
STR_MOD_EVENTS_CONFIGURATION_ERROR:_LEN_CONFIG_NS,配置错误: len(config.Ns) <= 0
STR_MOD_EVENTS_CONFIGURATION_ERROR:_LEN_CONFIG_NS,配置错误: len(config.Ns) < 7
STR_MOD_EVENTS_TIME_ALLOCATION_DOES_NOT_EXIST,时间配置不存在
STR_MOD_EVENTS_PRE-EVENT_NOT_COMPLETED,前置事件未完成
STR_MOD_EVENTS_CONFIGURATION_ERROR:_LEN_CONFIG_NS,配置错误: len(config.Ns) < 3
STR_MOD_EVENTS_TOUCHBOX_DOES_NOT_EXIST,Touchbox不存在!
STR_MOD_EVENTS_INSUFFICIENT_CONSUMPTION,消耗不足
STR_MOD_EVENTS_LACK_OF_PROPS,道具不足
STR_MOD_EXPEDITION_INSUFFICIENT_NUMBER_OF_RESETS,重置次数不足
STR_MOD_EXPEDITION_NODE_TYPES_ARE_DIFFERENT,节点类型不同
STR_MOD_EXPEDITION_ALL_NODES_HAVE_BEEN_COMPLETED,所有节点都已完成
STR_MOD_EXPEDITION_NON-COMBAT_NODES_CANNOT_END_HALFWAY,非战斗节点不能中途结束
STR_MOD_EXPEDITION_NOT_A_GAIN_NODE,不是增益节点
STR_MOD_EXPEDITION_EACH_GAIN_CAN_ONLY_BE,每个增益只能购买一次
STR_MOD_EXPEDITION_GAIN_ANOMALY,增益异常
STR_MOD_EXPEDITION_INSUFFICIENT_GAIN_CURRENCY,增益币不足
STR_MOD_EXPEDITION_EXPEDITION_SUBSCRIPTION_DATA_ERROR,远征下标数据错误
STR_MOD_FATE_MARGINAL_ALLOCATION_DOES_NOT_EXIST,宿命配置不存在
STR_MOD_FATE_FATE_ACTIVATION_TYPE_ERROR,宿命激活类型错误
STR_MOD_FATE_HEROES_DO_NOT_EXIST_AND,英雄不存在无法激活
STR_MOD_FATE_HEROES_DO_NOT_EXIST,英雄不存在
STR_MOD_FATE_THE_PREDESTINATION_SUBSCRIPT_DOES_NOT,宿命下标不存在
STR_MOD_FATE_DATA_EXCEPTION_OF_FATE_MODULE,宿命模块数据异常
STR_MOD_FATE_MARGIN_DATA_ANOMALY,宿命数据异常
STR_MOD_FATE_FATE_HAS_BEEN_ACTIVATED,宿命已经激活
STR_MOD_FIGHT_THE_BATTLE_IS_OVER_AND,战斗已经结束，无法查看信息
STR_MOD_FIGHT_YOUVE_SIGNED_UP_FOR_THE,你已经报名了决战，无法重复报名
STR_MOD_FIGHT_FAILURE_OF_REGISTRATION_NOT_AT,报名失败，当前不是报名阶段
STR_MOD_FIGHT_THE_CITY_WAS_NOT_AT,该城池未交战
STR_MOD_FIGHT_THE_BATTLE_IS_OVER,战斗已结束
STR_MOD_FIGHT_THE_TEAM_COULD_NOT_BE,找不到该队伍
STR_MOD_FIGHT_YOU_HAVE_BEEN_BANNED_PLEASE,您已被禁言，请联系游戏管理员
STR_MOD_FIGHT_BARRAGE_CAN_ONLY_BE_SENT,只能在世界地图发送弹幕
STR_MOD_FIGHT_IF_THE_NATIONAL_WAR_HAS,未完成国战开启，不能参加国战
STR_MOD_FIGHT_UNATTACKABLE_ALLIES,不可攻打同盟国
STR_MOD_FIGHT_THE_TEAM_IS_AT_WAR,该队伍正在正在交战中
STR_MOD_FIGHT_THE_TEAM_DID_NOT_HAVE,该队伍没有任何武将上阵
STR_MOD_FIGHT_CANT_FIND_THE_CITY_POOL,找不到城池
STR_MOD_FIGHT_THE_NATIONAL_WAR_HAS_NOT,国战还没有开启
STR_MOD_FIGHT_YOU_CANT_TAKE_PART_IN,您还不能主动参与国战
STR_MOD_FIGHT_INADEQUATE_MOBILITY,行动力不足
STR_MOD_FIGHT_YOU_CANT_TAKE_PART_IN,你不能参加这场国战！
STR_MOD_FIGHT_INSPIRATION_FAILS_DIAMONDS_ARE_NOT,鼓舞失败，钻石不足！
STR_MOD_FIGHT_MORALE_IS_TOO_HIGH_TO,士气已满，无法继续鼓舞
STR_MOD_FIGHT_PLAY_CONFIGURATION_NOT_FOUND,找不到玩法配置
STR_MOD_FIGHT_YOU_ARE_NO_LONGER_IN,您已经不在国战内，请重新进入战场！
STR_MOD_FIGHT_THIS_TEAM_IS_IN_PREPARATION,此队伍处在备战中，无法进行单挑
STR_MOD_FIGHT_THE_ENEMY_TEAM_IS_IN,敌方队伍处在备战中，无法进行单挑
STR_MOD_FIGHT_INSUFFICIENT_MILITARY_ORDERS_UNABLE_TO,军令不足，无法挑起单挑
STR_MOD_FIGHT_THE_ARMY_WAS_DEFEATED_AND,部队溃败，无法进行单挑
STR_MOD_FIGHT_THE_MILITARY_ORDER_IS_INSUFFICIENT,军令不足，请补充后再试！
STR_MOD_FIGHT_THE_TROOPS_WERE_DEFEATED_AND,部队溃败中，无法进行战斗！
STR_MOD_FIGHT_YOUVE_ALREADY_STARTED_A_SINGLE-PLAYER,你已经开启了一场单人玩法，无法重复开启
STR_MOD_FIGHT_THERES_NOT_ENOUGH_DEBRIS_TO,碎片不足，无法使用技能！
STR_MOD_FIGHT_YOU_HAVENT_TAKEN_PART_IN,你还没有参加国战！
STR_MOD_FIGHT_YOU_DONT_HAVE_ACCESS_TO,你没有使用技能权限！
STR_MOD_FIGHT_YOU_DONT_HAVE_TO_EMPTY,你没有必要清空状态
STR_MOD_FIGHT_YOUVE_STARTED_A_SINGLE_GAME,你已经开启了一场单挑，无法重复开启
STR_MOD_FIND_HIGH_SUMMON_ENERGY_INSUFFICIENT,高级召唤能量不足
STR_MOD_FIND_IM_SORRY_THERES_NOTHING_MISSING,很抱歉，没有掉落任何物品
STR_MOD_FIND_TIME_IS_STILL_COOLING,时间还在冷却中
STR_MOD_FIND_CONSUMPTION_ALLOCATION_DOES_NOT_EXIST,消耗的物品配置不存在
STR_MOD_FIND_COOLING_TIME_IS_NOT_UP,冷却时间未到
STR_MOD_FIND_DIAMOND_SHORTAGE,钻石不足
STR_MOD_FRIEND_FRIEND_APPLICATION_HAS_EXPIRED,好友申请已失效
STR_MOD_FRIEND_THE_PLAYER_DOES_NOT_EXIST,该玩家不存在
STR_MOD_GEMSTONE_LACK_OF_PHYSICAL_STRENGTH,体力不足
STR_MOD_GENERAL_TIME-LIMITED_GOD_WILL_NOT_EXIST,次元召唤活动不存在
STR_MOD_GENERAL_THE_EVENT_IS_OVER_AND,活动已经结束无法抽奖
STR_MOD_GENERAL_WRONG_DROP_TYPE,掉落类型不对
STR_MOD_GENERAL_THE_NUMBER_OF_FREE_LOTTERY,免费抽奖次数不足
STR_MOD_GENERAL_FALLING_CONFIGURATION_IS_EMPTY,掉落配置为空
STR_MOD_GENERAL_LOTTERY_WASTAGE_IS_INCORRECT,抽奖消耗不正确
STR_MOD_GENERAL_DIAMOND_SHORTAGE,钻石不足
STR_MOD_GENERAL_THE_NUMBER_OF_CONFIGURATION_ERRORS,配置错误组数为0
STR_MOD_GENERAL_LOTTERY_ALLOCATION_CONSUMPTION_IS_LESS,抽奖配置消耗小于0
STR_MOD_GENERAL_TIMELINE_GOD_WILL_DROP_CONFIGURATION,次元召唤掉落配置不存在
STR_MOD_GENERAL_TIME-LIMITED_GOD_WILL_DROP_THE,次元召唤掉落总权重为0
STR_MOD_GENERAL_TIME-LIMITED_GOD_WILL_FALL_CONFIGURATION,次元召唤掉落配置找不到
STR_MOD_GENERAL_DROP_CONFIGURATION_DOES_NOT_EXIST,掉落配置不存在
STR_MOD_GENERAL_INCORRECT_CONFIGURATION_DATA,配置数据不对
STR_MOD_GENERAL_PLAYERS_WITH_INSUFFICIENT_POINTS,玩家积分不足
STR_MOD_GENERAL_THE_TREASURE_BOX_AWARD_HAS,宝箱奖励已经领取
STR_MOD_GENERAL_CONFIGURATION_ERROR:_LEN_AWARD=_LEN,配置错误:len(award) != len(nums)
STR_MOD_GENERAL_YOU_CANT_GET_THE_LIST,不在活动时间内， 无法领取排行榜奖励
STR_MOD_GENERAL_CONFIGURATION_ERROR,配置错误
STR_MOD_GENERAL_LIST_AWARDS_HAVE_BEEN_RECEIVED,排行榜奖励已经领取
STR_MOD_GENERAL_TIME-LIMITED_GOD_MISALLOCATED_THE_NUMBER,次元召唤贵族次数配置错误
STR_MOD_GENERAL_HAS_REACHED_THE_MAXIMUM_NUMBER,已经达到最大抽奖次数
STR_MOD_GM_PLEASE_RESTART_AFTER_THE_GOODS,物品发放完毕，请重启
STR_MOD_GM_SUCCESS,成功
STR_MOD_GM_DONT_MAKE_IT_TOO_LONG,长度别搞太长
STR_MOD_GVE_MOBILE_FAILURE_BUILDING_NOT_ADJACENT,移动失败，建筑不相邻
STR_MOD_GVE_DRAGONS_STAND_IN_THE_WAY,恶龙拦路，请先击杀恶龙
STR_MOD_GVE_CURRENT_BUILDINGS_ARE_NOT_OCCUPIED,当前建筑尚未占领，无法移动到下一个建筑
STR_MOD_GVE_CONFIGURATION_ERROR,配置错误
STR_MOD_GVE_CANT_MOVE_TO_BUILDINGS_THAT,不能移动到非我方阵营的建筑
STR_MOD_GVE_FAILING_TO_MEET_THE_OPENING,未达到开启条件，无法加入孤山夺宝战
STR_MOD_GVE_SERVER_DATA_ERROR_NO_CITY,服务器数据错误， 没有城池信息
STR_MOD_GVE_CLIENT_BUILDING_ID_ERROR_PLEASE,客户端建筑ID错误，请进行检查
STR_MOD_GVE_ERROR_IN_BUILDING_TYPE,建筑类型错误
STR_MOD_GVE_ERRORS_IN_THE_CONSTRUCTION_CAMP,建筑阵营错误
STR_MOD_GVE_CURRENT_ARCHITECTURE_DOES_NOT_EXIST,当前建筑不存在
STR_MOD_GVE_HAS_NOT_YET_PARTICIPATED_IN,尚未参加孤山夺宝活动，无当前玩家信息
STR_MOD_GVE_REFRESH_TIME_IN_COOLING_TRY,刷新时间冷却中，稍后再试
STR_MOD_GVE_PLAYER_LEVEL_INFORMATION_DOES_NOT,玩家关卡信息不存在
STR_MOD_GVE_GATE_INFORMATION_IS_NOT_SOUGHT,关卡信息不争取
STR_MOD_GVE_AID_BUILDINGS_DO_NOT_EXIST,援护的建筑不存在
STR_MOD_GVE_WE_CAN_ONLY_HELP_PROTECT,只能援护我方城池
STR_MOD_GVE_BUILDING_CONFIGURATION_DOES_NOT_EXIST,建筑配置不存在
STR_MOD_GVE_THE_BUILDING_HAS_BEEN_OCCUPIED,建筑已经被占领
STR_MOD_GVE_POINTS_THAT_HAVE_BEEN_OCCUPIED,已被占领或者占领进度超过95%的据点不能使用
STR_MOD_GVE_SKILLS_ALLOCATION_DOES_NOT_EXIST,技能配置不存在
STR_MOD_GVE_SHORTAGE_OF_MATERIALS_IN_THE,战地物资不足
STR_MOD_GVE_SKILL_TIME_IS_COOLING_DOWN,技能时间冷却中，稍后再试
STR_MOD_GVE_PREDATORY_BUILDINGS_DO_NOT_EXIST,掠夺的建筑不存在
STR_MOD_GVE_WE_CANT_PLUNDER_OUR_CITY,不能掠夺我方城池
STR_MOD_GVE_NO_STRONGHOLDS_THAT_HAVE_BEEN,已被占领或者占领进度超过95%的据点不能掠夺
STR_MOD_GVE_ITS_NOT_THE_TOP_FIVE,当前不是王权前五
STR_MOD_GVE_FIGHTING_CD_COOLING_TRY_AGAIN,战斗CD冷却中，稍后再试
STR_MOD_GVE_UNABLE_TO_USE_SUMMONS,无法使用召唤
STR_MOD_GVE_NO_BATTLE_OR_BATTLE_FAILURE,无战斗或者战斗失败
STR_MOD_GVE_ITS_OVER_THE_CARDS,已经翻过牌了
STR_MOD_GVE_GATE_INFORMATION_IS_EMPTY,关卡信息为空
STR_MOD_GVE_FEILONG_GATE_INFORMATION_DOES_NOT,飞龙关卡信息不存在
STR_MOD_GVE_INFORMATION_ON_BUILDING_CHECKPOINTS_DOES,建筑关卡信息不存在
STR_MOD_GVE_FEILONG_CONFIGURATION_DOES_NOT_EXIST,飞龙配置不存在
STR_MOD_GVE_THE_FLYING_DRAGON_HAS_BEEN,当前飞龙已经被击败
STR_MOD_GVE_MOVING_TIME_COOLING_TRY_AGAIN,移动时间冷却中，稍后再试
STR_MOD_GVE_BATTLE_TIME_IS_COOLING_DOWN,战斗时间冷却中，稍后再试
STR_MOD_GVE_GATE_LOGIC_ERROR,关卡逻辑错误
STR_MOD_GVE_GATE_ID_ERROR,关卡Id错误
STR_MOD_GVE_CURRENT_BUILDINGS_HAVE_BEEN_OCCUPIED,当前建筑已经被占领
STR_MOD_GVE_CLIENT_LOGIC_ERROR_FIRST_FIND,客户端逻辑错误，先找一个建筑驻扎下来吧
STR_MOD_GVE_CANT_MOVE_IN_MOVING_COOLING,移动冷却中，无法继续移动
STR_MOD_GVE_MOBILE_FAILURE_REPEAT_BUILDING_MOBILITY,移动失败，重复在相同ID的建筑移动
STR_MOD_HEAD_NO_AVATAR_CONFIGURATION_EXISTS,头像配置不存在
STR_MOD_HEAD_DATA_IS_NOT_INITIALIZED,数据没有进行初始化
STR_MOD_HEAD_THE_AVATAR_CONFIGURATION_IS_NOT,头像配置还未拥有
STR_MOD_HEAD_HEADFRAME_HAS_EXPIRED,头像框已经失效
STR_MOD_HEAD_INCORRECT_HEADFRAME_TYPE,头像框类型不对
STR_MOD_HEAD_HEADFRAME_CONFIGURATION_NOT_YET_AVAILABLE,头像框配置还未拥有
STR_MOD_HERO_HEROIC_CONFIGURATION_DOES_NOT_EXIST,英雄配置不存在
STR_MOD_HERO_CONFIGURATION_EXCEPTION,配置异常
STR_MOD_HERO_INSUFFICIENT_MATERIAL,材料不足
STR_MOD_HERO_THE_NUMBER_OF_PROPS_SENT,客户端发送的道具数量小于等于0
STR_MOD_HERO_PROPS_DO_NOT_EXIST,道具不存在
STR_MOD_HORSE_NO_BATTLE_TYPE_EXISTS,上阵类型不存在
STR_MOD_HORSE_HEROES_WHO_ARE_NOT_IN,当前阵位没有上阵的英雄
STR_MOD_HORSE_THERES_NO_SUCH_THING_AS,不存在该魔宠
STR_MOD_HORSE_THERE_IS_NO_HERO,不存在该英雄
STR_MOD_HORSE_FAVOURITE_HAS_BEEN_RIDDEN_AND,魔宠已经被骑乘，无法重复骑乘
STR_MOD_HORSE_DIAMOND_SHORTAGE,钻石不足
STR_MOD_HORSE_YOU_CANT_HAVE_MORE_HORSES,你无法拥有更多的魔宠，请先分解魔宠！
STR_MOD_HORSE_INSUFFICIENT_MATERIAL,材料不足
STR_MOD_HORSE_LACK_OF_PROPS,道具不足
STR_MOD_HORSE_MISSION_DOES_NOT_EXIST,任务不存在
STR_MOD_HORSE_MISSION_NOT_COMPLETED,任务没有完成
STR_MOD_HORSE_TASKS_HAVE_BEEN_RECEIVED,任务已经领取
STR_MOD_HORSE_CONFIGURATION_DOES_NOT_EXIST,配置不存在
STR_MOD_HORSE_FAVOURITE_DOES_NOT_EXIST,魔宠不存在
STR_MOD_HORSE_CURRENT_SPOILERS_CANNOT_BE_CONVERTED,当前魔宠不能转换
STR_MOD_HORSE_THE_QUALITY_IS_NOT_ENOUGH,品质不足无法洗练
STR_MOD_HORSE_THERE_ARE_NO_TRANSFORMATION_ATTRIBUTES,没有可以保留的转换属性
STR_MOD_HORSE_UPGRADE_CONFIGURATION_DOES_NOT_EXIST,升级配置不存在
STR_MOD_HORSE_DATA_DOES_NOT_EXIST,数据不存在
STR_MOD_HORSE_INDEX_ERROR,索引错误
STR_MOD_HORSE_THE_SOUL_TYPE_DOES_NOT,魔魂类型不存在
STR_MOD_HORSE_THE_MATERIAL_IS_INSUFFICIENT_AND,材料不足，无法强化
STR_MOD_HORSE_NOT_ENOUGH_SUMMONS,召唤次数不够
STR_MOD_HORSE_NOT_ENOUGH_DIAMONDS_TO_CALL,钻石不足，无法召唤
STR_MOD_HORSE_THE_PROPS_ARE_INSUFFICIENT_TO,道具不足，无法召唤
STR_MOD_HORSE_SHORTAGE_OF_GOLD_COINS,金币不足
STR_MOD_HORSE_YOU_DONT_HAVE_ENOUGH_WILD,你没有足够的野马！
STR_MOD_HORSE_YOU_CANT_HAVE_MORE_HORSES,你无法拥有更多的马，请先分解魔宠！
STR_MOD_HORSE_POSITION_SUBSCRIPT_ERROR,阵位下标错误
STR_MOD_INDUSTRY_CANT_OCCUPY_MORE_INDUSTRIES,无法占领更多的产业
STR_MOD_INDUSTRY_CITY_ERROR,城池错误
STR_MOD_INDUSTRY_AT_PRESENT_THE_CITY_IS,当前城池被其他势力占领
STR_MOD_INDUSTRY_YOU_HAVE_OCCUPIED_THE_INDUSTRY,您已经占领过该产业
STR_MOD_KING_PARAMETER_ERROR_1-8,参数错误(1-8)！
STR_MOD_KING_PARAMETER_ERROR_1-5,参数错误(1-5)！
STR_MOD_KING_THE_REQUESTED_BUILDING_DOES_NOT,请求的建筑不存在！
STR_MOD_KING_YOURE_NOT_KING_YOU_CANT,你不是国王，无法宣战
STR_MOD_KING_THE_CURRENT_PROCESS_CANNOT_DECLARE,当前进程无法宣战
STR_MOD_KING_IN_BATTLE_WAR_CANNOT_BE,在战斗中，无法宣战
STR_MOD_KING_THERE_HAS_BEEN_AN_ATTACK,已经有进攻城池，无法再次宣战
STR_MOD_KING_THE_KING_COULD_ONLY_DECLARE,国王只能宣战黄巾、魏、蜀、吴势力的城池
STR_MOD_KING_WAR_CAN_ONLY_BE_DECLARED,只能在8：00到17：00之间宣战
STR_MOD_KING_THERE_IS_A_DECLARATION_OF,已经有宣战城池，无法再次宣战
STR_MOD_KING_CITY_POOL_DOES_NOT_EXIST,城池不存在！
STR_MOD_KING_ITS_NOT_TIME_TO_DECLARE,不是宣战时间，无法宣战！
STR_MOD_KING_COMPETITION_TAKES_PLACE_BETWEEN_9:00,每日9:00-22:00内才能争夺
STR_MOD_KING_NON-EXISTENT_TITLES,不存在的爵位
STR_MOD_KING_NO_REMAINING_CHALLENGES,没有剩余挑战次数
STR_MOD_KING_YOU_HAVENT_GOT_A_TITLE,你还没有爵位
STR_MOD_KING_NUMBER_MISSING,爵位数据缺失
STR_MOD_KING_TITLE_ID_DOES_NOT_CORRESPOND,爵位Id没有对应
STR_MOD_KING_DATA_EXCEPTION_PLEASE_OPEN_THE,数据异常，请重新打开界面后尝试
STR_MOD_KING_THE_MAXIMUM_NUMBER_OF_PURCHASES,今天可购买次数到达上限
STR_MOD_KING_CONSUMPTION_CONFIGURATION_DOES_NOT_EXIST,消耗配置不存在
STR_MOD_KING_YOU_HAVE_NO_TITLE_AT,你当前没有爵位
STR_MOD_KING_YOU_DONT_HAVE_A_REWARD,你没有奖励可领取
STR_MOD_KINGTASK_TASK_CONFIGURATION_DOES_NOT_EXIST,任务配置不存在
STR_MOD_KINGTASK_TASK_CONFIGURATION_NUMBER_ERROR,任务配置数量错误
STR_MOD_KINGTASK_THE_WEIGHT_IS_0,权重为0
STR_MOD_KINGTASK_UNKNOWN_ERROR,未知错误
STR_MOD_KINGTASK_INADEQUATE_MOBILITY,行动力不足
STR_MOD_KINGTASK_THE_TASK_HAS_BEEN_COMPLETED,任务已经完成
STR_MOD_KINGTASK_TASKS_HAVE_BEEN_RECEIVED,任务已经领取
STR_MOD_KINGTASK_THE_TASK_OF_TREASURE_BOX,宝箱所属任务不存在
STR_MOD_KINGTASK_CONFIGURATION_ERROR,配置错误
STR_MOD_KINGTASK_DIAMOND_SHORTAGE,钻石不足
STR_MOD_KINGTASK_TREASURE_BOX_TASK_CONFIGURATION_DOES,宝箱任务配置不存在
STR_MOD_KINGTASK_NO_TREASURE_CHEST_TO_BUY,无宝箱可买
STR_MOD_KINGTASK_SUBSCRIPTION_ERRORS_1-4,下标错误(1~4)
