lazyid,id,name,lv,needitem,neednum,base_type1,base_value1,base_type2,base_value2,base_type3,base_value3,base_type4,base_value4,base_type5,base_value5,base_type6,base_value6,base_type7,base_value7,base_type8,base_value8
2011006,52020204,血族男爵,6,52020204,64,7,3600,9,7200,29,3600,6,36040,8,3360,10,7280,30,3430,99,2843800
2011007,52020204,血族男爵,7,52020204,90,7,5370,9,10740,29,5370,6,53750,8,5010,10,10850,30,5120,99,4241500
2011008,52020204,血族男爵,8,52020204,120,7,7630,9,15260,29,7630,6,76260,8,7110,10,15400,30,7260,99,6021200
2011009,52020204,血族男爵,9,52020204,150,7,10400,9,20800,29,10400,6,104040,8,9700,10,21010,30,9900,99,8211300
2011010,52020204,血族男爵,10,52020204,180,7,13750,9,27500,29,13750,6,137520,8,12830,10,27770,30,13090,99,10855900
2011011,52020204,血族男爵,11,52020204,220,7,17710,9,35420,29,17710,6,177120,8,16520,10,35770,30,16860,99,13981900
2011012,52020204,血族男爵,12,52020204,260,7,22330,9,44660,29,22330,6,223270,8,20820,10,45080,30,21250,99,17625400
2011013,52020204,血族男爵,13,52020204,310,7,27630,9,55260,29,27630,6,276350,8,25770,10,55800,30,26310,99,21814000
2011014,52020204,血族男爵,14,52020204,350,7,33670,9,67340,29,33670,6,336750,8,31410,10,68000,30,32060,99,26583000
2011015,52020204,血族男爵,15,52020204,400,7,40490,9,80980,29,40490,6,404850,8,37760,10,81750,30,38540,99,31961500
2011016,52020204,血族男爵,16,52020204,460,7,48100,9,96200,29,48100,6,481030,8,44870,10,97130,30,45790,99,37973100
2011017,52020204,血族男爵,17,52020204,520,7,56560,9,113120,29,56560,6,565640,8,52760,10,114220,30,53840,99,44651800
2011018,52020204,血族男爵,18,52020204,580,7,65900,9,131800,29,65900,6,659040,8,61470,10,133080,30,62740,99,52025800
2011019,52020204,血族男爵,19,52020204,640,7,76160,9,152320,29,76160,6,761580,8,71030,10,153780,30,72500,99,60121600
2011020,52020204,血族男爵,20,0,0,7,87360,9,174720,29,87360,6,873600,8,81480,10,176400,30,83160,99,68964000
1012001,52020105,巫妖,1,52020105,3,7,80,9,160,29,80,6,800,8,80,10,160,30,80,99,64000
1012002,52020105,巫妖,2,52020105,6,7,150,9,300,29,150,6,1530,8,150,10,300,30,150,99,120600
1012003,52020105,巫妖,3,52020105,12,7,320,9,640,29,320,6,3210,8,310,10,640,30,310,99,254200
1012004,52020105,巫妖,4,52020105,24,7,610,9,1220,29,610,6,6170,8,600,10,1220,30,600,99,487400
1012005,52020105,巫妖,5,52020105,40,7,1060,9,2120,29,1060,6,10680,8,1030,10,2110,30,1050,99,845100
1012006,52020105,巫妖,6,52020105,64,7,1680,9,3360,29,1680,6,16980,8,1650,10,3360,30,1660,99,1342600
1012007,52020105,巫妖,7,52020105,90,7,2510,9,5020,29,2510,6,25320,8,2450,10,5010,30,2480,99,2002900
1012008,52020105,巫妖,8,52020105,120,7,3560,9,7120,29,3560,6,35930,8,3480,10,7110,30,3520,99,2842100
1012009,52020105,巫妖,9,52020105,150,7,4850,9,9700,29,4850,6,49020,8,4750,10,9700,30,4800,99,3875400
1012010,52020105,巫妖,10,52020105,180,7,6410,9,12820,29,6410,6,64790,8,6280,10,12830,30,6350,99,5123300
1012011,52020105,巫妖,11,52020105,220,7,8260,9,16520,29,8260,6,83450,8,8090,10,16520,30,8170,99,6599000
1012012,52020105,巫妖,12,52020105,260,7,10410,9,20820,29,10410,6,105190,8,10200,10,20820,30,10300,99,8317800
1012013,52020105,巫妖,13,52020105,310,7,12890,9,25780,29,12890,6,130200,8,12620,10,25770,30,12750,99,10296500
1012014,52020105,巫妖,14,52020105,350,7,15700,9,31400,29,15700,6,158660,8,15380,10,31410,30,15540,99,12545700
1012015,52020105,巫妖,15,52020105,400,7,18880,9,37760,29,18880,6,190750,8,18490,10,37760,30,18690,99,15085000
1012016,52020105,巫妖,16,52020105,460,7,22430,9,44860,29,22430,6,226640,8,21970,10,44870,30,22200,99,17922300
1012017,52020105,巫妖,17,52020105,520,7,26380,9,52760,29,26380,6,266500,8,25830,10,52760,30,26110,99,21076000
1012018,52020105,巫妖,18,52020105,580,7,30730,9,61460,29,30730,6,310510,8,30100,10,61470,30,30420,99,24554700
1012019,52020105,巫妖,19,52020105,640,7,35520,9,71040,29,35520,6,358820,8,34780,10,71030,30,35150,99,28376900
1012020,52020105,巫妖,20,0,0,7,40740,9,81480,29,40740,6,411600,8,39900,10,81480,30,40320,99,32550000
2012001,52020205,大巫妖,1,52020205,3,7,160,9,320,29,160,6,1610,8,170,10,330,30,160,99,129700
2012002,52020205,大巫妖,2,52020205,6,7,300,9,600,29,300,6,3060,8,320,10,640,30,300,99,245200
2012003,52020205,大巫妖,3,52020205,12,7,640,9,1280,29,640,6,6430,8,680,10,1340,30,630,99,518600
2012004,52020205,大巫妖,4,52020205,24,7,1220,9,2440,29,1220,6,12340,8,1310,10,2570,30,1210,99,993300
2012005,52020205,大巫妖,5,52020205,40,7,2110,9,4220,29,2110,6,21350,8,2270,10,4440,30,2090,99,1718000
2012006,52020205,大巫妖,6,52020205,64,7,3360,9,6720,29,3360,6,33960,8,3600,10,7070,30,3330,99,2733700
2012007,52020205,大巫妖,7,52020205,90,7,5010,9,10020,29,5010,6,50650,8,5370,10,10540,30,4960,99,4076000
2012008,52020205,大巫妖,8,52020205,120,7,7110,9,14220,29,7110,6,71860,8,7630,10,14960,30,7040,99,5785200
2012009,52020205,大巫妖,9,52020205,150,7,9700,9,19400,29,9700,6,98040,8,10400,10,20410,30,9600,99,7891300
2012010,52020205,大巫妖,10,52020205,180,7,12830,9,25660,29,12830,6,129580,8,13750,10,26970,30,12690,99,10433100
2012011,52020205,大巫妖,11,52020205,220,7,16520,9,33040,29,16520,6,166910,8,17710,10,34740,30,16350,99,13437200
2012012,52020205,大巫妖,12,52020205,260,7,20820,9,41640,29,20820,6,210390,8,22330,10,43790,30,20610,99,16937300
2012013,52020205,大巫妖,13,52020205,310,7,25770,9,51540,29,25770,6,260400,8,27630,10,54210,30,25510,99,20963500
2012014,52020205,大巫妖,14,52020205,350,7,31410,9,62820,29,31410,6,317320,8,33670,10,66050,30,31080,99,25546900
2012015,52020205,大巫妖,15,52020205,400,7,37760,9,75520,29,37760,6,381500,8,40490,10,79410,30,37370,99,30714500
2012016,52020205,大巫妖,16,52020205,460,7,44870,9,89740,29,44870,6,453280,8,48100,10,94360,30,44400,99,36494600
2012017,52020205,大巫妖,17,52020205,520,7,52760,9,105520,29,52760,6,533010,8,56560,10,110950,30,52210,99,42912700
2012018,52020205,大巫妖,18,52020205,580,7,61470,9,122940,29,61470,6,621020,8,65900,10,129270,30,60830,99,49997900
2012019,52020205,大巫妖,19,52020205,640,7,71030,9,142060,29,71030,6,717640,8,76160,10,149390,30,70300,99,57777300
2012020,52020205,大巫妖,20,0,0,7,81480,9,162960,29,81480,6,823200,8,87360,10,171360,30,80640,99,66276000
1013001,52020106,黑暗骑士,1,52020106,3,7,80,9,160,29,80,6,830,8,90,10,170,30,80,99,66100
1013002,52020106,黑暗骑士,2,52020106,6,7,160,9,320,29,160,6,1580,8,160,10,320,30,150,99,126600
1013003,52020106,黑暗骑士,3,52020106,12,7,340,9,680,29,340,6,3310,8,340,10,680,30,310,99,267200
1013004,52020106,黑暗骑士,4,52020106,24,7,650,9,1300,29,650,6,6360,8,650,10,1300,30,600,99,512200
1013005,52020106,黑暗骑士,5,52020106,40,7,1120,9,2240,29,1120,6,11000,8,1130,10,2240,30,1030,99,884000
1013006,52020106,黑暗骑士,6,52020106,64,7,1780,9,3560,29,1780,6,17500,8,1800,10,3570,30,1650,99,1407500
1013007,52020106,黑暗骑士,7,52020106,90,7,2660,9,5320,29,2660,6,26100,8,2690,10,5320,30,2450,99,2100000
1013008,52020106,黑暗骑士,8,52020106,120,7,3780,9,7560,29,3780,6,37030,8,3810,10,7550,30,3480,99,2981100
1013009,52020106,黑暗骑士,9,52020106,150,7,5150,9,10300,29,5150,6,50520,8,5200,10,10300,30,4750,99,4065400
1013010,52020106,黑暗骑士,10,52020106,180,7,6810,9,13620,29,6810,6,66780,8,6880,10,13620,30,6280,99,5375600
1013011,52020106,黑暗骑士,11,52020106,220,7,8770,9,17540,29,8770,6,86010,8,8860,10,17540,30,8090,99,6923200
1013012,52020106,黑暗骑士,12,52020106,260,7,11060,9,22120,29,11060,6,108410,8,11160,10,22110,30,10200,99,8727700
1013013,52020106,黑暗骑士,13,52020106,310,7,13680,9,27360,29,13680,6,134190,8,13820,10,27370,30,12620,99,10800300
1013014,52020106,黑暗骑士,14,52020106,350,7,16680,9,33360,29,16680,6,163520,8,16840,10,33350,30,15380,99,13163900
1013015,52020106,黑暗骑士,15,52020106,400,7,20050,9,40100,29,20050,6,196590,8,20240,10,40100,30,18490,99,15824800
1013016,52020106,黑暗骑士,16,52020106,460,7,23820,9,47640,29,23820,6,233580,8,24050,10,47640,30,21970,99,18801600
1013017,52020106,黑暗骑士,17,52020106,520,7,28010,9,56020,29,28010,6,274660,8,28280,10,56020,30,25830,99,22108200
1013018,52020106,黑暗骑士,18,52020106,580,7,32640,9,65280,29,32640,6,320020,8,32950,10,65270,30,30100,99,25760900
1013019,52020106,黑暗骑士,19,52020106,640,7,37710,9,75420,29,37710,6,369810,8,38080,10,75430,30,34780,99,29766700
1013020,52020106,黑暗骑士,20,0,0,7,43260,9,86520,29,43260,6,424200,8,43680,10,86520,30,39900,99,34146000
2013001,52020206,恐怖骑士,1,52020206,3,7,170,9,340,29,170,6,1610,8,170,10,320,30,170,99,133200
2013002,52020206,恐怖骑士,2,52020206,6,7,320,9,640,29,320,6,3060,8,330,10,620,30,320,99,253200
2013003,52020206,恐怖骑士,3,52020206,12,7,680,9,1360,29,680,6,6430,8,690,10,1300,30,680,99,534600
2013004,52020206,恐怖骑士,4,52020206,24,7,1310,9,2620,29,1310,6,12340,8,1320,10,2490,30,1300,99,1026300
2013005,52020206,恐怖骑士,5,52020206,40,7,2270,9,4540,29,2270,6,21350,8,2290,10,4310,30,2240,99,1776500
2013006,52020206,恐怖骑士,6,52020206,64,7,3600,9,7200,29,3600,6,33960,8,3640,10,6860,30,3570,99,2823200
2013007,52020206,恐怖骑士,7,52020206,90,7,5370,9,10740,29,5370,6,50650,8,5430,10,10230,30,5320,99,4210500
2013008,52020206,恐怖骑士,8,52020206,120,7,7630,9,15260,29,7630,6,71860,8,7700,10,14520,30,7550,99,5977200
2013009,52020206,恐怖骑士,9,52020206,150,7,10400,9,20800,29,10400,6,98040,8,10500,10,19810,30,10300,99,8151300
2013010,52020206,恐怖骑士,10,52020206,180,7,13750,9,27500,29,13750,6,129580,8,13880,10,26180,30,13620,99,10775600
2013011,52020206,恐怖骑士,11,52020206,220,7,17710,9,35420,29,17710,6,166910,8,17880,10,33720,30,17540,99,13879200
2013012,52020206,恐怖骑士,12,52020206,260,7,22330,9,44660,29,22330,6,210390,8,22540,10,42510,30,22110,99,17497300
2013013,52020206,恐怖骑士,13,52020206,310,7,27630,9,55260,29,27630,6,260400,8,27900,10,52610,30,27370,99,21654500
2013014,52020206,恐怖骑士,14,52020206,350,7,33670,9,67340,29,33670,6,317320,8,34000,10,64110,30,33350,99,26387900
2013015,52020206,恐怖骑士,15,52020206,400,7,40490,9,80980,29,40490,6,381500,8,40870,10,77080,30,40100,99,31728000
2013016,52020206,恐怖骑士,16,52020206,460,7,48100,9,96200,29,48100,6,453280,8,48570,10,91580,30,47640,99,37695600
2013017,52020206,恐怖骑士,17,52020206,520,7,56560,9,113120,29,56560,6,533010,8,57110,10,107690,30,56020,99,44325700
2013018,52020206,恐怖骑士,18,52020206,580,7,65900,9,131800,29,65900,6,621020,8,66540,10,125470,30,65270,99,51644900
2013019,52020206,恐怖骑士,19,52020206,640,7,76160,9,152320,29,76160,6,717640,8,76890,10,144990,30,75430,99,59682300
2013020,52020206,恐怖骑士,20,0,0,7,87360,9,174720,29,87360,6,823200,8,88200,10,166320,30,86520,99,68460000
1014001,52020107,骨龙,1,52020107,3,7,80,9,160,29,80,6,790,8,80,10,170,30,80,99,64300
1014002,52020107,骨龙,2,52020107,6,7,150,9,300,29,150,6,1500,8,150,10,320,30,150,99,121000
1014003,52020107,骨龙,3,52020107,12,7,320,9,640,29,320,6,3150,8,320,10,680,30,320,99,257000
1014004,52020107,骨龙,4,52020107,24,7,620,9,1240,29,620,6,6050,8,620,10,1300,30,620,99,496000
1014005,52020107,骨龙,5,52020107,40,7,1070,9,2140,29,1070,6,10460,8,1080,10,2240,30,1080,99,858200
1014006,52020107,骨龙,6,52020107,64,7,1700,9,3400,29,1700,6,16630,8,1720,10,3570,30,1720,99,1365100
1014007,52020107,骨龙,7,52020107,90,7,2530,9,5060,29,2530,6,24810,8,2560,10,5320,30,2560,99,2033200
1014008,52020107,骨龙,8,52020107,120,7,3590,9,7180,29,3590,6,35200,8,3630,10,7550,30,3630,99,2884500
1014009,52020107,骨龙,9,52020107,150,7,4900,9,9800,29,4900,6,48020,8,4950,10,10300,30,4950,99,3935400
1014010,52020107,骨龙,10,52020107,180,7,6480,9,12960,29,6480,6,63470,8,6550,10,13620,30,6550,99,5204400
1014011,52020107,骨龙,11,52020107,220,7,8350,9,16700,29,8350,6,81750,8,8430,10,17540,30,8430,99,6703000
1014012,52020107,骨龙,12,52020107,260,7,10520,9,21040,29,10520,6,103050,8,10630,10,22110,30,10630,99,8448500
1014013,52020107,骨龙,13,52020107,310,7,13020,9,26040,29,13020,6,127540,8,13150,10,27370,30,13150,99,10455300
1014014,52020107,骨龙,14,52020107,350,7,15870,9,31740,29,15870,6,155420,8,16030,10,33350,30,16030,99,12742900
1014015,52020107,骨龙,15,52020107,400,7,19070,9,38140,29,19070,6,186860,8,19270,10,40100,30,19270,99,15317200
1014016,52020107,骨龙,16,52020107,460,7,22660,9,45320,29,22660,6,222010,8,22900,10,47640,30,22900,99,18200200
1014017,52020107,骨龙,17,52020107,520,7,26650,9,53300,29,26650,6,261070,8,26920,10,56020,30,26920,99,21401400
1014018,52020107,骨龙,18,52020107,580,7,31050,9,62100,29,31050,6,304170,8,31370,10,65270,30,31370,99,24935900
1014019,52020107,骨龙,19,52020107,640,7,35880,9,71760,29,35880,6,351500,8,36250,10,75430,30,36250,99,28815500
1014020,52020107,骨龙,20,0,0,7,41160,9,82320,29,41160,6,403200,8,41580,10,86520,30,41580,99,33054000
2014001,52020207,阴影龙,1,52020207,3,7,170,9,340,29,170,6,1720,8,160,10,310,30,170,99,133900
2014002,52020207,阴影龙,2,52020207,6,7,320,9,640,29,320,6,3280,8,310,10,590,30,320,99,254100
2014003,52020207,阴影龙,3,52020207,12,7,680,9,1360,29,680,6,6890,8,640,10,1250,30,670,99,535300
2014004,52020207,阴影龙,4,52020207,24,7,1300,9,2600,29,1300,6,13230,8,1230,10,2390,30,1280,99,1025100
2014005,52020207,阴影龙,5,52020207,40,7,2240,9,4480,29,2240,6,22880,8,2140,10,4140,30,2220,99,1772600
2014006,52020207,阴影龙,6,52020207,64,7,3570,9,7140,29,3570,6,36390,8,3400,10,6580,30,3530,99,2820800
2014007,52020207,阴影龙,7,52020207,90,7,5320,9,10640,29,5320,6,54260,8,5060,10,9820,30,5270,99,4205200
2014008,52020207,阴影龙,8,52020207,120,7,7550,9,15100,29,7550,6,76990,8,7190,10,13930,30,7480,99,5968300
2014009,52020207,阴影龙,9,52020207,150,7,10300,9,20600,29,10300,6,105040,8,9800,10,19010,30,10200,99,8141300
2014010,52020207,阴影龙,10,52020207,180,7,13620,9,27240,29,13620,6,138840,8,12960,10,25120,30,13490,99,10763800
2014011,52020207,阴影龙,11,52020207,220,7,17540,9,35080,29,17540,6,178830,8,16690,10,32360,30,17370,99,13862600
2014012,52020207,阴影龙,12,52020207,260,7,22110,9,44220,29,22110,6,225410,8,21040,10,40790,30,21900,99,17474700
2014013,52020207,阴影龙,13,52020207,310,7,27370,9,54740,29,27370,6,279000,8,26040,10,50490,30,27100,99,21629500
2014014,52020207,阴影龙,14,52020207,350,7,33350,9,66700,29,33350,6,339990,8,31730,10,61520,30,33030,99,26356800
2014015,52020207,阴影龙,15,52020207,400,7,40100,9,80200,29,40100,6,408750,8,38150,10,73960,30,39710,99,31689000
2014016,52020207,阴影龙,16,52020207,460,7,47640,9,95280,29,47640,6,485660,8,45330,10,87880,30,47180,99,37650200
2014017,52020207,阴影龙,17,52020207,520,7,56020,9,112040,29,56020,6,571080,8,53300,10,103340,30,55480,99,44272600
2014018,52020207,阴影龙,18,52020207,580,7,65270,9,130540,29,65270,6,665380,8,62100,10,120400,30,64640,99,51582600
2014019,52020207,阴影龙,19,52020207,640,7,75430,9,150860,29,75430,6,768900,8,71760,10,139130,30,74690,99,59608500
2014020,52020207,阴影龙,20,0,0,7,86520,9,173040,29,86520,6,882000,8,82320,10,159600,30,85680,99,68376000
1015001,52030101,火枪手,1,52030101,3,7,80,9,160,29,80,6,800,8,80,10,160,30,80,99,64000
1015002,52030101,火枪手,2,52030101,6,7,150,9,300,29,150,6,1510,8,160,10,310,30,160,99,122700
1015003,52030101,火枪手,3,52030101,12,7,320,9,640,29,320,6,3180,8,330,10,650,30,330,99,258100
1015004,52030101,火枪手,4,52030101,24,7,620,9,1240,29,620,6,6110,8,640,10,1250,30,630,99,497700
1015005,52030101,火枪手,5,52030101,40,7,1070,9,2140,29,1070,6,10570,8,1110,10,2160,30,1090,99,860400
1015006,52030101,火枪手,6,52030101,64,7,1700,9,3400,29,1700,6,16810,8,1770,10,3430,30,1730,99,1367700
1015007,52030101,火枪手,7,52030101,90,7,2530,9,5060,29,2530,6,25060,8,2640,10,5120,30,2580,99,2038200
1015008,52030101,火枪手,8,52030101,120,7,3590,9,7180,29,3590,6,35560,8,3740,10,7260,30,3670,99,2892200
1015009,52030101,火枪手,9,52030101,150,7,4900,9,9800,29,4900,6,48520,8,5100,10,9900,30,5000,99,3945400
1015010,52030101,火枪手,10,52030101,180,7,6480,9,12960,29,6480,6,64130,8,6740,10,13090,30,6610,99,5216100
1015011,52030101,火枪手,11,52030101,220,7,8350,9,16700,29,8350,6,82600,8,8690,10,16860,30,8520,99,6721000
1015012,52030101,火枪手,12,52030101,260,7,10520,9,21040,29,10520,6,104120,8,10950,10,21250,30,10730,99,8468900
1015013,52030101,火枪手,13,52030101,310,7,13020,9,26040,29,13020,6,128870,8,13550,10,26310,30,13290,99,10482900
1015014,52030101,火枪手,14,52030101,350,7,15870,9,31740,29,15870,6,157040,8,16510,10,32060,30,16190,99,12774800
1015015,52030101,火枪手,15,52030101,400,7,19070,9,38140,29,19070,6,188800,8,19850,10,38540,30,19460,99,15355000
1015016,52030101,火枪手,16,52030101,460,7,22660,9,45320,29,22660,6,224330,8,23590,10,45790,30,23130,99,18246100
1015017,52030101,火枪手,17,52030101,520,7,26650,9,53300,29,26650,6,263780,8,27740,10,53840,30,27190,99,21455600
1015018,52030101,火枪手,18,52030101,580,7,31050,9,62100,29,31050,6,307340,8,32320,10,62740,30,31680,99,24998800
1015019,52030101,火枪手,19,52030101,640,7,35880,9,71760,29,35880,6,355160,8,37350,10,72500,30,36610,99,28888200
1015020,52030101,火枪手,20,0,0,7,41160,9,82320,29,41160,6,407400,8,42840,10,83160,30,42000,99,33138000
2015001,52030201,狙击手,1,52030201,3,7,160,9,320,29,160,6,1710,8,160,10,310,30,160,99,129700
2015002,52030201,狙击手,2,52030201,6,7,310,9,620,29,310,6,3240,8,300,10,590,30,300,99,247300
2015003,52030201,狙击手,3,52030201,12,7,640,9,1280,29,640,6,6820,8,640,10,1250,30,620,99,516900
2015004,52030201,狙击手,4,52030201,24,7,1230,9,2460,29,1230,6,13100,8,1220,10,2390,30,1200,99,992500
2015005,52030201,狙击手,5,52030201,40,7,2140,9,4280,29,2140,6,22660,8,2110,10,4140,30,2070,99,1720200
2015006,52030201,狙击手,6,52030201,64,7,3400,9,6800,29,3400,6,36040,8,3360,10,6580,30,3290,99,2734800
2015007,52030201,狙击手,7,52030201,90,7,5060,9,10120,29,5060,6,53750,8,5010,10,9820,30,4910,99,4076000
2015008,52030201,狙击手,8,52030201,120,7,7190,9,14380,29,7190,6,76260,8,7110,10,13930,30,6970,99,5786700
2015009,52030201,狙击手,9,52030201,150,7,9800,9,19600,29,9800,6,104040,8,9700,10,19010,30,9500,99,7891300
2015010,52030201,狙击手,10,52030201,180,7,12960,9,25920,29,12960,6,137520,8,12830,10,25120,30,12560,99,10433400
2015011,52030201,狙击手,11,52030201,220,7,16690,9,33380,29,16690,6,177120,8,16520,10,32360,30,16180,99,13437400
2015012,52030201,狙击手,12,52030201,260,7,21040,9,42080,29,21040,6,223270,8,20820,10,40790,30,20390,99,16937900
2015013,52030201,狙击手,13,52030201,310,7,26040,9,52080,29,26040,6,276350,8,25770,10,50490,30,25240,99,20964500
2015014,52030201,狙击手,14,52030201,350,7,31730,9,63460,29,31730,6,336750,8,31410,10,61520,30,30760,99,25547000
2015015,52030201,狙击手,15,52030201,400,7,38150,9,76300,29,38150,6,404850,8,37760,10,73960,30,36980,99,30714000
2015016,52030201,狙击手,16,52030201,460,7,45330,9,90660,29,45330,6,481030,8,44870,10,87880,30,43940,99,36494600
2015017,52030201,狙击手,17,52030201,520,7,53300,9,106600,29,53300,6,565640,8,52760,10,103340,30,51670,99,42912800
2015018,52030201,狙击手,18,52030201,580,7,62100,9,124200,29,62100,6,659040,8,61470,10,120400,30,60200,99,49997800
2015019,52030201,狙击手,19,52030201,640,7,71760,9,143520,29,71760,6,761580,8,71030,10,139130,30,69570,99,57776100
2015020,52030201,狙击手,20,0,0,7,82320,9,164640,29,82320,6,873600,8,81480,10,159600,30,79800,99,66276000
1016001,52030102,堡垒战士,1,52030102,3,7,90,9,180,29,90,6,780,8,90,10,160,30,80,99,67600
1016002,52030102,堡垒战士,2,52030102,6,7,160,9,320,29,160,6,1480,8,160,10,300,30,160,99,124600
1016003,52030102,堡垒战士,3,52030102,12,7,340,9,680,29,340,6,3120,8,340,10,630,30,330,99,262900
1016004,52030102,堡垒战士,4,52030102,24,7,660,9,1320,29,660,6,5980,8,650,10,1210,30,630,99,506100
1016005,52030102,堡垒战士,5,52030102,40,7,1140,9,2280,29,1140,6,10350,8,1130,10,2090,30,1090,99,875500
1016006,52030102,堡垒战士,6,52030102,64,7,1820,9,3640,29,1820,6,16460,8,1800,10,3330,30,1730,99,1394700
1016007,52030102,堡垒战士,7,52030102,90,7,2710,9,5420,29,2710,6,24550,8,2690,10,4960,30,2580,99,2079000
1016008,52030102,堡垒战士,8,52030102,120,7,3850,9,7700,29,3850,6,34830,8,3810,10,7040,30,3670,99,2951600
1016009,52030102,堡垒战士,9,52030102,150,7,5250,9,10500,29,5250,6,47520,8,5200,10,9600,30,5000,99,4025400
1016010,52030102,堡垒战士,10,52030102,180,7,6940,9,13880,29,6940,6,62810,8,6880,10,12690,30,6610,99,5321700
1016011,52030102,堡垒战士,11,52030102,220,7,8940,9,17880,29,8940,6,80900,8,8860,10,16350,30,8520,99,6855500
1016012,52030102,堡垒战士,12,52030102,260,7,11270,9,22540,29,11270,6,101970,8,11160,10,20610,30,10730,99,8639900
1016013,52030102,堡垒战士,13,52030102,310,7,13950,9,27900,29,13950,6,126220,8,13820,10,25510,30,13290,99,10695900
1016014,52030102,堡垒战士,14,52030102,350,7,17000,9,34000,29,17000,6,153800,8,16840,10,31080,30,16190,99,13033000
1016015,52030102,堡垒战士,15,52030102,400,7,20440,9,40880,29,20440,6,184910,8,20240,10,37370,30,19460,99,15668700
1016016,52030102,堡垒战士,16,52030102,460,7,24280,9,48560,29,24280,6,219700,8,24050,10,44400,30,23130,99,18616000
1016017,52030102,堡垒战士,17,52030102,520,7,28550,9,57100,29,28550,6,258350,8,28280,10,52210,30,27190,99,21889500
1016018,52030102,堡垒战士,18,52030102,580,7,33270,9,66540,29,33270,6,301000,8,32950,10,60830,30,31680,99,25505500
1016019,52030102,堡垒战士,19,52030102,640,7,38450,9,76900,29,38450,6,347840,8,38080,10,70300,30,36610,99,29475800
1016020,52030102,堡垒战士,20,0,0,7,44100,9,88200,29,44100,6,399000,8,43680,10,80640,30,42000,99,33810000
2016001,52030202,堡垒卫士,1,52030202,3,7,160,9,320,29,160,6,1610,8,170,10,330,30,170,99,130700
2016002,52030202,堡垒卫士,2,52030202,6,7,300,9,600,29,300,6,3060,8,320,10,640,30,330,99,248200
2016003,52030202,堡垒卫士,3,52030202,12,7,630,9,1260,29,630,6,6430,8,670,10,1340,30,690,99,520600
2016004,52030202,堡垒卫士,4,52030202,24,7,1210,9,2420,29,1210,6,12340,8,1280,10,2570,30,1320,99,998300
2016005,52030202,堡垒卫士,5,52030202,40,7,2090,9,4180,29,2090,6,21350,8,2220,10,4440,30,2290,99,1727000
2016006,52030202,堡垒卫士,6,52030202,64,7,3330,9,6660,29,3330,6,33960,8,3530,10,7070,30,3640,99,2748700
2016007,52030202,堡垒卫士,7,52030202,90,7,4960,9,9920,29,4960,6,50650,8,5270,10,10540,30,5430,99,4098000
2016008,52030202,堡垒卫士,8,52030202,120,7,7040,9,14080,29,7040,6,71860,8,7480,10,14960,30,7700,99,5815200
2016009,52030202,堡垒卫士,9,52030202,150,7,9600,9,19200,29,9600,6,98040,8,10200,10,20410,30,10500,99,7931300
2016010,52030202,堡垒卫士,10,52030202,180,7,12690,9,25380,29,12690,6,129580,8,13490,10,26970,30,13880,99,10484100
2016011,52030202,堡垒卫士,11,52030202,220,7,16350,9,32700,29,16350,6,166910,8,17370,10,34740,30,17880,99,13505200
2016012,52030202,堡垒卫士,12,52030202,260,7,20610,9,41220,29,20610,6,210390,8,21900,10,43790,30,22540,99,17024300
2016013,52030202,堡垒卫士,13,52030202,310,7,25510,9,51020,29,25510,6,260400,8,27100,10,54210,30,27900,99,21071500
2016014,52030202,堡垒卫士,14,52030202,350,7,31080,9,62160,29,31080,6,317320,8,33030,10,66050,30,34000,99,25675900
2016015,52030202,堡垒卫士,15,52030202,400,7,37370,9,74740,29,37370,6,381500,8,39710,10,79410,30,40870,99,30869500
2016016,52030202,堡垒卫士,16,52030202,460,7,44400,9,88800,29,44400,6,453280,8,47180,10,94360,30,48570,99,36678600
2016017,52030202,堡垒卫士,17,52030202,520,7,52210,9,104420,29,52210,6,533010,8,55480,10,110950,30,57110,99,43129700
2016018,52030202,堡垒卫士,18,52030202,580,7,60830,9,121660,29,60830,6,621020,8,64640,10,129270,30,66540,99,50250900
2016019,52030202,堡垒卫士,19,52030202,640,7,70300,9,140600,29,70300,6,717640,8,74690,10,149390,30,76890,99,58070300
2016020,52030202,堡垒卫士,20,0,0,7,80640,9,161280,29,80640,6,823200,8,85680,10,171360,30,88200,99,66612000
1017001,52030103,战熊,1,52030103,3,7,80,9,160,29,80,6,840,8,80,10,160,30,90,99,65800
1017002,52030103,战熊,2,52030103,6,7,160,9,320,29,160,6,1590,8,160,10,300,30,160,99,126800
1017003,52030103,战熊,3,52030103,12,7,330,9,660,29,330,6,3350,8,330,10,640,30,340,99,265000
1017004,52030103,战熊,4,52030103,24,7,630,9,1260,29,630,6,6420,8,640,10,1220,30,650,99,507400
1017005,52030103,战熊,5,52030103,40,7,1090,9,2180,29,1090,6,11110,8,1100,10,2110,30,1130,99,877700
1017006,52030103,战熊,6,52030103,64,7,1730,9,3460,29,1730,6,17670,8,1750,10,3360,30,1800,99,1395400
1017007,52030103,战熊,7,52030103,90,7,2580,9,5160,29,2580,6,26360,8,2610,10,5010,30,2690,99,2081700
1017008,52030103,战熊,8,52030103,120,7,3670,9,7340,29,3670,6,37400,8,3700,10,7110,30,3810,99,2955500
1017009,52030103,战熊,9,52030103,150,7,5000,9,10000,29,5000,6,51020,8,5050,10,9700,30,5200,99,4030400
