lazyid,id ,name,lv,needitem,neednum,base_type1,base_value1,base_type2,base_value2,base_type3,base_value3,base_type4,base_value4,base_type5,base_value5,base_type6,base_value6
2007015,52010207,大天使,15,52010207,400,7,39710,6,397070,8,40490,10,77860,30,39710,99,23825400
2007016,52010207,大天使,16,52010207,460,7,47180,6,471780,8,48100,10,92510,30,47180,99,28307100
2007017,52010207,大天使,17,52010207,520,7,55480,6,554760,8,56560,10,108780,30,55480,99,33286200
2007018,52010207,大天使,18,52010207,580,7,64640,6,646370,8,65900,10,126740,30,64640,99,38782400
2007019,52010207,大天使,19,52010207,640,7,74690,6,746940,8,76160,10,146460,30,74690,99,44815800
2007020,52010207,大天使,20,0,0,7,85680,6,856800,8,87360,10,168000,30,85680,99,51408000
1008001,52020101,亡者战士,1,52020101,3,7,80,6,820,8,80,10,160,30,80,99,48400
1008002,52020101,亡者战士,2,52020101,6,7,160,6,1560,8,150,10,310,30,160,99,93700
1008003,52020101,亡者战士,3,52020101,12,7,330,6,3280,8,320,10,640,30,330,99,195600
1008004,52020101,亡者战士,4,52020101,24,7,640,6,6300,8,610,10,1230,30,640,99,376500
1008005,52020101,亡者战士,5,52020101,40,7,1100,6,10890,8,1060,10,2140,30,1110,99,651800
1008006,52020101,亡者战士,6,52020101,64,7,1750,6,17330,8,1680,10,3400,30,1770,99,1036600
1008007,52020101,亡者战士,7,52020101,90,7,2610,6,25840,8,2510,10,5060,30,2640,99,1545800
1008008,52020101,亡者战士,8,52020101,120,7,3700,6,36660,8,3560,10,7190,30,3740,99,2192700
1008009,52020101,亡者战士,9,52020101,150,7,5050,6,50020,8,4850,10,9800,30,5100,99,2990400
1008010,52020101,亡者战士,10,52020101,180,7,6680,6,66110,8,6410,10,12960,30,6740,99,3953200
1008011,52020101,亡者战士,11,52020101,220,7,8600,6,85160,8,8260,10,16690,30,8690,99,5092700
1008012,52020101,亡者战士,12,52020101,260,7,10840,6,107340,8,10410,10,21040,30,10950,99,6418800
1008013,52020101,亡者战士,13,52020101,310,7,13420,6,132860,8,12890,10,26040,30,13550,99,7945200
1008014,52020101,亡者战士,14,52020101,350,7,16350,6,161900,8,15700,10,31730,30,16510,99,9680500
1008015,52020101,亡者战士,15,52020101,400,7,19660,6,194640,8,18880,10,38150,30,19850,99,11639300
1008016,52020101,亡者战士,16,52020101,460,7,23360,6,231260,8,22430,10,45330,30,23590,99,13829700
1008017,52020101,亡者战士,17,52020101,520,7,27470,6,271940,8,26380,10,53300,30,27740,99,16262800
1008018,52020101,亡者战士,18,52020101,580,7,32000,6,316850,8,30730,10,62100,30,32320,99,18947000
1008019,52020101,亡者战士,19,52020101,640,7,36980,6,366140,8,35520,10,71760,30,37350,99,21895800
1008020,52020101,亡者战士,20,0,0,7,42420,6,420000,8,40740,10,82320,30,42840,99,25116000
2008001,52020201,亡者勇士,1,52020201,3,7,170,6,1610,8,170,10,340,30,170,99,100200
2008002,52020201,亡者勇士,2,52020201,6,7,320,6,3060,8,330,10,650,30,320,99,190700
2008003,52020201,亡者勇士,3,52020201,12,7,670,6,6430,8,690,10,1360,30,660,99,398600
2008004,52020201,亡者勇士,4,52020201,24,7,1280,6,12340,8,1320,10,2620,30,1270,99,764800
2008005,52020201,亡者勇士,5,52020201,40,7,2220,6,21350,8,2290,10,4530,30,2200,99,1324500
2008006,52020201,亡者勇士,6,52020201,64,7,3530,6,33960,8,3640,10,7210,30,3500,99,2106700
2008007,52020201,亡者勇士,7,52020201,90,7,5270,6,50650,8,5430,10,10750,30,5220,99,3142500
2008008,52020201,亡者勇士,8,52020201,120,7,7480,6,71860,8,7700,10,15250,30,7410,99,4458700
2008009,52020201,亡者勇士,9,52020201,150,7,10200,6,98040,8,10500,10,20810,30,10100,99,6081300
2008010,52020201,亡者勇士,10,52020201,180,7,13490,6,129580,8,13880,10,27500,30,13360,99,8039600
2008011,52020201,亡者勇士,11,52020201,220,7,17370,6,166910,8,17880,10,35420,30,17200,99,10354200
2008012,52020201,亡者勇士,12,52020201,260,7,21900,6,210390,8,22540,10,44650,30,21680,99,13052300
2008013,52020201,亡者勇士,13,52020201,310,7,27100,6,260400,8,27900,10,55270,30,26840,99,16155500
2008014,52020201,亡者勇士,14,52020201,350,7,33030,6,317320,8,34000,10,67350,30,32700,99,19686900
2008015,52020201,亡者勇士,15,52020201,400,7,39710,6,381500,8,40870,10,80970,30,39320,99,23668500
2008016,52020201,亡者勇士,16,52020201,460,7,47180,6,453280,8,48570,10,96210,30,46720,99,28123100
2008017,52020201,亡者勇士,17,52020201,520,7,55480,6,533010,8,57110,10,113130,30,54930,99,33068700
2008018,52020201,亡者勇士,18,52020201,580,7,64640,6,621020,8,66540,10,131810,30,64000,99,38528900
2008019,52020201,亡者勇士,19,52020201,640,7,74690,6,717640,8,76890,10,152320,30,73960,99,44522800
2008020,52020201,亡者勇士,20,0,0,7,85680,6,823200,8,88200,10,174720,30,84840,99,51072000
1009001,52020102,刺骨弓手,1,52020102,3,7,80,6,810,8,80,10,170,30,80,99,48700
1009002,52020102,刺骨弓手,2,52020102,6,7,160,6,1540,8,150,10,320,30,160,99,93800
1009003,52020102,刺骨弓手,3,52020102,12,7,330,6,3250,8,310,10,680,30,330,99,196000
1009004,52020102,刺骨弓手,4,52020102,24,7,640,6,6230,8,600,10,1300,30,640,99,377600
1009005,52020102,刺骨弓手,5,52020102,40,7,1100,6,10780,8,1030,10,2240,30,1110,99,651600
1009006,52020102,刺骨弓手,6,52020102,64,7,1750,6,17150,8,1650,10,3570,30,1770,99,1038500
1009007,52020102,刺骨弓手,7,52020102,90,7,2610,6,25580,8,2450,10,5320,30,2640,99,1547600
1009008,52020102,刺骨弓手,8,52020102,120,7,3700,6,36300,8,3480,10,7550,30,3740,99,2195500
1009009,52020102,刺骨弓手,9,52020102,150,7,5050,6,49520,8,4750,10,10300,30,5100,99,2995400
1009010,52020102,刺骨弓手,10,52020102,180,7,6680,6,65450,8,6280,10,13620,30,6740,99,3960000
1009011,52020102,刺骨弓手,11,52020102,220,7,8600,6,84300,8,8090,10,17540,30,8690,99,5101000
1009012,52020102,刺骨弓手,12,52020102,260,7,10840,6,106270,8,10200,10,22110,30,10950,99,6429900
1009013,52020102,刺骨弓手,13,52020102,310,7,13420,6,131530,8,12620,10,27370,30,13550,99,7958100
1009014,52020102,刺骨弓手,14,52020102,350,7,16350,6,160280,8,15380,10,33350,30,16510,99,9697100
1009015,52020102,刺骨弓手,15,52020102,400,7,19660,6,192690,8,18490,10,40100,30,19850,99,11658800
1009016,52020102,刺骨弓手,16,52020102,460,7,23360,6,228950,8,21970,10,47640,30,23590,99,13853000
1009017,52020102,刺骨弓手,17,52020102,520,7,27470,6,269220,8,25830,10,56020,30,27740,99,16289400
1009018,52020102,刺骨弓手,18,52020102,580,7,32000,6,313680,8,30100,10,65270,30,32320,99,18979100
1009019,52020102,刺骨弓手,19,52020102,640,7,36980,6,362480,8,34780,10,75430,30,37350,99,21932100
1009020,52020102,刺骨弓手,20,0,0,7,42420,6,415800,8,39900,10,86520,30,42840,99,25158000
2009001,52020202,刺骨猎手,1,52020202,3,7,160,6,1620,8,160,10,330,30,170,99,97900
2009002,52020202,刺骨猎手,2,52020202,6,7,300,6,3090,8,300,10,630,30,320,99,185300
2009003,52020202,刺骨猎手,3,52020202,12,7,620,6,6500,8,640,10,1330,30,670,99,389500
2009004,52020202,刺骨猎手,4,52020202,24,7,1200,6,12470,8,1220,10,2540,30,1280,99,746400
2009005,52020202,刺骨猎手,5,52020202,40,7,2070,6,21570,8,2110,10,4400,30,2220,99,1291400
2009006,52020202,刺骨猎手,6,52020202,64,7,3290,6,34310,8,3360,10,7000,30,3530,99,2054200
2009007,52020202,刺骨猎手,7,52020202,90,7,4910,6,51160,8,5010,10,10440,30,5270,99,3064200
2009008,52020202,刺骨猎手,8,52020202,120,7,6970,6,72590,8,7110,10,14810,30,7480,99,4348300
2009009,52020202,刺骨猎手,9,52020202,150,7,9500,6,99040,8,9700,10,20210,30,10200,99,5931300
2009010,52020202,刺骨猎手,10,52020202,180,7,12560,6,130910,8,12830,10,26710,30,13490,99,7841700
2009011,52020202,刺骨猎手,11,52020202,220,7,16180,6,168610,8,16520,10,34400,30,17370,99,10099200
2009012,52020202,刺骨猎手,12,52020202,260,7,20390,6,212530,8,20820,10,43370,30,21900,99,12730100
2009013,52020202,刺骨猎手,13,52020202,310,7,25240,6,263060,8,25770,10,53670,30,27100,99,15755700
2009014,52020202,刺骨猎手,14,52020202,350,7,30760,6,320560,8,31410,10,65410,30,33030,99,19201700
2009015,52020202,刺骨猎手,15,52020202,400,7,36980,6,385390,8,37760,10,78630,30,39710,99,23084300
2009016,52020202,刺骨猎手,16,52020202,460,7,43940,6,457900,8,44870,10,93430,30,47180,99,27428500
2009017,52020202,刺骨猎手,17,52020202,520,7,51670,6,538450,8,52760,10,109860,30,55480,99,32253000
2009018,52020202,刺骨猎手,18,52020202,580,7,60200,6,627360,8,61470,10,128010,30,64640,99,37578700
2009019,52020202,刺骨猎手,19,52020202,640,7,69570,6,724970,8,71030,10,147920,30,74690,99,43424400
2009020,52020202,刺骨猎手,20,0,0,7,79800,6,831600,8,81480,10,169680,30,85680,99,49812000
1010001,52020103,暗灵,1,52020103,3,7,80,6,830,8,80,10,160,30,80,99,48600
1010002,52020103,暗灵,2,52020103,6,7,150,6,1580,8,160,10,310,30,150,99,93100
1010003,52020103,暗灵,3,52020103,12,7,320,6,3310,8,330,10,660,30,320,99,196200
1010004,52020103,暗灵,4,52020103,24,7,620,6,6360,8,640,10,1260,30,620,99,378200
1010005,52020103,暗灵,5,52020103,40,7,1080,6,11000,8,1100,10,2180,30,1070,99,654000
1010006,52020103,暗灵,6,52020103,64,7,1720,6,17500,8,1750,10,3470,30,1700,99,1040500
1010007,52020103,暗灵,7,52020103,90,7,2560,6,26100,8,2610,10,5170,30,2530,99,1550500
1010008,52020103,暗灵,8,52020103,120,7,3630,6,37030,8,3700,10,7330,30,3590,99,2199100
1010009,52020103,暗灵,9,52020103,150,7,4950,6,50520,8,5050,10,10000,30,4900,99,3000400
1010010,52020103,暗灵,10,52020103,180,7,6550,6,66780,8,6680,10,13220,30,6480,99,3967600
1010011,52020103,暗灵,11,52020103,220,7,8430,6,86010,8,8600,10,17030,30,8350,99,5109700
1010012,52020103,暗灵,12,52020103,260,7,10630,6,108410,8,10840,10,21470,30,10520,99,6440700
1010013,52020103,暗灵,13,52020103,310,7,13150,6,134190,8,13420,10,26570,30,13020,99,7971300
1010014,52020103,暗灵,14,52020103,350,7,16030,6,163520,8,16350,10,32380,30,15870,99,9714400
1010015,52020103,暗灵,15,52020103,400,7,19270,6,196590,8,19660,10,38930,30,19070,99,11678300
1010016,52020103,暗灵,16,52020103,460,7,22900,6,233580,8,23360,10,46250,30,22660,99,13876100
1010017,52020103,暗灵,17,52020103,520,7,26920,6,274660,8,27470,10,54390,30,26650,99,16316700
1010018,52020103,暗灵,18,52020103,580,7,31370,6,320020,8,32000,10,63370,30,31050,99,19010900
1010019,52020103,暗灵,19,52020103,640,7,36250,6,369810,8,36980,10,73230,30,35880,99,21968700
1010020,52020103,暗灵,20,0,0,7,41580,6,424200,8,42420,10,84000,30,41160,99,25200000
2010001,52020203,魔灵,1,52020203,3,7,170,6,1670,8,160,10,320,30,160,99,98400
2010002,52020203,魔灵,2,52020203,6,7,320,6,3180,8,310,10,610,30,300,99,187100
2010003,52020203,魔灵,3,52020203,12,7,680,6,6690,8,640,10,1290,30,640,99,394300
2010004,52020203,魔灵,4,52020203,24,7,1300,6,12850,8,1230,10,2470,30,1220,99,755500
2010005,52020203,魔灵,5,52020203,40,7,2240,6,22220,8,2140,10,4270,30,2110,99,1306900
2010006,52020203,魔灵,6,52020203,64,7,3570,6,35350,8,3400,10,6790,30,3360,99,2079500
2010007,52020203,魔灵,7,52020203,90,7,5320,6,52710,8,5060,10,10130,30,5010,99,3099700
2010008,52020203,魔灵,8,52020203,120,7,7550,6,74790,8,7190,10,14370,30,7110,99,4399300
2010009,52020203,魔灵,9,52020203,150,7,10300,6,102040,8,9800,10,19610,30,9700,99,6001300
2010010,52020203,魔灵,10,52020203,180,7,13620,6,134870,8,12960,10,25920,30,12830,99,7934400
2010011,52020203,魔灵,11,52020203,220,7,17540,6,173720,8,16690,10,33380,30,16520,99,10218400
2010012,52020203,魔灵,12,52020203,260,7,22110,6,218970,8,21040,10,42080,30,20820,99,12880400
2010013,52020203,魔灵,13,52020203,310,7,27370,6,271030,8,26040,10,52080,30,25770,99,15942600
2010014,52020203,魔灵,14,52020203,350,7,33350,6,330270,8,31730,10,63460,30,31410,99,19427400
2010015,52020203,魔灵,15,52020203,400,7,40100,6,397070,8,38150,10,76300,30,37760,99,23357400
2010016,52020203,魔灵,16,52020203,460,7,47640,6,471780,8,45330,10,90660,30,44870,99,27752600
2010017,52020203,魔灵,17,52020203,520,7,56020,6,554760,8,53300,10,106600,30,52760,99,32633200
2010018,52020203,魔灵,18,52020203,580,7,65270,6,646370,8,62100,10,124200,30,61470,99,38021400
2010019,52020203,魔灵,19,52020203,640,7,75430,6,746940,8,71760,10,143530,30,71030,99,43937300
2010020,52020203,魔灵,20,0,0,7,86520,6,856800,8,82320,10,164640,30,81480,99,50400000
1011001,52020104,血族,1,52020104,3,9,160,6,780,8,80,10,170,30,80,99,48100
1011002,52020104,血族,2,52020104,6,9,310,6,1480,8,150,10,320,30,150,99,91100
1011003,52020104,血族,3,52020104,12,9,640,6,3120,8,320,10,680,30,320,99,192400
1011004,52020104,血族,4,52020104,24,9,1230,6,5980,8,620,10,1300,30,610,99,369100
1011005,52020104,血族,5,52020104,40,9,2140,6,10350,8,1080,10,2240,30,1060,99,640000
1011006,52020104,血族,6,52020104,64,9,3400,6,16460,8,1720,10,3570,30,1680,99,1017700
1011007,52020104,血族,7,52020104,90,9,5060,6,24550,8,2560,10,5320,30,2510,99,1517000
1011008,52020104,血族,8,52020104,120,9,7190,6,34830,8,3630,10,7550,30,3560,99,2152600
1011009,52020104,血族,9,52020104,150,9,9800,6,47520,8,4950,10,10300,30,4850,99,2935400
1011010,52020104,血族,10,52020104,180,9,12960,6,62810,8,6550,10,13620,30,6410,99,3881200
1011011,52020104,血族,11,52020104,220,9,16690,6,80900,8,8430,10,17540,30,8260,99,4998500
1011012,52020104,血族,12,52020104,260,9,21040,6,101970,8,10630,10,22110,30,10410,99,6300900
1011013,52020104,血族,13,52020104,310,9,26040,6,126220,8,13150,10,27370,30,12890,99,7798900
1011014,52020104,血族,14,52020104,350,9,31730,6,153800,8,16030,10,33350,30,15700,99,9503000
1011015,52020104,血族,15,52020104,400,9,38150,6,184910,8,19270,10,40100,30,18880,99,11425700
1011016,52020104,血族,16,52020104,460,9,45330,6,219700,8,22900,10,47640,30,22430,99,13575500
1011017,52020104,血族,17,52020104,520,9,53300,6,258350,8,26920,10,56020,30,26380,99,15963000
1011018,52020104,血族,18,52020104,580,9,62100,6,301000,8,31370,10,65270,30,30730,99,18598500
1011019,52020104,血族,19,52020104,640,9,71760,6,347840,8,36250,10,75430,30,35520,99,21493300
1011020,52020104,血族,20,0,0,9,82320,6,399000,8,41580,10,86520,30,40740,99,24654000
2011001,52020204,血族男爵,1,52020204,3,9,340,6,1710,8,160,10,340,30,160,99,100200
2011002,52020204,血族男爵,2,52020204,6,9,650,6,3240,8,300,10,660,30,310,99,191300
2011003,52020204,血族男爵,3,52020204,12,9,1360,6,6820,8,640,10,1380,30,650,99,402400
2011004,52020204,血族男爵,4,52020204,24,9,2620,6,13100,8,1220,10,2650,30,1250,99,772500
2011005,52020204,血族男爵,5,52020204,40,9,4530,6,22660,8,2110,10,4580,30,2160,99,1335700
2011006,52020204,血族男爵,6,52020204,64,9,7210,6,36040,8,3360,10,7280,30,3430,99,2124300
2011007,52020204,血族男爵,7,52020204,90,9,10750,6,53750,8,5010,10,10850,30,5120,99,3168000
2011008,52020204,血族男爵,8,52020204,120,9,15250,6,76260,8,7110,10,15400,30,7260,99,4494700
2011009,52020204,血族男爵,9,52020204,150,9,20810,6,104040,8,9700,10,21010,30,9900,99,6131800
2011010,52020204,血族男爵,10,52020204,180,9,27500,6,137520,8,12830,10,27770,30,13090,99,8105900
2011011,52020204,血族男爵,11,52020204,220,9,35420,6,177120,8,16520,10,35770,30,16860,99,10439900
2011012,52020204,血族男爵,12,52020204,260,9,44650,6,223270,8,20820,10,45080,30,21250,99,13158900
2011013,52020204,血族男爵,13,52020204,310,9,55270,6,276350,8,25770,10,55800,30,26310,99,16288500
2011014,52020204,血族男爵,14,52020204,350,9,67350,6,336750,8,31410,10,68000,30,32060,99,19849500
2011015,52020204,血族男爵,15,52020204,400,9,80970,6,404850,8,37760,10,81750,30,38540,99,23863000
2011016,52020204,血族男爵,16,52020204,460,9,96210,6,481030,8,44870,10,97130,30,45790,99,28353600
2011017,52020204,血族男爵,17,52020204,520,9,113130,6,565640,8,52760,10,114220,30,53840,99,33340300
2011018,52020204,血族男爵,18,52020204,580,9,131810,6,659040,8,61470,10,133080,30,62740,99,38846300
2011019,52020204,血族男爵,19,52020204,640,9,152320,6,761580,8,71030,10,153780,30,72500,99,44889600
2011020,52020204,血族男爵,20,0,0,9,174720,6,873600,8,81480,10,176400,30,83160,99,51492000
1012001,52020105,巫妖,1,52020105,3,29,80,6,800,8,80,10,160,30,80,99,48000
1012002,52020105,巫妖,2,52020105,6,29,150,6,1530,8,150,10,300,30,150,99,90600
1012003,52020105,巫妖,3,52020105,12,29,320,6,3210,8,310,10,640,30,310,99,190200
1012004,52020105,巫妖,4,52020105,24,29,610,6,6170,8,600,10,1220,30,600,99,365400
1012005,52020105,巫妖,5,52020105,40,29,1060,6,10680,8,1030,10,2110,30,1050,99,633100
1012006,52020105,巫妖,6,52020105,64,29,1680,6,16980,8,1650,10,3360,30,1660,99,1006600
1012007,52020105,巫妖,7,52020105,90,29,2510,6,25320,8,2450,10,5010,30,2480,99,1500900
1012008,52020105,巫妖,8,52020105,120,29,3560,6,35930,8,3480,10,7110,30,3520,99,2130100
1012009,52020105,巫妖,9,52020105,150,29,4850,6,49020,8,4750,10,9700,30,4800,99,2905400
1012010,52020105,巫妖,10,52020105,180,29,6410,6,64790,8,6280,10,12830,30,6350,99,3841300
1012011,52020105,巫妖,11,52020105,220,29,8260,6,83450,8,8090,10,16520,30,8170,99,4947000
1012012,52020105,巫妖,12,52020105,260,29,10410,6,105190,8,10200,10,20820,30,10300,99,6235800
1012013,52020105,巫妖,13,52020105,310,29,12890,6,130200,8,12620,10,25770,30,12750,99,7718500
1012014,52020105,巫妖,14,52020105,350,29,15700,6,158660,8,15380,10,31410,30,15540,99,9405700
1012015,52020105,巫妖,15,52020105,400,29,18880,6,190750,8,18490,10,37760,30,18690,99,11309000
1012016,52020105,巫妖,16,52020105,460,29,22430,6,226640,8,21970,10,44870,30,22200,99,13436300
1012017,52020105,巫妖,17,52020105,520,29,26380,6,266500,8,25830,10,52760,30,26110,99,15800000
1012018,52020105,巫妖,18,52020105,580,29,30730,6,310510,8,30100,10,61470,30,30420,99,18408700
1012019,52020105,巫妖,19,52020105,640,29,35520,6,358820,8,34780,10,71030,30,35150,99,21272900
1012020,52020105,巫妖,20,0,0,29,40740,6,411600,8,39900,10,81480,30,40320,99,24402000
2012001,52020205,大巫妖,1,52020205,3,29,160,6,1610,8,170,10,330,30,160,99,97700
2012002,52020205,大巫妖,2,52020205,6,29,300,6,3060,8,320,10,640,30,300,99,185200
2012003,52020205,大巫妖,3,52020205,12,29,640,6,6430,8,680,10,1340,30,630,99,390600
2012004,52020205,大巫妖,4,52020205,24,29,1220,6,12340,8,1310,10,2570,30,1210,99,749300
2012005,52020205,大巫妖,5,52020205,40,29,2110,6,21350,8,2270,10,4440,30,2090,99,1296000
2012006,52020205,大巫妖,6,52020205,64,29,3360,6,33960,8,3600,10,7070,30,3330,99,2061700
2012007,52020205,大巫妖,7,52020205,90,29,5010,6,50650,8,5370,10,10540,30,4960,99,3074000
2012008,52020205,大巫妖,8,52020205,120,29,7110,6,71860,8,7630,10,14960,30,7040,99,4363200
2012009,52020205,大巫妖,9,52020205,150,29,9700,6,98040,8,10400,10,20410,30,9600,99,5951300
2012010,52020205,大巫妖,10,52020205,180,29,12830,6,129580,8,13750,10,26970,30,12690,99,7867100
2012011,52020205,大巫妖,11,52020205,220,29,16520,6,166910,8,17710,10,34740,30,16350,99,10133200
2012012,52020205,大巫妖,12,52020205,260,29,20820,6,210390,8,22330,10,43790,30,20610,99,12773300
2012013,52020205,大巫妖,13,52020205,310,29,25770,6,260400,8,27630,10,54210,30,25510,99,15809500
2012014,52020205,大巫妖,14,52020205,350,29,31410,6,317320,8,33670,10,66050,30,31080,99,19264900
2012015,52020205,大巫妖,15,52020205,400,29,37760,6,381500,8,40490,10,79410,30,37370,99,23162500
2012016,52020205,大巫妖,16,52020205,460,29,44870,6,453280,8,48100,10,94360,30,44400,99,27520600
2012017,52020205,大巫妖,17,52020205,520,29,52760,6,533010,8,56560,10,110950,30,52210,99,32360700
2012018,52020205,大巫妖,18,52020205,580,29,61470,6,621020,8,65900,10,129270,30,60830,99,37703900
2012019,52020205,大巫妖,19,52020205,640,29,71030,6,717640,8,76160,10,149390,30,70300,99,43571300
2012020,52020205,大巫妖,20,0,0,29,81480,6,823200,8,87360,10,171360,30,80640,99,49980000
1013001,52020106,黑暗骑士,1,52020106,3,7,80,6,830,8,90,10,170,30,80,99,50100
1013002,52020106,黑暗骑士,2,52020106,6,7,160,6,1580,8,160,10,320,30,150,99,94600
1013003,52020106,黑暗骑士,3,52020106,12,7,340,6,3310,8,340,10,680,30,310,99,199200
1013004,52020106,黑暗骑士,4,52020106,24,7,650,6,6360,8,650,10,1300,30,600,99,382200
1013005,52020106,黑暗骑士,5,52020106,40,7,1120,6,11000,8,1130,10,2240,30,1030,99,660000
1013006,52020106,黑暗骑士,6,52020106,64,7,1780,6,17500,8,1800,10,3570,30,1650,99,1051500
1013007,52020106,黑暗骑士,7,52020106,90,7,2660,6,26100,8,2690,10,5320,30,2450,99,1568000
1013008,52020106,黑暗骑士,8,52020106,120,7,3780,6,37030,8,3810,10,7550,30,3480,99,2225100
1013009,52020106,黑暗骑士,9,52020106,150,7,5150,6,50520,8,5200,10,10300,30,4750,99,3035400
1013010,52020106,黑暗骑士,10,52020106,180,7,6810,6,66780,8,6880,10,13620,30,6280,99,4013600
1013011,52020106,黑暗骑士,11,52020106,220,7,8770,6,86010,8,8860,10,17540,30,8090,99,5169200
1013012,52020106,黑暗骑士,12,52020106,260,7,11060,6,108410,8,11160,10,22110,30,10200,99,6515700
1013013,52020106,黑暗骑士,13,52020106,310,7,13680,6,134190,8,13820,10,27370,30,12620,99,8064300
1013014,52020106,黑暗骑士,14,52020106,350,7,16680,6,163520,8,16840,10,33350,30,15380,99,9827900
1013015,52020106,黑暗骑士,15,52020106,400,7,20050,6,196590,8,20240,10,40100,30,18490,99,11814800
1013016,52020106,黑暗骑士,16,52020106,460,7,23820,6,233580,8,24050,10,47640,30,21970,99,14037600
1013017,52020106,黑暗骑士,17,52020106,520,7,28010,6,274660,8,28280,10,56020,30,25830,99,16506200
1013018,52020106,黑暗骑士,18,52020106,580,7,32640,6,320020,8,32950,10,65270,30,30100,99,19232900
1013019,52020106,黑暗骑士,19,52020106,640,7,37710,6,369810,8,38080,10,75430,30,34780,99,22224700
1013020,52020106,黑暗骑士,20,0,0,7,43260,6,424200,8,43680,10,86520,30,39900,99,25494000
2013001,52020206,恐怖骑士,1,52020206,3,7,170,6,1610,8,170,10,320,30,170,99,99200
2013002,52020206,恐怖骑士,2,52020206,6,7,320,6,3060,8,330,10,620,30,320,99,189200
2013003,52020206,恐怖骑士,3,52020206,12,7,680,6,6430,8,690,10,1300,30,680,99,398600
2013004,52020206,恐怖骑士,4,52020206,24,7,1310,6,12340,8,1320,10,2490,30,1300,99,764300
2013005,52020206,恐怖骑士,5,52020206,40,7,2270,6,21350,8,2290,10,4310,30,2240,99,1322500
2013006,52020206,恐怖骑士,6,52020206,64,7,3600,6,33960,8,3640,10,6860,30,3570,99,2103200
2013007,52020206,恐怖骑士,7,52020206,90,7,5370,6,50650,8,5430,10,10230,30,5320,99,3136500
2013008,52020206,恐怖骑士,8,52020206,120,7,7630,6,71860,8,7700,10,14520,30,7550,99,4451200
2013009,52020206,恐怖骑士,9,52020206,150,7,10400,6,98040,8,10500,10,19810,30,10300,99,6071300
2013010,52020206,恐怖骑士,10,52020206,180,7,13750,6,129580,8,13880,10,26180,30,13620,99,8025600
2013011,52020206,恐怖骑士,11,52020206,220,7,17710,6,166910,8,17880,10,33720,30,17540,99,10337200
2013012,52020206,恐怖骑士,12,52020206,260,7,22330,6,210390,8,22540,10,42510,30,22110,99,13031300
2013013,52020206,恐怖骑士,13,52020206,310,7,27630,6,260400,8,27900,10,52610,30,27370,99,16128500
2013014,52020206,恐怖骑士,14,52020206,350,7,33670,6,317320,8,34000,10,64110,30,33350,99,19653900
2013015,52020206,恐怖骑士,15,52020206,400,7,40490,6,381500,8,40870,10,77080,30,40100,99,23630000
2013016,52020206,恐怖骑士,16,52020206,460,7,48100,6,453280,8,48570,10,91580,30,47640,99,28075600
2013017,52020206,恐怖骑士,17,52020206,520,7,56560,6,533010,8,57110,10,107690,30,56020,99,33013700
2013018,52020206,恐怖骑士,18,52020206,580,7,65900,6,621020,8,66540,10,125470,30,65270,99,38464900
2013019,52020206,恐怖骑士,19,52020206,640,7,76160,6,717640,8,76890,10,144990,30,75430,99,44450300
2013020,52020206,恐怖骑士,20,0,0,7,87360,6,823200,8,88200,10,166320,30,86520,99,50988000
1014001,52020107,骨龙,1,52020107,3,7,80,6,790,8,80,10,170,30,80,99,48300
1014002,52020107,骨龙,2,52020107,6,7,150,6,1500,8,150,10,320,30,150,99,91000
1014003,52020107,骨龙,3,52020107,12,7,320,6,3150,8,320,10,680,30,320,99,193000
1014004,52020107,骨龙,4,52020107,24,7,620,6,6050,8,620,10,1300,30,620,99,372000
1014005,52020107,骨龙,5,52020107,40,7,1070,6,10460,8,1080,10,2240,30,1080,99,644200
1014006,52020107,骨龙,6,52020107,64,7,1700,6,16630,8,1720,10,3570,30,1720,99,1025100
1014007,52020107,骨龙,7,52020107,90,7,2530,6,24810,8,2560,10,5320,30,2560,99,1527200
1014008,52020107,骨龙,8,52020107,120,7,3590,6,35200,8,3630,10,7550,30,3630,99,2166500
1014009,52020107,骨龙,9,52020107,150,7,4900,6,48020,8,4950,10,10300,30,4950,99,2955400
1014010,52020107,骨龙,10,52020107,180,7,6480,6,63470,8,6550,10,13620,30,6550,99,3908400
1014011,52020107,骨龙,11,52020107,220,7,8350,6,81750,8,8430,10,17540,30,8430,99,5033000
1014012,52020107,骨龙,12,52020107,260,7,10520,6,103050,8,10630,10,22110,30,10630,99,6344500
1014013,52020107,骨龙,13,52020107,310,7,13020,6,127540,8,13150,10,27370,30,13150,99,7851300
1014014,52020107,骨龙,14,52020107,350,7,15870,6,155420,8,16030,10,33350,30,16030,99,9568900
1014015,52020107,骨龙,15,52020107,400,7,19070,6,186860,8,19270,10,40100,30,19270,99,11503200
1014016,52020107,骨龙,16,52020107,460,7,22660,6,222010,8,22900,10,47640,30,22900,99,13668200
1014017,52020107,骨龙,17,52020107,520,7,26650,6,261070,8,26920,10,56020,30,26920,99,16071400
1014018,52020107,骨龙,18,52020107,580,7,31050,6,304170,8,31370,10,65270,30,31370,99,18725900
1014019,52020107,骨龙,19,52020107,640,7,35880,6,351500,8,36250,10,75430,30,36250,99,21639500
1014020,52020107,骨龙,20,0,0,7,41160,6,403200,8,41580,10,86520,30,41580,99,24822000
2014001,52020207,阴影龙,1,52020207,3,7,170,6,1720,8,160,10,310,30,170,99,99900
