id,lv,base_type1,base_value1,base_type2,base_value2,base_type3,base_value3,base_type4,base_value4,base_type5,base_value5,base_type6,base_value6,base_type7,base_value7,base_type8,base_value8,base_type9,base_value9,base_type10,base_value10,base_type11,base_value11
5003,30,6,32100,7,2150,8,886,9,4290,10,1772,29,2150,30,886,11,20000,12,90,43,0,99,1552300,15523
5003,31,6,34700,7,2310,8,956,9,4630,10,1912,29,2310,30,956,11,20000,12,90,43,0,99,1674300,16743
5003,32,6,37500,7,2500,8,1032,9,4990,10,2064,29,2500,30,1032,11,20000,12,90,43,0,99,1809100,18091
5003,33,6,40500,7,2700,8,1114,9,5390,10,2228,29,2700,30,1114,11,20000,12,90,43,0,99,1953700,19537
5003,34,6,43700,7,2920,8,1203,9,5820,10,2406,29,2920,30,1203,11,20000,12,90,43,0,99,2109900,21099
5003,35,6,47200,7,3150,8,1299,9,6290,10,2598,29,3150,30,1299,11,20000,12,90,43,0,99,2278200,22782
5003,36,6,50900,7,3390,8,1402,9,6790,10,2804,29,3390,30,1402,11,20000,12,90,43,0,99,2456100,24561
5003,37,6,55000,7,3660,8,1514,9,7330,10,3028,29,3660,30,1514,11,20000,12,90,43,0,99,2652700,26527
5003,38,6,59400,7,3960,8,1635,9,7910,10,3270,29,3960,30,1635,11,20000,12,90,43,0,99,2866000,28660
5003,39,6,64000,7,4270,8,1765,9,8550,10,3530,29,4270,30,1765,11,20000,12,90,43,0,99,3091000,30910
5003,40,6,69200,7,4610,8,1906,9,9230,10,3812,29,4610,30,1906,11,20000,12,90,43,0,99,3339300,33393
5003,41,6,74700,7,4980,8,2058,9,9970,10,4116,29,4980,30,2058,11,20000,12,90,43,0,99,3605900,36059
5003,42,6,80600,7,5380,8,2222,9,10760,10,4444,29,5380,30,2222,11,20000,12,90,43,0,99,3892600,38926
5003,43,6,87100,7,5810,8,2399,9,11620,10,4798,29,5810,30,2399,11,20000,12,90,43,0,99,4204700,42047
5003,44,6,94100,7,6270,8,2590,9,12540,10,5180,29,6270,30,2590,11,20000,12,90,43,0,99,4540000,45400
5003,45,6,101500,7,6770,8,2797,9,13540,10,5594,29,6770,30,2797,11,20000,12,90,43,0,99,4900100,49001
5003,46,6,109700,7,7300,8,3020,9,14620,10,6040,29,7300,30,3020,11,20000,12,90,43,0,99,5291000,52910
5003,47,6,118400,7,7890,8,3261,9,15790,10,6522,29,7890,30,3261,11,20000,12,90,43,0,99,5713800,57138
5003,48,6,127800,7,8530,8,3521,9,17040,10,7042,29,8530,30,3521,11,20000,12,90,43,0,99,6170300,61703
5003,49,6,138100,7,9200,8,3802,9,18400,10,7604,29,9200,30,3802,11,20000,12,90,43,0,99,6662600,66626
5003,50,6,149100,7,9930,8,4106,9,19880,10,8212,29,9930,30,4106,11,20000,12,90,43,0,99,7193800,71938
5003,51,6,160900,7,10730,8,4434,9,21460,10,8868,29,10730,30,4434,11,20000,12,90,43,0,99,7767200,77672
5003,52,6,173800,7,11580,8,4788,9,23180,10,9576,29,11580,30,4788,11,20000,12,90,43,0,99,8387400,83874
5003,53,6,187700,7,12520,8,5171,9,25030,10,10342,29,12520,30,5171,11,20000,12,90,43,0,99,9060800,90608
5003,54,6,202700,7,13510,8,5584,9,27030,10,11168,29,13510,30,5584,11,20000,12,90,43,0,99,9782700,97827
5003,55,6,218900,7,14600,8,6030,9,29180,10,12060,29,14600,30,6030,11,20000,12,90,43,0,99,10566000,105660
5003,56,6,236400,7,15760,8,6512,9,31520,10,13024,29,15760,30,6512,11,20000,12,90,43,0,99,11409600,114096
5003,57,6,255300,7,17020,8,7032,9,34030,10,14064,29,17020,30,7032,11,20000,12,90,43,0,99,12321100,123211
5003,58,6,275700,7,18380,8,7594,9,36750,10,15188,29,18380,30,7594,11,20000,12,90,43,0,99,13305700,133057
5003,59,6,297700,7,19840,8,8201,9,39690,10,16402,29,19840,30,8201,11,20000,12,90,43,0,99,14366800,143668
5003,60,6,321500,7,21440,8,8857,9,42870,10,17714,29,21440,30,8857,11,20000,12,90,43,0,99,15518600,155186
5003,61,6,347200,7,23140,8,9565,9,46300,10,19130,29,23140,30,9565,11,20000,12,90,43,0,99,16756500,167565
5003,62,6,375000,7,25000,8,10330,9,50000,10,20660,29,25000,30,10330,11,20000,12,90,43,0,99,18099000,180990
5003,63,6,404900,7,26990,8,11156,9,54000,10,22312,29,26990,30,11156,11,20000,12,90,43,0,99,19542800,195428
5003,64,6,437400,7,29160,8,12048,9,58310,10,24096,29,29160,30,12048,11,20000,12,90,43,0,99,21109900,211099
5003,65,6,472300,7,31480,8,13011,9,62980,10,26022,29,31480,30,13011,11,20000,12,90,43,0,99,22794300,227943
5003,66,6,510100,7,34000,8,14051,9,68000,10,28102,29,34000,30,14051,11,20000,12,90,43,0,99,24617300,246173
5003,67,6,550900,7,36730,8,15175,9,73450,10,30350,29,36730,30,15175,11,20000,12,90,43,0,99,26589000,265890
5003,68,6,594900,7,39670,8,16389,9,79320,10,32778,29,39670,30,16389,11,20000,12,90,43,0,99,28714700,287147
5003,69,6,642500,7,42830,8,17700,9,85670,10,35400,29,42830,30,17700,11,20000,12,90,43,0,99,31009500,310095
5003,70,6,693900,7,46270,8,19116,9,92520,10,38232,29,46270,30,19116,11,20000,12,90,43,0,99,33492800,334928
5003,71,6,749400,7,49960,8,20645,9,99920,10,41290,29,49960,30,20645,11,20000,12,90,43,0,99,36169500,361695
5003,72,6,780900,7,52060,8,21512,9,104120,10,43024,29,52060,30,21512,11,20000,12,90,43,0,99,37689600,376896
5003,73,6,813700,7,54240,8,22415,9,108490,10,44830,29,54240,30,22415,11,20000,12,90,43,0,99,39271000,392710
5003,74,6,847800,7,56520,8,23356,9,113050,10,46712,29,56520,30,23356,11,20000,12,90,43,0,99,40919300,409193
5003,75,6,883400,7,58890,8,24336,9,117790,10,48672,29,58890,30,24336,11,20000,12,90,43,0,99,42636300,426363
5003,76,6,920500,7,61370,8,25358,9,122740,10,50716,29,61370,30,25358,11,20000,12,90,43,0,99,44428400,444284
5003,77,6,959200,7,63940,8,26423,9,127890,10,52846,29,63940,30,26423,11,20000,12,90,43,0,99,46293400,462934
5003,78,6,999500,7,66630,8,27532,9,133250,10,55064,29,66630,30,27532,11,20000,12,90,43,0,99,48238100,482381
5003,79,6,1041400,7,69420,8,28688,9,138850,10,57376,29,69420,30,28688,11,20000,12,90,43,0,99,50260900,502609
5003,80,6,1085000,7,72340,8,29892,9,144670,10,59784,29,72340,30,29892,11,20000,12,90,43,0,99,52369100,523691
5003,81,6,1130700,7,75370,8,31147,9,150760,10,62294,29,75370,30,31147,11,20000,12,90,43,0,99,54570100,545701
5003,82,6,1178100,7,78540,8,32455,9,157080,10,64910,29,78540,30,32455,11,20000,12,90,43,0,99,56860500,568605
5003,83,6,1227600,7,81840,8,33818,9,163680,10,67636,29,81840,30,33818,11,20000,12,90,43,0,99,59249400,592494
5003,84,6,1279200,7,85270,8,35238,9,170560,10,70476,29,85270,30,35238,11,20000,12,90,43,0,99,61737400,617374
5003,85,6,1332900,7,88860,8,36717,9,177710,10,73434,29,88860,30,36717,11,20000,12,90,43,0,99,64330600,643306
5003,86,6,1388800,7,92590,8,38259,9,185170,10,76518,29,92590,30,38259,11,20000,12,90,43,0,99,67030200,670302
5003,87,6,1447100,7,96470,8,39865,9,192950,10,79730,29,96470,30,39865,11,20000,12,90,43,0,99,69843000,698430
5003,88,6,1507900,7,100530,8,41539,9,201050,10,83078,29,100530,30,41539,11,20000,12,90,43,0,99,72778200,727782
5003,89,6,1571100,7,104740,8,43283,9,209500,10,86566,29,104740,30,43283,11,20000,12,90,43,0,99,75829900,758299
5003,90,6,1637100,7,109140,8,45100,9,218280,10,90200,29,109140,30,45100,11,20000,12,90,43,0,99,79014000,790140
5003,91,6,1705900,7,113730,8,46994,9,227450,10,93988,29,113730,30,46994,11,20000,12,90,43,0,99,82334700,823347
5003,92,6,1777500,7,118500,8,48967,9,237000,10,97934,29,118500,30,48967,11,20000,12,90,43,0,99,85790100,857901
5003,93,6,1852200,7,123480,8,51023,9,246950,10,102046,29,123480,30,51023,11,20000,12,90,43,0,99,89394400,893944
5003,94,6,1929800,7,128660,8,53165,9,257320,10,106330,29,128660,30,53165,11,20000,12,90,43,0,99,93143500,931435
5003,95,6,2010900,7,134060,8,55397,9,268130,10,110794,29,134060,30,55397,11,20000,12,90,43,0,99,97055600,970556
5003,96,6,2095400,7,139690,8,57723,9,279380,10,115446,29,139690,30,57723,11,20000,12,90,43,0,99,101131900,1011319
5003,97,6,2183400,7,145550,8,60147,9,291120,10,120294,29,145550,30,60147,11,20000,12,90,43,0,99,105378100,1053781
5003,98,6,2275000,7,151670,8,62673,9,303340,10,125346,29,151670,30,62673,11,20000,12,90,43,0,99,109802900,1098029
5003,99,6,2370600,7,158040,8,65305,9,316070,10,130610,29,158040,30,65305,11,20000,12,90,43,0,99,114415000,1144150
5003,100,6,2470200,7,164670,8,68047,9,329350,10,136094,29,164670,30,68047,11,20000,12,90,43,0,99,119219600,1192196
5004,1,6,4000,7,260,8,100,9,530,10,200,29,260,30,100,11,20000,12,90,43,0,99,188500,1885
5004,2,6,4400,7,290,8,108,9,580,10,216,29,290,30,108,11,20000,12,90,43,0,99,207400,2074
5004,3,6,4600,7,320,8,116,9,620,10,232,29,320,30,116,11,20000,12,90,43,0,99,221800,2218
5004,4,6,5000,7,340,8,125,9,670,10,250,29,340,30,125,11,20000,12,90,43,0,99,239000,2390
5004,5,6,5500,7,360,8,135,9,720,10,270,29,360,30,135,11,20000,12,90,43,0,99,258500,2585
5004,6,6,5800,7,390,8,145,9,770,10,290,29,390,30,145,11,20000,12,90,43,0,99,276000,2760
5004,7,6,6200,7,410,8,156,9,840,10,312,29,410,30,156,11,20000,12,90,43,0,99,294800,2948
5004,8,6,6700,7,450,8,168,9,890,10,336,29,450,30,168,11,20000,12,90,43,0,99,318900,3189
5004,9,6,7300,7,480,8,181,9,970,10,362,29,480,30,181,11,20000,12,90,43,0,99,344800,3448
5004,10,6,7700,7,520,8,195,9,1050,10,390,29,520,30,195,11,20000,12,90,43,0,99,369000,3690
5004,11,6,8400,7,560,8,210,9,1110,10,420,29,560,30,210,11,20000,12,90,43,0,99,398500,3985
5004,12,6,9100,7,610,8,226,9,1200,10,452,29,610,30,226,11,20000,12,90,43,0,99,431800,4318
5004,13,6,9800,7,650,8,244,9,1300,10,488,29,650,30,244,11,20000,12,90,43,0,99,464200,4642
5004,14,6,10600,7,700,8,263,9,1410,10,526,29,700,30,263,11,20000,12,90,43,0,99,501400,5014
5004,15,6,11300,7,750,8,284,9,1520,10,568,29,750,30,284,11,20000,12,90,43,0,99,537200,5372
5004,16,6,12200,7,810,8,306,9,1640,10,612,29,810,30,306,11,20000,12,90,43,0,99,579800,5798
5004,17,6,13200,7,880,8,330,9,1760,10,660,29,880,30,330,11,20000,12,90,43,0,99,627000,6270
5004,18,6,14200,7,950,8,356,9,1900,10,712,29,950,30,356,11,20000,12,90,43,0,99,675800,6758
5004,19,6,15400,7,1010,8,384,9,2050,10,768,29,1010,30,384,11,20000,12,90,43,0,99,727700,7277
5004,20,6,16600,7,1100,8,414,9,2200,10,828,29,1100,30,414,11,20000,12,90,43,0,99,786200,7862
5004,21,6,17900,7,1190,8,447,9,2390,10,894,29,1190,30,447,11,20000,12,90,43,0,99,849600,8496
5004,22,6,19300,7,1290,8,482,9,2560,10,964,29,1290,30,482,11,20000,12,90,43,0,99,916600,9166
5004,23,6,20800,7,1380,8,520,9,2770,10,1040,29,1380,30,520,11,20000,12,90,43,0,99,986500,9865
5004,24,6,22400,7,1490,8,561,9,2990,10,1122,29,1490,30,561,11,20000,12,90,43,0,99,1063800,10638
5004,25,6,24200,7,1610,8,605,9,3220,10,1210,29,1610,30,605,11,20000,12,90,43,0,99,1148500,11485
5004,26,6,26100,7,1740,8,653,9,3480,10,1306,29,1740,30,653,11,20000,12,90,43,0,99,1239900,12399
5004,27,6,28200,7,1880,8,705,9,3750,10,1410,29,1880,30,705,11,20000,12,90,43,0,99,1339000,13390
5004,28,6,30400,7,2020,8,761,9,4060,10,1522,29,2020,30,761,11,20000,12,90,43,0,99,1443300,14433
5004,29,6,32800,7,2190,8,821,9,4370,10,1642,29,2190,30,821,11,20000,12,90,43,0,99,1558800,15588
5004,30,6,35300,7,2370,8,886,9,4720,10,1772,29,2370,30,886,11,20000,12,90,43,0,99,1681800,16818
5004,31,6,38200,7,2540,8,956,9,5090,10,1912,29,2540,30,956,11,20000,12,90,43,0,99,1813300,18133
5004,32,6,41300,7,2750,8,1032,9,5490,10,2064,29,2750,30,1032,11,20000,12,90,43,0,99,1960100,19601
5004,33,6,44600,7,2970,8,1114,9,5930,10,2228,29,2970,30,1114,11,20000,12,90,43,0,99,2116700,21167
5004,34,6,48100,7,3210,8,1203,9,6400,10,2406,29,3210,30,1203,11,20000,12,90,43,0,99,2284900,22849
5004,35,6,51900,7,3470,8,1299,9,6920,10,2598,29,3470,30,1299,11,20000,12,90,43,0,99,2467700,24677
5004,36,6,56000,7,3730,8,1402,9,7470,10,2804,29,3730,30,1402,11,20000,12,90,43,0,99,2660100,26601
5004,37,6,60500,7,4030,8,1514,9,8060,10,3028,29,4030,30,1514,11,20000,12,90,43,0,99,2873200,28732
5004,38,6,65300,7,4360,8,1635,9,8700,10,3270,29,4360,30,1635,11,20000,12,90,43,0,99,3103500,31035
5004,39,6,70400,7,4700,8,1765,9,9410,10,3530,29,4700,30,1765,11,20000,12,90,43,0,99,3348000,33480
5004,40,6,76100,7,5070,8,1906,9,10150,10,3812,29,5070,30,1906,11,20000,12,90,43,0,99,3615300,36153
5004,41,6,82200,7,5480,8,2058,9,10970,10,4116,29,5480,30,2058,11,20000,12,90,43,0,99,3905900,39059
5004,42,6,88700,7,5920,8,2222,9,11840,10,4444,29,5920,30,2222,11,20000,12,90,43,0,99,4216600,42166
5004,43,6,95800,7,6390,8,2399,9,12780,10,4798,29,6390,30,2399,11,20000,12,90,43,0,99,4552700,45527
5004,44,6,103500,7,6900,8,2590,9,13790,10,5180,29,6900,30,2590,11,20000,12,90,43,0,99,4916500,49165
5004,45,6,111700,7,7450,8,2797,9,14890,10,5594,29,7450,30,2797,11,20000,12,90,43,0,99,5307600,53076
5004,46,6,120700,7,8030,8,3020,9,16080,10,6040,29,8030,30,3020,11,20000,12,90,43,0,99,5730000,57300
5004,47,6,130200,7,8680,8,3261,9,17370,10,6522,29,8680,30,3261,11,20000,12,90,43,0,99,6186800,61868
5004,48,6,140600,7,9380,8,3521,9,18740,10,7042,29,9380,30,3521,11,20000,12,90,43,0,99,6681300,66813
5004,49,6,151900,7,10120,8,3802,9,20240,10,7604,29,10120,30,3802,11,20000,12,90,43,0,99,7214600,72146
5004,50,6,164000,7,10920,8,4106,9,21870,10,8212,29,10920,30,4106,11,20000,12,90,43,0,99,7789300,77893
5004,51,6,177000,7,11800,8,4434,9,23610,10,8868,29,11800,30,4434,11,20000,12,90,43,0,99,8410700,84107
5004,52,6,191200,7,12740,8,4788,9,25500,10,9576,29,12740,30,4788,11,20000,12,90,43,0,99,9083400,90834
5004,53,6,206500,7,13770,8,5171,9,27530,10,10342,29,13770,30,5171,11,20000,12,90,43,0,99,9811800,98118
5004,54,6,223000,7,14860,8,5584,9,29730,10,11168,29,14860,30,5584,11,20000,12,90,43,0,99,10593700,105937
5004,55,6,240800,7,16060,8,6030,9,32100,10,12060,29,16060,30,6030,11,20000,12,90,43,0,99,11442000,114420
5004,56,6,260000,7,17340,8,6512,9,34670,10,13024,29,17340,30,6512,11,20000,12,90,43,0,99,12355100,123551
5004,57,6,280800,7,18720,8,7032,9,37430,10,14064,29,18720,30,7032,11,20000,12,90,43,0,99,13341100,133411
5004,58,6,303300,7,20220,8,7594,9,40430,10,15188,29,20220,30,7594,11,20000,12,90,43,0,99,14409700,144097
5004,59,6,327500,7,21820,8,8201,9,43660,10,16402,29,21820,30,8201,11,20000,12,90,43,0,99,15557300,155573
5004,60,6,353700,7,23580,8,8857,9,47160,10,17714,29,23580,30,8857,11,20000,12,90,43,0,99,16805100,168051
5004,61,6,381900,7,25450,8,9565,9,50930,10,19130,29,25450,30,9565,11,20000,12,90,43,0,99,18144000,181440
5004,62,6,412500,7,27500,8,10330,9,55000,10,20660,29,27500,30,10330,11,20000,12,90,43,0,99,19599000,195990
5004,63,6,445400,7,29690,8,11156,9,59400,10,22312,29,29690,30,11156,11,20000,12,90,43,0,99,21162800,211628
5004,64,6,481100,7,32080,8,12048,9,64140,10,24096,29,32080,30,12048,11,20000,12,90,43,0,99,22859400,228594
5004,65,6,519500,7,34630,8,13011,9,69280,10,26022,29,34630,30,13011,11,20000,12,90,43,0,99,24683300,246833
5004,66,6,561100,7,37400,8,14051,9,74800,10,28102,29,37400,30,14051,11,20000,12,90,43,0,99,26657300,266573
5004,67,6,606000,7,40400,8,15175,9,80800,10,30350,29,40400,30,15175,11,20000,12,90,43,0,99,28792500,287925
5004,68,6,654400,7,43640,8,16389,9,87250,10,32778,29,43640,30,16389,11,20000,12,90,43,0,99,31095200,310952
5004,69,6,706800,7,47110,8,17700,9,94240,10,35400,29,47110,30,17700,11,20000,12,90,43,0,99,33580000,335800
5004,70,6,763300,7,50900,8,19116,9,101770,10,38232,29,50900,30,19116,11,20000,12,90,43,0,99,36269300,362693
5004,71,6,824300,7,54960,8,20645,9,109910,10,41290,29,54960,30,20645,11,20000,12,90,43,0,99,39167000,391670
5004,72,6,859000,7,57270,8,21512,9,114530,10,43024,29,57270,30,21512,11,20000,12,90,43,0,99,40814100,408141
5004,73,6,895100,7,59660,8,22415,9,119340,10,44830,29,59660,30,22415,11,20000,12,90,43,0,99,42525500,425255
5004,74,6,932600,7,62170,8,23356,9,124360,10,46712,29,62170,30,23356,11,20000,12,90,43,0,99,44310800,443108
5004,75,6,971700,7,64780,8,24336,9,129570,10,48672,29,64780,30,24336,11,20000,12,90,43,0,99,46169300,461693
5004,76,6,1012600,7,67510,8,25358,9,135010,10,50716,29,67510,30,25358,11,20000,12,90,43,0,99,48111900,481119
5004,77,6,1055100,7,70330,8,26423,9,140680,10,52846,29,70330,30,26423,11,20000,12,90,43,0,99,50128900,501289
5004,78,6,1099500,7,73290,8,27532,9,146580,10,55064,29,73290,30,27532,11,20000,12,90,43,0,99,52236600,522366
5004,79,6,1145500,7,76360,8,28688,9,152740,10,57376,29,76360,30,28688,11,20000,12,90,43,0,99,54425400,544254
5004,80,6,1193500,7,79570,8,29892,9,159140,10,59784,29,79570,30,29892,11,20000,12,90,43,0,99,56708600,567086
5004,81,6,1243800,7,82910,8,31147,9,165840,10,62294,29,82910,30,31147,11,20000,12,90,43,0,99,59094100,590941
5004,82,6,1295900,7,86390,8,32455,9,172790,10,64910,29,86390,30,32455,11,20000,12,90,43,0,99,61572000,615720
5004,83,6,1350400,7,90020,8,33818,9,180050,10,67636,29,90020,30,33818,11,20000,12,90,43,0,99,64159900,641599
5004,84,6,1407100,7,93800,8,35238,9,187620,10,70476,29,93800,30,35238,11,20000,12,90,43,0,99,66854400,668544
5004,85,6,1466200,7,97750,8,36717,9,195480,10,73434,29,97750,30,36717,11,20000,12,90,43,0,99,69663100,696631
5004,86,6,1527700,7,101850,8,38259,9,203690,10,76518,29,101850,30,38259,11,20000,12,90,43,0,99,72586200,725862
5004,87,6,1591800,7,106120,8,39865,9,212250,10,79730,29,106120,30,39865,11,20000,12,90,43,0,99,75632000,756320
5004,88,6,1658700,7,110580,8,41539,9,221160,10,83078,29,110580,30,41539,11,20000,12,90,43,0,99,78809700,788097
5004,89,6,1728200,7,115210,8,43283,9,230450,10,86566,29,115210,30,43283,11,20000,12,90,43,0,99,82113400,821134
5004,90,6,1800800,7,120050,8,45100,9,240110,10,90200,29,120050,30,45100,11,20000,12,90,43,0,99,85561500,855615
5004,91,6,1876500,7,125100,8,46994,9,250200,10,93988,29,125100,30,46994,11,20000,12,90,43,0,99,89158200,891582
5004,92,6,1955300,7,130350,8,48967,9,260700,10,97934,29,130350,30,48967,11,20000,12,90,43,0,99,92901100,929011
5004,93,6,2037400,7,135830,8,51023,9,271650,10,102046,29,135830,30,51023,11,20000,12,90,43,0,99,96803400,968034
5004,94,6,2122800,7,141530,8,53165,9,283050,10,106330,29,141530,30,53165,11,20000,12,90,43,0,99,100864000,1008640
5004,95,6,2212000,7,147470,8,55397,9,294940,10,110794,29,147470,30,55397,11,20000,12,90,43,0,99,105100100,1051001
5004,96,6,2304900,7,153660,8,57723,9,307320,10,115446,29,153660,30,57723,11,20000,12,90,43,0,99,109512900,1095129
5004,97,6,2401700,7,160110,8,60147,9,320230,10,120294,29,160110,30,60147,11,20000,12,90,43,0,99,114111600,1141116
5004,98,6,2502500,7,166840,8,62673,9,333670,10,125346,29,166840,30,62673,11,20000,12,90,43,0,99,118903400,1189034
5004,99,6,2607700,7,173840,8,65305,9,347680,10,130610,29,173840,30,65305,11,20000,12,90,43,0,99,123897500,1238975
5004,100,6,2717200,7,181140,8,68047,9,362290,10,136094,29,181140,30,68047,11,20000,12,90,43,0,99,129100600,1291006
5005,1,6,4400,7,290,8,100,9,580,10,200,29,290,30,100,11,20000,12,90,43,0,99,205000,2050
5005,2,6,4800,7,320,8,108,9,640,10,216,29,320,30,108,11,20000,12,90,43,0,99,224400,2244
5005,3,6,5100,7,350,8,116,9,680,10,232,29,350,30,116,11,20000,12,90,43,0,99,240800,2408
5005,4,6,5500,7,370,8,125,9,740,10,250,29,370,30,125,11,20000,12,90,43,0,99,258500,2585
5005,5,6,6100,7,400,8,135,9,790,10,270,29,400,30,135,11,20000,12,90,43,0,99,282000,2820
5005,6,6,6400,7,430,8,145,9,850,10,290,29,430,30,145,11,20000,12,90,43,0,99,300000,3000
5005,7,6,6800,7,450,8,156,9,920,10,312,29,450,30,156,11,20000,12,90,43,0,99,318800,3188
5005,8,6,7400,7,500,8,168,9,980,10,336,29,500,30,168,11,20000,12,90,43,0,99,347400,3474
5005,9,6,8000,7,530,8,181,9,1070,10,362,29,530,30,181,11,20000,12,90,43,0,99,373800,3738
5005,10,6,8500,7,570,8,195,9,1160,10,390,29,570,30,195,11,20000,12,90,43,0,99,400500,4005
5005,11,6,9200,7,620,8,210,9,1220,10,420,29,620,30,210,11,20000,12,90,43,0,99,432000,4320
5005,12,6,10000,7,670,8,226,9,1320,10,452,29,670,30,226,11,20000,12,90,43,0,99,467800,4678
5005,13,6,10800,7,720,8,244,9,1430,10,488,29,720,30,244,11,20000,12,90,43,0,99,504700,5047
5005,14,6,11700,7,770,8,263,9,1550,10,526,29,770,30,263,11,20000,12,90,43,0,99,544400,5444
5005,15,6,12400,7,830,8,284,9,1670,10,568,29,830,30,284,11,20000,12,90,43,0,99,582700,5827
5005,16,6,13400,7,890,8,306,9,1800,10,612,29,890,30,306,11,20000,12,90,43,0,99,627800,6278
5005,17,6,14500,7,970,8,330,9,1940,10,660,29,970,30,330,11,20000,12,90,43,0,99,680000,6800
5005,18,6,15600,7,1050,8,356,9,2090,10,712,29,1050,30,356,11,20000,12,90,43,0,99,733300,7333
5005,19,6,16900,7,1110,8,384,9,2260,10,768,29,1110,30,384,11,20000,12,90,43,0,99,788200,7882
5005,20,6,18300,7,1210,8,414,9,2420,10,828,29,1210,30,414,11,20000,12,90,43,0,99,853200,8532
5005,21,6,19700,7,1310,8,447,9,2630,10,894,29,1310,30,447,11,20000,12,90,43,0,99,921600,9216
5005,22,6,21200,7,1420,8,482,9,2820,10,964,29,1420,30,482,11,20000,12,90,43,0,99,993600,9936
5005,23,6,22900,7,1520,8,520,9,3050,10,1040,29,1520,30,520,11,20000,12,90,43,0,99,1070500,10705
5005,24,6,24600,7,1640,8,561,9,3290,10,1122,29,1640,30,561,11,20000,12,90,43,0,99,1152800,11528
5005,25,6,26600,7,1770,8,605,9,3540,10,1210,29,1770,30,605,11,20000,12,90,43,0,99,1244500,12445
5005,26,6,28700,7,1910,8,653,9,3830,10,1306,29,1910,30,653,11,20000,12,90,43,0,99,1343400,13434
5005,27,6,31000,7,2070,8,705,9,4130,10,1410,29,2070,30,705,11,20000,12,90,43,0,99,1452000,14520
5005,28,6,33400,7,2220,8,761,9,4470,10,1522,29,2220,30,761,11,20000,12,90,43,0,99,1563800,15638
5005,29,6,36100,7,2410,8,821,9,4810,10,1642,29,2410,30,821,11,20000,12,90,43,0,99,1690800,16908
5005,30,6,38800,7,2610,8,886,9,5190,10,1772,29,2610,30,886,11,20000,12,90,43,0,99,1823300,18233
5005,31,6,42000,7,2790,8,956,9,5600,10,1912,29,2790,30,956,11,20000,12,90,43,0,99,1964800,19648
5005,32,6,45400,7,3030,8,1032,9,6040,10,2064,29,3030,30,1032,11,20000,12,90,43,0,99,2125600,21256
5005,33,6,49100,7,3270,8,1114,9,6520,10,2228,29,3270,30,1114,11,20000,12,90,43,0,99,2296200,22962
5005,34,6,52900,7,3530,8,1203,9,7040,10,2406,29,3530,30,1203,11,20000,12,90,43,0,99,2476900,24769
5005,35,6,57100,7,3820,8,1299,9,7610,10,2598,29,3820,30,1299,11,20000,12,90,43,0,99,2676200,26762
5005,36,6,61600,7,4100,8,1402,9,8220,10,2804,29,4100,30,1402,11,20000,12,90,43,0,99,2883600,28836
5005,37,6,66600,7,4430,8,1514,9,8870,10,3028,29,4430,30,1514,11,20000,12,90,43,0,99,3115700,31157
5005,38,6,71800,7,4800,8,1635,9,9570,10,3270,29,4800,30,1635,11,20000,12,90,43,0,99,3365000,33650
5005,39,6,77400,7,5170,8,1765,9,10350,10,3530,29,5170,30,1765,11,20000,12,90,43,0,99,3629000,36290
5005,40,6,83700,7,5580,8,1906,9,11170,10,3812,29,5580,30,1906,11,20000,12,90,43,0,99,3920300,39203
5005,41,6,90400,7,6030,8,2058,9,12070,10,4116,29,6030,30,2058,11,20000,12,90,43,0,99,4234900,42349
5005,42,6,97600,7,6510,8,2222,9,13020,10,4444,29,6510,30,2222,11,20000,12,90,43,0,99,4571600,45716
5005,43,6,105400,7,7030,8,2399,9,14060,10,4798,29,7030,30,2399,11,20000,12,90,43,0,99,4936700,49367
5005,44,6,113900,7,7590,8,2590,9,15170,10,5180,29,7590,30,2590,11,20000,12,90,43,0,99,5331500,53315
5005,45,6,122900,7,8200,8,2797,9,16380,10,5594,29,8200,30,2797,11,20000,12,90,43,0,99,5756100,57561
5005,46,6,132800,7,8830,8,3020,9,17690,10,6040,29,8830,30,3020,11,20000,12,90,43,0,99,6212500,62125
5005,47,6,143200,7,9550,8,3261,9,19110,10,6522,29,9550,30,3261,11,20000,12,90,43,0,99,6707800,67078
5005,48,6,154700,7,10320,8,3521,9,20610,10,7042,29,10320,30,3521,11,20000,12,90,43,0,99,7244800,72448
5005,49,6,167100,7,11130,8,3802,9,22260,10,7604,29,11130,30,3802,11,20000,12,90,43,0,99,7821600,78216
5005,50,6,180400,7,12010,8,4106,9,24060,10,8212,29,12010,30,4106,11,20000,12,90,43,0,99,8444800,84448
5005,51,6,194700,7,12980,8,4434,9,25970,10,8868,29,12980,30,4434,11,20000,12,90,43,0,99,9118700,91187
5005,52,6,210300,7,14010,8,4788,9,28050,10,9576,29,14010,30,4788,11,20000,12,90,43,0,99,9846900,98469
5005,53,6,227200,7,15150,8,5171,9,30280,10,10342,29,15150,30,5171,11,20000,12,90,43,0,99,10639300,106393
5005,54,6,245300,7,16350,8,5584,9,32700,10,11168,29,16350,30,5584,11,20000,12,90,43,0,99,11486200,114862
5005,55,6,264900,7,17670,8,6030,9,35310,10,12060,29,17670,30,6030,11,20000,12,90,43,0,99,12406500,124065
5005,56,6,286000,7,19070,8,6512,9,38140,10,13024,29,19070,30,6512,11,20000,12,90,43,0,99,13394600,133946
